Asset,Description,Exchange,Data Symbol,Data Set
CAD,CADUSD currency,CME,6C,GLBX.MDP3
CHF,CHFUSD currency,CME,6S,GLBX.MDP3
EUR,EURUSD currency,CME,6E,GLBX.MDP3
GBP,GBPUSD currency,CME,6B,GLBX.MDP3
FEEDCOW,Feeder cattle,CME,GF,GLBX.MDP3
LEANHOG,Lean hogs,CME,HE,GLBX.MDP3
JPY,JPYUSD currency,CME,6J,GLBX.MDP3
LIVECOW,Live cattle,CME,LE,GLBX.MDP3
RUSSELL,Micro E-Mini Russell 2000 Index,CME,RTY,GLBX.MDP3
AUD_micro,AUDUSD micro,CME,6A,GLBX.MDP3
CRUDE_W_micro,micro WTI crude oil,CME,CL,GLBX.MDP3
SP500_micro,S&P 500 micro,CME,ES,GLBX.MDP3
GOLD_micro,Gold micro,CME,GC,GLBX.MDP3
COPPER-micro,Copper micro,CME,HG,GLBX.MDP3
NASDAQ_micro,NASDAQ micro,CME,MNQ,GLBX.MDP3
GASOILINE,RBOB Gasoline US (Micro),CME,RB,GLBX.MDP3
MXP,MEXUSD currency,CME,6M,GLBX.MDP3
DOW,Micro E-Mini Dow Jones Industrial Average Index,CME,YM,GLBX.MDP3
NZD,NZDUSD currency,CME,6N,GLBX.MDP3
SILVER,NYMEX Silver Index,CME,SI,GLBX.MDP3
US30,Ultra Treasury Bond,CME,UB,GLBX.MDP3
SOYBEAN_mini,Soybean mini,CME,ZS,GLBX.MDP3
WHEAT_mini,Wheat mini,CME,ZW,GLBX.MDP3
CORN,Corn,CME,ZC,GLBX.MDP3
SOYOIL,Soybean oil,CME,ZL,GLBX.MDP3
SOYMEAL,Soybean Meal,CME,ZM,GLBX.MDP3
US10,US 10 year bond note,CME,ZN,GLBX.MDP3
RICE,Rough Rice,CME,ZR,GLBX.MDP3
