Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/13/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0401,0.0411,0.0361,0.0363,1854,915,198703,16:00:00,0.6422,198706
01/14/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0262,0.0274,0.0229,0.024,1522,989,198703,16:00:00,0.6299,198706
01/15/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0341,0.0342,0.0328,0.033,571,862,198703,16:00:00,0.6389,198706
01/16/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0349,0.0361,0.0349,0.0358,556,1040,198703,16:00:00,0.6417,198706
01/19/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0357,0.0391,0.0357,0.0376,516,943,198703,16:00:00,0.6435,198706
01/20/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0491,0.0496,0.0441,0.0441,376,1025,198703,16:00:00,0.65,198706
01/21/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0451,0.0459,0.0448,0.0459,273,981,198703,16:00:00,0.6518,198706
01/22/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0448,0.0449,0.0436,0.0445,588,1334,198703,16:00:00,0.6504,198706
01/23/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0469,0.047,0.0465,0.0465,269,1311,198703,16:00:00,0.6524,198706
01/26/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0494,0.0494,0.0477,0.0482,254,1388,198703,16:00:00,0.6541,198706
01/27/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0478,0.0481,0.0458,0.0461,543,1373,198703,16:00:00,0.652,198706
01/28/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0437,0.0461,0.0437,0.0457,506,1608,198703,16:00:00,0.6516,198706
01/29/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0471,0.0477,0.0467,0.0469,195,1670,198703,16:00:00,0.6528,198706
01/30/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0471,0.0474,0.0467,0.047,60,1687,198703,16:00:00,0.6529,198706
02/02/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0472,0.0473,0.0468,0.047,165,1716,198703,16:00:00,0.6529,198706
02/03/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0517,0.0523,0.0511,0.0517,549,1964,198703,16:00:00,0.6576,198706
02/04/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0559,0.0562,0.0551,0.0559,394,1920,198703,16:00:00,0.6618,198706
02/05/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0551,0.0561,0.055,0.0554,535,1702,198703,16:00:00,0.6613,198706
02/06/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0564,0.0573,0.056,0.0571,181,1676,198703,16:00:00,0.663,198706
02/09/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0534,0.0535,0.0499,0.0502,205,1682,198703,16:00:00,0.6561,198706
02/10/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0542,0.0559,0.0534,0.0551,248,1763,198703,16:00:00,0.661,198706
02/11/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.056,0.0563,0.0557,0.056,228,1930,198703,16:00:00,0.6619,198706
02/12/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0553,0.056,0.0551,0.0551,367,1951,198703,16:00:00,0.661,198706
02/13/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0538,0.0538,0.053,0.0531,150,1977,198703,16:00:00,0.659,198706
02/17/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0513,0.0513,0.051,0.0511,140,2043,198703,16:00:00,0.657,198706
02/18/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.055,0.0566,0.055,0.0558,345,2128,198703,16:00:00,0.6617,198706
02/19/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0559,0.0561,0.0553,0.0556,180,2150,198703,16:00:00,0.6615,198706
02/20/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0549,0.0572,0.0543,0.0572,214,2224,198703,16:00:00,0.6631,198706
02/23/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0579,0.0581,0.0577,0.058,120,2238,198703,16:00:00,0.6639,198706
02/24/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0593,0.0603,0.0593,0.0596,360,2061,198703,16:00:00,0.6655,198706
02/25/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0647,0.0661,0.0642,0.0659,720,2399,198703,16:00:00,0.6718,198706
02/26/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0654,0.0659,0.0653,0.0657,134,2405,198703,16:00:00,0.6716,198706
02/27/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0672,0.0685,0.0672,0.0681,295,2461,198703,16:00:00,0.674,198706
03/02/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.072,0.0735,0.0702,0.0704,421,2511,198703,16:00:00,0.6763,198706
03/03/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0705,0.0707,0.0695,0.0699,154,2508,198703,16:00:00,0.6758,198706
03/04/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0716,0.0724,0.0716,0.0717,190,2558,198703,16:00:00,0.6776,198706
03/05/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0714,0.0721,0.0706,0.0706,86,2587,198703,16:00:00,0.6765,198706
03/06/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0707,0.0711,0.0699,0.0701,184,2521,198703,16:00:00,0.676,198706
03/09/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0723,0.0728,0.0721,0.0728,61,2531,198703,16:00:00,0.6787,198706
03/10/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0767,0.0778,0.0766,0.0766,727,2550,198703,16:00:00,0.6825,198706
03/11/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0788,0.0811,0.0788,0.0811,307,2596,198703,16:00:00,0.687,198706
03/12/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0846,0.0846,0.0816,0.0819,311,2677,198703,16:00:00,0.6878,198706
03/13/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0711,0.0778,0.0685,0.074,519,2799,198703,16:00:00,0.6799,198706
03/16/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0768,0.0768,0.0746,0.0757,175,2830,198706,16:00:00,0.6645,198709
03/17/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0812,0.0844,0.0812,0.0844,137,1598,198706,16:00:00,0.6732,198709
03/18/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0836,0.0855,0.0831,0.0847,115,1644,198706,16:00:00,0.6735,198709
03/19/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0815,0.0835,0.0796,0.0803,463,1734,198706,16:00:00,0.6691,198709
03/20/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0806,0.0832,0.0802,0.0827,70,1719,198706,16:00:00,0.6715,198709
03/23/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0852,0.0862,0.0852,0.0858,150,1734,198706,16:00:00,0.6746,198709
03/24/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0937,0.0937,0.0896,0.0911,284,1875,198706,16:00:00,0.6799,198709
03/25/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0916,0.0927,0.0909,0.0909,96,1910,198706,16:00:00,0.6797,198709
03/26/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0927,0.0935,0.0912,0.0912,144,1905,198706,16:00:00,0.68,198709
03/27/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.0953,0.0966,0.0946,0.0962,181,1945,198706,16:00:00,0.685,198709
03/30/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1004,0.1012,0.1004,0.1006,126,1964,198706,16:00:00,0.6894,198709
03/31/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1038,0.1038,0.1025,0.1025,49,1975,198706,16:00:00,0.6913,198709
04/01/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.104,0.1046,0.1029,0.1029,66,1971,198706,16:00:00,0.6917,198709
04/02/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1022,0.1043,0.1022,0.1039,97,1960,198706,16:00:00,0.6927,198709
04/03/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1085,0.1097,0.1085,0.1091,109,1995,198706,16:00:00,0.6979,198709
04/06/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1099,0.1112,0.1094,0.1094,191,2006,198706,16:00:00,0.6982,198709
04/07/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.108,0.1085,0.1076,0.108,212,2057,198706,16:00:00,0.6968,198709
04/08/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1082,0.1107,0.108,0.1107,57,2076,198706,16:00:00,0.6995,198709
04/09/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1131,0.1168,0.1127,0.1161,109,2119,198706,16:00:00,0.7049,198709
04/10/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1188,0.1198,0.118,0.1184,115,2146,198706,16:00:00,0.7072,198709
04/13/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1257,0.1257,0.1231,0.1239,135,2187,198706,16:00:00,0.7127,198709
04/14/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1229,0.1252,0.1222,0.1237,244,2176,198706,16:00:00,0.7125,198709
04/15/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1291,0.1295,0.1267,0.1295,116,2198,198706,16:00:00,0.7183,198709
04/16/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1187,0.1192,0.1124,0.1176,371,2307,198706,16:00:00,0.7064,198709
04/20/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1157,0.1163,0.1145,0.1145,155,2246,198706,16:00:00,0.7033,198709
04/21/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1146,0.1151,0.1104,0.1113,207,2229,198706,16:00:00,0.7001,198709
04/22/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1102,0.1104,0.109,0.1094,188,2188,198706,16:00:00,0.6982,198709
04/23/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1157,0.1167,0.1138,0.115,114,2198,198706,16:00:00,0.7038,198709
04/24/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1126,0.1147,0.1125,0.1147,233,2050,198706,16:00:00,0.7035,198709
04/27/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1195,0.1195,0.1104,0.1104,208,1961,198706,16:00:00,0.6992,198709
04/28/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1105,0.1117,0.1075,0.1089,146,1930,198706,16:00:00,0.6977,198709
04/29/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1112,0.1112,0.1102,0.1108,82,1956,198706,16:00:00,0.6996,198709
04/30/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1079,0.1082,0.1062,0.1066,77,1939,198706,16:00:00,0.6954,198709
05/01/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1079,0.1079,0.1059,0.1068,492,1913,198706,16:00:00,0.6956,198709
05/04/1987,&6A_CCB,Australian Dollar Continuous Contract Backadjusted,0.1085,0.1108,0.1085,0.1095,131,1899,198706,16:00:00,0.6983,198709
