Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/20/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2584,1.2584,1.2584,1.2584,0,211,198003,16:00:00,2.023,198006
03/21/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2584,1.2584,1.2584,1.2584,8,210,198003,16:00:00,2.023,198006
03/22/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2584,1.2584,1.2504,1.2584,1,210,198003,16:00:00,2.023,198006
03/23/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2554,1.2554,1.2554,1.2554,2,211,198003,16:00:00,2.02,198006
03/26/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2559,1.2654,1.2559,1.2654,1,209,198003,16:00:00,2.03,198006
03/27/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2654,1.2654,1.2654,1.2654,1,210,198003,16:00:00,2.03,198006
03/28/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2654,1.2654,1.2654,1.2654,0,210,198003,16:00:00,2.03,198006
03/29/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2754,1.2754,1.2754,1.2754,0,210,198003,16:00:00,2.04,198006
03/30/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2829,1.2829,1.2804,1.2829,2,211,198003,16:00:00,2.0475,198006
04/02/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2879,1.2879,1.2879,1.2879,3,211,198003,16:00:00,2.0525,198006
04/03/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2879,1.2879,1.2879,1.2879,9,210,198003,16:00:00,2.0525,198006
04/04/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2879,1.2879,1.2879,1.2879,2,208,198003,16:00:00,2.0525,198006
04/05/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2904,1.2984,1.2904,1.2984,2,208,198003,16:00:00,2.063,198006
04/06/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3084,1.3084,1.3079,1.3079,2,208,198003,16:00:00,2.0725,198006
04/09/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3204,1.3204,1.3204,1.3204,14,215,198003,16:00:00,2.085,198006
04/10/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3204,1.3274,1.3204,1.3204,8,212,198003,16:00:00,2.085,198006
04/11/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3204,1.3204,1.3204,1.3204,3,213,198003,16:00:00,2.085,198006
04/12/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3124,1.3124,1.3054,1.3124,1,214,198003,16:00:00,2.077,198006
04/16/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3144,1.3144,1.3144,1.3144,3,216,198003,16:00:00,2.079,198006
04/17/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3124,1.3124,1.3104,1.3104,3,215,198003,16:00:00,2.075,198006
04/18/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3104,1.3104,1.2934,1.3104,3,218,198003,16:00:00,2.075,198006
04/19/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.2954,1.2864,1.2924,15,217,198003,16:00:00,2.057,198006
04/20/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2924,1.2924,1.2924,1.2924,2,218,198003,16:00:00,2.057,198006
04/23/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2924,1.2924,1.2924,1.2924,0,218,198003,16:00:00,2.057,198006
04/24/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2874,1.2874,1.2874,1.2874,0,218,198003,16:00:00,2.052,198006
04/25/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2704,1.2704,1.2429,1.2429,5,217,198003,16:00:00,2.0075,198006
04/26/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2624,1.2654,1.2624,1.2624,1,218,198003,16:00:00,2.027,198006
04/27/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2734,1.2734,1.2714,1.2734,5,218,198003,16:00:00,2.038,198006
04/30/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2894,1.2894,1.2894,1.2894,2,218,198003,16:00:00,2.054,198006
05/01/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2884,1.2884,1.2764,1.2764,5,218,198003,16:00:00,2.041,198006
05/02/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2854,1.2874,1.2854,1.2874,2,218,198003,16:00:00,2.052,198006
05/03/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.3014,1.2954,1.3014,1,218,198003,16:00:00,2.066,198006
05/04/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3004,1.3034,1.3004,1.3014,2,217,198003,16:00:00,2.066,198006
05/07/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3044,1.3044,1.3044,1.3044,2,217,198003,16:00:00,2.069,198006
05/08/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3044,1.3044,1.3044,1.3044,0,217,198003,16:00:00,2.069,198006
05/09/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.3044,1.3044,1.3044,1.3044,0,217,198003,16:00:00,2.069,198006
05/10/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2704,1.2704,1.2704,1.2704,0,217,198003,16:00:00,2.035,198006
05/11/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2574,1.2574,1.2574,1.2574,3,218,198003,16:00:00,2.022,198006
05/14/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2654,1.2654,1.2654,1.2654,6,223,198003,16:00:00,2.03,198006
05/15/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2834,1.2874,1.2834,1.2874,2,225,198003,16:00:00,2.052,198006
05/16/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2784,1.2804,1.2754,1.2784,21,229,198003,16:00:00,2.043,198006
05/17/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2779,1.2799,1.2754,1.2774,26,244,198003,16:00:00,2.042,198006
05/18/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2874,1.2874,1.2654,1.2874,16,249,198003,16:00:00,2.052,198006
05/21/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2774,1.2774,1.2634,1.2774,4,251,198003,16:00:00,2.042,198006
05/22/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2649,1.2654,1.2644,1.2654,34,263,198003,16:00:00,2.03,198006
05/23/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2759,1.2759,1.2759,1.2759,2,264,198003,16:00:00,2.0405,198006
05/24/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2759,1.2759,1.2759,1.2759,0,264,198003,16:00:00,2.0405,198006
05/25/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2734,1.2754,1.2734,1.2734,5,264,198003,16:00:00,2.038,198006
05/29/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2754,1.2754,1.2754,1.2754,5,262,198003,16:00:00,2.04,198006
05/30/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2784,1.2784,1.2784,1.2784,3,264,198003,16:00:00,2.043,198006
05/31/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.2954,1.2934,1.2954,8,266,198003,16:00:00,2.06,198006
06/01/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.2954,1.2954,1.2954,0,266,198003,16:00:00,2.06,198006
06/04/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.2954,1.2954,1.2954,22,266,198003,16:00:00,2.06,198006
06/05/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2994,1.2994,1.2994,1.2994,1,267,198003,16:00:00,2.064,198006
06/06/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2954,1.2954,1.2954,1.2954,1,267,198003,16:00:00,2.06,198006
06/07/1979,&6B_CCB,British Pound Continuous Contract Backadjusted,1.2779,1.2794,1.2774,1.2794,5,270,198003,16:00:00,2.044,198006
