Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/05/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65075,0.65125,0.65075,0.65125,20,20,198003,16:00:00,0.8465,198006
03/06/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.64775,0.64775,0.64775,0.64775,1,21,198003,16:00:00,0.843,198006
03/07/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.64775,0.64775,0.64775,0.64775,1,22,198003,16:00:00,0.843,198006
03/08/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.64775,0.64775,0.64775,0.64775,0,22,198003,16:00:00,0.843,198006
03/09/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65175,0.65175,0.65175,0.65175,0,22,198003,16:00:00,0.847,198006
03/12/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65425,0.65425,0.65425,0.65425,0,22,198003,16:00:00,0.8495,198006
03/13/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65975,0.66025,0.65975,0.66025,2,23,198003,16:00:00,0.8555,198006
03/14/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65425,0.65425,0.65425,0.65425,0,23,198003,16:00:00,0.8495,198006
03/15/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.65325,0.65325,0.65325,0.65325,0,23,198003,16:00:00,0.8485,198006
03/16/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66025,0.66025,0.66025,0.66025,0,23,198003,16:00:00,0.8555,198006
03/19/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66425,0.66615,0.66425,0.66615,2,24,198003,16:00:00,0.8614,198006
03/20/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66615,0.66615,0.66615,0.66615,0,24,198003,16:00:00,0.8614,198006
03/21/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66315,0.66315,0.66315,0.66315,0,24,198003,16:00:00,0.8584,198006
03/22/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66615,0.66615,0.66615,0.66615,0,24,198003,16:00:00,0.8614,198006
03/23/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66315,0.66315,0.66315,0.66315,0,24,198003,16:00:00,0.8584,198006
03/26/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66315,0.66315,0.66315,0.66315,0,24,198003,16:00:00,0.8584,198006
03/27/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66315,0.66315,0.66315,0.66315,0,24,198003,16:00:00,0.8584,198006
03/28/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66525,0.66575,0.66525,0.66575,1,24,198003,16:00:00,0.861,198006
03/29/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66595,0.66595,0.66595,0.66595,0,24,198003,16:00:00,0.8612,198006
03/30/1979,&6C_CCB,Canadian Dollar Continuous Contract Backadjusted,0.66755,0.66755,0.66755,0.66755,1,24,198003,16:00:00,0.8628,198006
