Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3924,1.4055,1.3923,1.3996,2926,1313,199903,16:00:00,1.1866,199906
01/05/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3998,1.4014,1.3922,1.395,2112,2091,199903,16:00:00,1.182,199906
01/06/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.395,1.3957,1.371,1.3772,5107,3816,199903,16:00:00,1.1642,199906
01/07/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3792,1.3903,1.3782,1.3879,3894,4191,199903,16:00:00,1.1749,199906
01/08/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3881,1.3887,1.3705,1.3759,4032,4469,199903,16:00:00,1.1629,199906
01/11/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3732,1.3767,1.3648,1.3653,6195,7627,199903,16:00:00,1.1523,199906
01/12/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.366,1.373,1.3616,1.3716,3266,8241,199903,16:00:00,1.1586,199906
01/13/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3731,1.3955,1.3723,1.3818,5765,7212,199903,16:00:00,1.1688,199906
01/14/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3827,1.3889,1.3784,1.3872,1304,6902,199903,16:00:00,1.1742,199906
01/15/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3868,1.39,1.3728,1.3752,1065,6466,199903,16:00:00,1.1622,199906
01/19/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3727,1.3798,1.3727,1.3773,1889,6184,199903,16:00:00,1.1643,199906
01/20/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3772,1.378,1.3705,1.3716,1596,6494,199903,16:00:00,1.1586,199906
01/21/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3727,1.3773,1.371,1.376,1115,6356,199903,16:00:00,1.163,199906
01/22/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3758,1.3784,1.3721,1.3746,1246,6823,199903,16:00:00,1.1616,199906
01/25/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3739,1.3768,1.3713,1.3714,975,7176,199903,16:00:00,1.1584,199906
01/26/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3715,1.3745,1.3705,1.3719,1853,6850,199903,16:00:00,1.1589,199906
01/27/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.372,1.372,1.3565,1.3589,14839,18690,199903,16:00:00,1.1459,199906
01/28/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3595,1.3624,1.3535,1.3576,7198,22412,199903,16:00:00,1.1446,199906
01/29/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3568,1.3582,1.35,1.3521,2584,23650,199903,16:00:00,1.1391,199906
02/01/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3538,1.3547,1.3443,1.3466,5328,27109,199903,16:00:00,1.1336,199906
02/02/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3454,1.3518,1.3441,1.3501,2629,27050,199903,16:00:00,1.1371,199906
02/03/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3501,1.3512,1.3461,1.3471,4844,26981,199903,16:00:00,1.1341,199906
02/04/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3467,1.3495,1.3405,1.3485,6027,27998,199903,16:00:00,1.1355,199906
02/05/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3484,1.3519,1.3404,1.3415,2585,28482,199903,16:00:00,1.1285,199906
02/08/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3418,1.3476,1.3371,1.3474,10464,29894,199903,16:00:00,1.1344,199906
02/09/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3458,1.3504,1.3428,1.3438,2001,30301,199903,16:00:00,1.1308,199906
02/10/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3465,1.3508,1.3426,1.3493,4079,27459,199903,16:00:00,1.1363,199906
02/11/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.346,1.3479,1.3375,1.3379,2949,28798,199903,16:00:00,1.1249,199906
02/12/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3384,1.3434,1.3357,1.3426,4004,27749,199903,16:00:00,1.1296,199906
02/16/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.343,1.3447,1.3307,1.3347,6754,30110,199903,16:00:00,1.1217,199906
02/17/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.335,1.3409,1.3349,1.3381,5049,30473,199903,16:00:00,1.1251,199906
02/18/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3398,1.3418,1.3332,1.3346,1765,31306,199903,16:00:00,1.1216,199906
02/19/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3365,1.3365,1.3202,1.3205,5547,33770,199903,16:00:00,1.1075,199906
02/22/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3163,1.3198,1.3114,1.3177,10335,37541,199903,16:00:00,1.1047,199906
02/23/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3174,1.3206,1.3085,1.3146,2774,37157,199903,16:00:00,1.1016,199906
02/24/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3148,1.3185,1.3068,1.3126,6587,35495,199903,16:00:00,1.0996,199906
02/25/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3139,1.3215,1.313,1.3183,6660,31204,199903,16:00:00,1.1053,199906
02/26/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3169,1.3185,1.3094,1.3154,6192,31506,199903,16:00:00,1.1024,199906
03/01/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3124,1.3163,1.3021,1.3023,11310,39082,199903,16:00:00,1.0893,199906
03/02/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3028,1.3075,1.2999,1.3055,9575,35989,199903,16:00:00,1.0925,199906
03/03/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3068,1.3082,1.3017,1.3025,9064,35003,199903,16:00:00,1.0895,199906
03/04/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3021,1.3026,1.2927,1.2955,8967,35268,199903,16:00:00,1.0825,199906
03/05/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.2934,1.2997,1.2908,1.296,9643,34838,199903,16:00:00,1.083,199906
03/08/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.2955,1.3055,1.2939,1.3022,21368,39649,199903,16:00:00,1.0892,199906
03/09/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.303,1.304,1.2997,1.3024,19814,44090,199903,16:00:00,1.0894,199906
03/10/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3048,1.312,1.3048,1.3085,22255,44952,199903,16:00:00,1.0955,199906
03/11/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3085,1.318,1.2936,1.3162,29009,52365,199903,16:00:00,1.1032,199906
03/12/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.307,1.3085,1.3031,1.3035,16688,51548,199903,16:00:00,1.0905,199906
03/15/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3035,1.3098,1.3019,1.3067,12739,49350,199906,16:00:00,1.0989,199909
03/16/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3062,1.3136,1.2944,1.3129,20198,32579,199906,16:00:00,1.1051,199909
03/17/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3124,1.3173,1.3068,1.3133,9779,31269,199906,16:00:00,1.1055,199909
03/18/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3123,1.3198,1.309,1.3099,10309,29761,199906,16:00:00,1.1021,199909
03/19/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3099,1.3122,1.3009,1.3016,7723,32815,199906,16:00:00,1.0938,199909
03/22/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3038,1.3045,1.2981,1.3043,8009,32373,199906,16:00:00,1.0965,199909
03/23/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3034,1.3052,1.2991,1.3036,7642,29252,199906,16:00:00,1.0958,199909
03/24/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3039,1.309,1.3005,1.3018,7474,27883,199906,16:00:00,1.094,199909
03/25/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.3012,1.303,1.2958,1.2961,5306,30060,199906,16:00:00,1.0883,199909
03/26/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.2959,1.2988,1.2838,1.2891,20962,37931,199906,16:00:00,1.0813,199909
03/29/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.2874,1.2908,1.2808,1.2862,10164,36932,199906,16:00:00,1.0784,199909
03/30/1999,&6E_CCB,Euro FX Continuous Contract Backadjusted,1.2858,1.2898,1.2827,1.284,3013,36612,199906,16:00:00,1.0762,199909
