Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/01/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.34755,1.34755,1.34755,1.34755,0,0,198003,16:00:00,0.462,198006
05/02/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.34905,1.34905,1.34755,1.34755,4,1,198003,16:00:00,0.462,198006
05/03/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.34905,1.34905,1.34905,1.34905,0,1,198003,16:00:00,0.4635,198006
05/04/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35305,1.35305,1.35305,1.35305,0,1,198003,16:00:00,0.4675,198006
05/07/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36305,1.36305,1.36305,1.36305,0,1,198003,16:00:00,0.4775,198006
05/08/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36305,1.36305,1.36305,1.36305,0,1,198003,16:00:00,0.4775,198006
05/09/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37305,1.37305,1.37305,1.37305,0,1,198003,16:00:00,0.4875,198006
05/10/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37205,1.37205,1.37205,1.37205,0,1,198003,16:00:00,0.4865,198006
05/11/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37455,1.37455,1.37455,1.37455,0,1,198003,16:00:00,0.489,198006
05/14/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37455,1.37455,1.37455,1.37455,0,1,198003,16:00:00,0.489,198006
05/15/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37355,1.37355,1.37355,1.37355,0,1,198003,16:00:00,0.488,198006
05/16/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.37255,1.37255,1.37255,1.37255,0,1,198003,16:00:00,0.487,198006
05/17/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36605,1.36605,1.36605,1.36605,0,1,198003,16:00:00,0.4805,198006
05/18/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.36055,1.36055,1,2,198003,16:00:00,0.475,198006
05/21/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.36055,1.36055,2,3,198003,16:00:00,0.475,198006
05/22/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.36055,1.36055,0,3,198003,16:00:00,0.475,198006
05/23/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.36055,1.36055,0,3,198003,16:00:00,0.475,198006
05/24/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.36055,1.36055,0,3,198003,16:00:00,0.475,198006
05/25/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35855,1.35855,1.35855,1.35855,0,3,198003,16:00:00,0.473,198006
05/29/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.34905,1.35005,1.34905,1.35005,1,4,198003,16:00:00,0.4645,198006
05/30/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35005,1.35755,1.35005,1.35755,4,8,198003,16:00:00,0.472,198006
05/31/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35555,1.35555,1.35555,1.35555,0,8,198003,16:00:00,0.47,198006
06/01/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35405,1.35405,1.35405,1.35405,0,8,198003,16:00:00,0.4685,198006
06/04/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35555,1.35805,1.35555,1.35805,5,13,198003,16:00:00,0.4725,198006
06/05/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35805,1.35805,1.35805,1.35805,0,13,198003,16:00:00,0.4725,198006
06/06/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35805,1.35805,1.35805,1.35805,0,13,198003,16:00:00,0.4725,198006
06/07/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35805,1.35805,1.35805,1.35805,0,13,198003,16:00:00,0.4725,198006
06/08/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36205,1.36205,1.35955,1.36075,14,26,198003,16:00:00,0.4752,198006
06/11/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35835,1.35835,1.35755,1.35755,11,24,198003,16:00:00,0.472,198006
06/12/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35455,1.35455,1.35455,1.35455,1,24,198003,16:00:00,0.469,198006
06/13/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35305,1.35305,1.35305,1.35305,0,24,198003,16:00:00,0.4675,198006
06/14/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35405,1.35405,1.35405,1.35405,1,25,198003,16:00:00,0.4685,198006
06/15/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35755,1.35755,1.35755,1.35755,0,25,198003,16:00:00,0.472,198006
06/18/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35705,1.35705,1.35705,1.35705,0,0,198003,16:00:00,0.4715,198006
06/19/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35805,1.35855,1.35705,1.35855,5,28,198003,16:00:00,0.473,198006
06/20/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35755,1.35775,1.35735,1.35735,29,53,198003,16:00:00,0.4718,198006
06/21/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35785,1.36255,1.35705,1.36205,65,114,198003,16:00:00,0.4765,198006
06/22/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36255,1.36675,1.36255,1.36555,17,128,198003,16:00:00,0.48,198006
06/25/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36955,1.37455,1.36955,1.37105,61,189,198003,16:00:00,0.4855,198006
06/26/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36555,1.36555,1.36305,1.36305,56,225,198003,16:00:00,0.4775,198006
06/27/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36505,1.36505,1.36105,1.36105,18,230,198003,16:00:00,0.4755,198006
06/28/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36435,1.36435,1.36105,1.36155,6,234,198003,16:00:00,0.476,198006
06/29/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36055,1.36055,1.35805,1.35805,3,237,198003,16:00:00,0.4725,198006
07/02/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35905,1.35905,1.35805,1.35805,4,237,198003,16:00:00,0.4725,198006
07/03/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.35905,1.35905,1.35905,1.35905,0,237,198003,16:00:00,0.4735,198006
07/05/1979,&6J_CCB,Japanese Yen Continuous Contract Backadjusted,1.36405,1.36415,1.36215,1.36215,13,248,198003,16:00:00,0.4766,198006
