Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060375,-0.059875,-0.067875,-0.066075,832,632,199506,16:00:00,0.1568,199509
04/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065875,-0.063675,-0.065875,-0.063975,866,1078,199506,16:00:00,0.1589,199509
04/27/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064175,-0.063175,-0.072875,-0.067875,918,1300,199506,16:00:00,0.155,199509
04/28/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.066875,-0.065875,-0.069875,-0.067175,557,1455,199506,16:00:00,0.1557,199509
05/01/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065375,-0.065375,-0.066125,-0.065875,53,1475,199506,16:00:00,0.157,199509
05/02/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.066375,-0.063975,-0.067075,-0.064175,551,1611,199506,16:00:00,0.1587,199509
05/03/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064075,-0.061675,-0.064375,-0.063075,656,1648,199506,16:00:00,0.1598,199509
05/04/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062875,-0.062675,-0.064175,-0.062875,286,1612,199506,16:00:00,0.16,199509
05/05/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062775,-0.062475,-0.062825,-0.062575,86,1595,199506,16:00:00,0.1603,199509
05/08/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062375,-0.061875,-0.062875,-0.061975,350,1744,199506,16:00:00,0.1609,199509
05/09/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061975,-0.060475,-0.062975,-0.062375,589,1887,199506,16:00:00,0.1605,199509
05/10/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061875,-0.060875,-0.064875,-0.062575,734,2084,199506,16:00:00,0.1603,199509
05/11/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061875,-0.060675,-0.062675,-0.061275,339,2222,199506,16:00:00,0.1616,199509
05/12/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061175,-0.061175,-0.062275,-0.062075,445,2296,199506,16:00:00,0.1608,199509
05/15/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061875,-0.061875,-0.062675,-0.061875,455,2575,199506,16:00:00,0.161,199509
05/16/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061575,-0.061375,-0.061975,-0.061675,357,2764,199506,16:00:00,0.1612,199509
05/17/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061675,-0.060625,-0.061775,-0.060875,306,2775,199506,16:00:00,0.162,199509
05/18/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060275,-0.058875,-0.060675,-0.058875,450,2815,199506,16:00:00,0.164,199509
05/19/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059075,-0.058375,-0.059375,-0.059275,538,2868,199506,16:00:00,0.1636,199509
05/22/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059275,-0.058475,-0.059275,-0.058475,656,3290,199506,16:00:00,0.1644,199509
05/23/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058675,-0.058575,-0.060275,-0.060075,687,3407,199506,16:00:00,0.1628,199509
05/24/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060875,-0.060875,-0.063875,-0.061075,759,3800,199506,16:00:00,0.1618,199509
05/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062375,-0.061275,-0.063875,-0.061975,700,4105,199506,16:00:00,0.1609,199509
05/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062675,-0.062675,-0.064375,-0.064025,217,4215,199506,16:00:00,0.15885,199509
05/30/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064375,-0.064375,-0.068075,-0.066375,661,4388,199506,16:00:00,0.1565,199509
05/31/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065375,-0.063775,-0.065875,-0.065525,469,4516,199506,16:00:00,0.15735,199509
06/01/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.066375,-0.064275,-0.066375,-0.064275,326,4476,199506,16:00:00,0.1586,199509
06/02/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064375,-0.063975,-0.064675,-0.064225,381,4537,199506,16:00:00,0.15865,199509
06/05/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065275,-0.062075,-0.065675,-0.062375,804,4617,199506,16:00:00,0.1605,199509
06/06/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062775,-0.061375,-0.063075,-0.061875,686,4867,199506,16:00:00,0.161,199509
06/07/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064375,-0.062675,-0.064375,-0.062975,555,4860,199506,16:00:00,0.1599,199509
06/08/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062975,-0.062975,-0.064675,-0.063675,583,4848,199506,16:00:00,0.1592,199509
06/09/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.063875,-0.063875,-0.065075,-0.065075,798,4982,199506,16:00:00,0.1578,199509
06/12/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065075,-0.063375,-0.065075,-0.063375,283,5092,199506,16:00:00,0.1595,199509
06/13/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062375,-0.061975,-0.062875,-0.062275,715,5216,199506,16:00:00,0.1606,199509
06/14/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062475,-0.062375,-0.063375,-0.062375,590,5394,199506,16:00:00,0.1605,199509
06/15/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061875,-0.060975,-0.061875,-0.061075,1199,5639,199506,16:00:00,0.1618,199509
06/16/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060875,-0.060775,-0.060875,-0.060775,436,5549,199506,16:00:00,0.1621,199509
06/19/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061675,-0.060375,-0.061675,-0.060575,135,4845,199509,16:00:00,0.1486,199512
06/20/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061075,-0.060975,-0.061675,-0.061575,790,5298,199509,16:00:00,0.1476,199512
06/21/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062375,-0.062175,-0.063075,-0.062175,625,5624,199509,16:00:00,0.147,199512
06/22/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062175,-0.060575,-0.062175,-0.060575,473,5591,199509,16:00:00,0.1486,199512
06/23/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.061175,-0.060675,-0.061475,-0.060775,264,5880,199509,16:00:00,0.1484,199512
06/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060675,-0.060475,-0.060875,-0.060475,222,5857,199509,16:00:00,0.1487,199512
06/27/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060275,-0.059675,-0.060675,-0.059875,418,6099,199509,16:00:00,0.1493,199512
06/28/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059975,-0.059825,-0.060975,-0.059825,646,6368,199509,16:00:00,0.14935,199512
06/29/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059925,-0.058675,-0.060175,-0.058875,306,6377,199509,16:00:00,0.1503,199512
06/30/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058675,-0.058425,-0.058975,-0.058775,353,6482,199509,16:00:00,0.1504,199512
07/03/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058675,-0.058675,-0.058725,-0.058725,96,6527,199509,16:00:00,0.15045,199512
07/05/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058725,-0.058725,-0.058975,-0.058975,64,6533,199509,16:00:00,0.1502,199512
07/06/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058675,-0.057675,-0.058675,-0.058275,508,6744,199509,16:00:00,0.1509,199512
07/07/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.057375,-0.055175,-0.057375,-0.055775,700,6933,199509,16:00:00,0.1534,199512
07/10/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.055775,-0.054675,-0.056175,-0.054675,772,7086,199509,16:00:00,0.1545,199512
07/11/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054775,-0.054775,-0.055875,-0.055175,923,7510,199509,16:00:00,0.154,199512
07/12/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054775,-0.053675,-0.055275,-0.053675,708,7822,199509,16:00:00,0.1555,199512
07/13/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053175,-0.051975,-0.053175,-0.052575,838,8165,199509,16:00:00,0.1566,199512
07/14/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052175,-0.051175,-0.052175,-0.051575,927,8333,199509,16:00:00,0.1576,199512
07/17/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051575,-0.050575,-0.051575,-0.050575,656,8574,199509,16:00:00,0.1586,199512
07/18/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050475,-0.050475,-0.052375,-0.052175,374,8677,199509,16:00:00,0.157,199512
07/19/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053175,-0.052675,-0.054375,-0.053175,1012,9023,199509,16:00:00,0.156,199512
07/20/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053175,-0.053175,-0.056975,-0.054775,964,9080,199509,16:00:00,0.1544,199512
07/21/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054175,-0.052975,-0.054175,-0.052975,853,8755,199509,16:00:00,0.1562,199512
07/24/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052875,-0.052875,-0.053975,-0.053975,999,9063,199509,16:00:00,0.1552,199512
07/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053975,-0.052875,-0.054475,-0.053075,635,9114,199509,16:00:00,0.1561,199512
07/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052575,-0.052475,-0.052975,-0.052975,384,9201,199509,16:00:00,0.1562,199512
07/27/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052475,-0.051975,-0.052475,-0.052275,325,9170,199509,16:00:00,0.1569,199512
07/28/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052875,-0.051975,-0.052875,-0.052025,270,9173,199509,16:00:00,0.15715,199512
07/31/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052175,-0.051575,-0.052475,-0.051775,138,9173,199509,16:00:00,0.1574,199512
08/01/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051575,-0.051575,-0.052475,-0.052075,597,9288,199509,16:00:00,0.1571,199512
08/02/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051675,-0.051225,-0.051775,-0.051325,827,9566,199509,16:00:00,0.15785,199512
08/03/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051075,-0.050975,-0.051475,-0.051475,730,9808,199509,16:00:00,0.1577,199512
08/04/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051975,-0.051475,-0.052375,-0.051475,332,9857,199509,16:00:00,0.1577,199512
08/07/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.050475,-0.051575,-0.051575,339,10020,199509,16:00:00,0.1576,199512
08/08/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051675,-0.051175,-0.051675,-0.051375,347,9993,199509,16:00:00,0.1578,199512
08/09/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051375,-0.05105,-0.051675,-0.05105,306,10096,199509,16:00:00,0.158125,199512
08/10/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051075,-0.050975,-0.051175,-0.051075,251,10021,199509,16:00:00,0.1581,199512
08/11/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.050875,-0.051175,-0.050975,391,10156,199509,16:00:00,0.1582,199512
08/14/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050675,-0.050375,-0.050675,-0.050675,176,10190,199509,16:00:00,0.1585,199512
08/15/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050575,-0.050475,-0.050975,-0.050675,640,10406,199509,16:00:00,0.1585,199512
08/16/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050775,-0.050775,-0.051575,-0.051175,575,10747,199509,16:00:00,0.158,199512
08/17/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051375,-0.051075,-0.051575,-0.051475,934,10885,199509,16:00:00,0.1577,199512
08/18/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052975,-0.052175,-0.052975,-0.052275,1259,11184,199509,16:00:00,0.1569,199512
08/21/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051775,-0.051275,-0.051875,-0.051375,598,11251,199509,16:00:00,0.1578,199512
08/22/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.051075,-0.052675,-0.052675,624,11395,199509,16:00:00,0.1565,199512
08/23/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052875,-0.052775,-0.054175,-0.053475,1044,11749,199509,16:00:00,0.1557,199512
08/24/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054175,-0.052175,-0.055175,-0.053625,2073,12023,199509,16:00:00,0.15555,199512
08/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052775,-0.052075,-0.053575,-0.053575,601,12199,199509,16:00:00,0.1556,199512
08/28/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053075,-0.052975,-0.053375,-0.053025,217,12241,199509,16:00:00,0.15615,199512
08/29/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053175,-0.052375,-0.053575,-0.052675,377,12256,199509,16:00:00,0.1565,199512
08/30/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.052675,-0.051375,-0.052675,-0.051875,924,12226,199509,16:00:00,0.1573,199512
08/31/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051575,-0.050925,-0.051975,-0.051025,711,12403,199509,16:00:00,0.15815,199512
09/01/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050975,-0.050675,-0.051675,-0.051375,103,12503,199509,16:00:00,0.1578,199512
09/05/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050375,-0.049975,-0.050375,-0.050175,858,12639,199509,16:00:00,0.159,199512
09/06/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050275,-0.050275,-0.050875,-0.050525,1077,12708,199509,16:00:00,0.15865,199512
09/07/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049875,-0.049875,-0.050875,-0.05055,1419,12604,199509,16:00:00,0.158625,199512
09/08/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050175,-0.050075,-0.051375,-0.051075,1121,12827,199509,16:00:00,0.1581,199512
09/11/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.050675,-0.051275,-0.051075,2013,12923,199509,16:00:00,0.1581,199512
09/12/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050875,-0.050475,-0.050975,-0.050475,1267,13224,199509,16:00:00,0.1587,199512
09/13/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050475,-0.050375,-0.050675,-0.050475,939,13167,199509,16:00:00,0.1587,199512
09/14/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050475,-0.049975,-0.050475,-0.049975,899,12985,199509,16:00:00,0.1592,199512
09/15/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049975,-0.049675,-0.049975,-0.049775,684,12900,199509,16:00:00,0.1594,199512
09/18/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049675,-0.049375,-0.050075,-0.049675,225,10599,199512,16:00:00,0.1495,199603
09/19/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049675,-0.049575,-0.049925,-0.049625,800,10826,199512,16:00:00,0.14955,199603
09/20/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049375,-0.049375,-0.050475,-0.049875,831,11312,199512,16:00:00,0.1493,199603
09/21/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.049675,-0.049475,-0.050275,-0.050075,482,11397,199512,16:00:00,0.1491,199603
09/22/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050275,-0.050275,-0.051075,-0.050725,794,11576,199512,16:00:00,0.14845,199603
09/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.051075,-0.051775,-0.051675,486,11788,199512,16:00:00,0.1475,199603
09/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051475,-0.050875,-0.051675,-0.051675,687,11737,199512,16:00:00,0.1475,199603
09/27/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.051175,-0.051175,-0.057675,-0.053475,964,11951,199512,16:00:00,0.1457,199603
09/28/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054175,-0.051375,-0.054175,-0.051375,871,11981,199512,16:00:00,0.1478,199603
09/29/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050775,-0.050425,-0.051275,-0.051275,719,12128,199512,16:00:00,0.1479,199603
10/02/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.050975,-0.050975,-0.053075,-0.053075,312,12276,199512,16:00:00,0.1461,199603
10/03/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.053975,-0.053975,-0.056375,-0.055925,1067,12444,199512,16:00:00,0.14325,199603
10/04/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.055775,-0.055175,-0.056475,-0.056475,598,12540,199512,16:00:00,0.1427,199603
10/05/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.055175,-0.054975,-0.055975,-0.055025,644,12653,199512,16:00:00,0.14415,199603
10/06/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.055575,-0.054875,-0.055575,-0.055,376,12682,199512,16:00:00,0.144175,199603
10/09/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.054675,-0.054675,-0.054875,-0.054875,44,12691,199512,16:00:00,0.1443,199603
10/10/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058875,-0.058875,-0.062175,-0.059875,1303,12988,199512,16:00:00,0.1393,199603
10/11/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059175,-0.058575,-0.060675,-0.060275,1037,13308,199512,16:00:00,0.1389,199603
10/12/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060175,-0.058575,-0.060175,-0.058725,983,13373,199512,16:00:00,0.14045,199603
10/13/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059375,-0.059375,-0.060875,-0.060775,601,13552,199512,16:00:00,0.1384,199603
10/16/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060775,-0.060175,-0.060875,-0.060325,198,13615,199512,16:00:00,0.13885,199603
10/17/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059975,-0.059975,-0.060775,-0.060075,745,13789,199512,16:00:00,0.1391,199603
10/18/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.059775,-0.057875,-0.059775,-0.058025,1216,13715,199512,16:00:00,0.14115,199603
10/19/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.057975,-0.057275,-0.057975,-0.057275,554,13868,199512,16:00:00,0.1419,199603
10/20/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.057175,-0.056175,-0.057375,-0.056175,514,13858,199512,16:00:00,0.143,199603
10/23/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.056775,-0.056675,-0.059275,-0.058925,692,13933,199512,16:00:00,0.14025,199603
10/24/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058775,-0.058175,-0.059175,-0.058625,407,14018,199512,16:00:00,0.14055,199603
10/25/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.058175,-0.058175,-0.060675,-0.059375,1107,14242,199512,16:00:00,0.1398,199603
10/26/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.060175,-0.060175,-0.072675,-0.072175,1427,14525,199512,16:00:00,0.127,199603
10/27/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.074175,-0.067675,-0.074175,-0.067825,1719,14650,199512,16:00:00,0.13135,199603
10/30/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.064175,-0.059175,-0.064275,-0.062125,1925,14120,199512,16:00:00,0.13705,199603
10/31/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.062125,-0.062125,-0.066275,-0.065575,1975,14167,199512,16:00:00,0.1336,199603
11/01/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.065175,-0.065175,-0.072175,-0.069175,1024,14277,199512,16:00:00,0.13,199603
11/02/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.070675,-0.068175,-0.070675,-0.068575,108,14293,199512,16:00:00,0.1306,199603
11/03/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.067975,-0.067975,-0.076675,-0.071675,1128,14346,199512,16:00:00,0.1275,199603
11/06/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.070175,-0.068175,-0.073675,-0.071975,878,14511,199512,16:00:00,0.1272,199603
11/07/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.072375,-0.071875,-0.074375,-0.072575,747,14656,199512,16:00:00,0.1266,199603
11/08/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.072375,-0.072275,-0.079175,-0.078075,1361,14785,199512,16:00:00,0.1211,199603
11/09/1995,&6M_CCB,Mexican Peso Continuous Contract Backadjusted,-0.078675,-0.075675,-0.085175,-0.077675,2322,14673,199512,16:00:00,0.1215,199603
