Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/19/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45315,0.45315,0.45315,0.45315,0,0,200703,16:00:00,0.6712,200706
09/20/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45415,0.45415,0.45415,0.45415,0,0,200703,16:00:00,0.6722,200706
09/21/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45165,0.45165,0.45165,0.45165,0,0,200703,16:00:00,0.6697,200706
09/22/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44685,0.44685,0.44685,0.44685,0,0,200703,16:00:00,0.6649,200706
09/23/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44195,0.44195,0.44195,0.44195,0,0,200703,16:00:00,0.66,200706
09/26/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44015,0.44015,0.44015,0.44015,0,0,200703,16:00:00,0.6582,200706
09/27/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.43545,0.43545,0.43545,0.43545,0,0,200703,16:00:00,0.6535,200706
09/28/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.43965,0.43965,0.43965,0.43965,0,0,200703,16:00:00,0.6577,200706
09/29/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44515,0.44515,0.44515,0.44515,0,0,200703,16:00:00,0.6632,200706
09/30/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44465,0.44465,0.44465,0.44465,0,0,200703,16:00:00,0.6627,200706
10/03/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44515,0.44515,0.44515,0.44515,0,0,200703,16:00:00,0.6632,200706
10/04/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45145,0.45145,0.45145,0.45145,0,0,200703,16:00:00,0.6695,200706
10/05/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45095,0.45095,0.45095,0.45095,0,0,200703,16:00:00,0.669,200706
10/06/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45445,0.45445,0.45445,0.45445,0,0,200703,16:00:00,0.6725,200706
10/07/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45245,0.45245,0.45245,0.45245,0,0,200703,16:00:00,0.6705,200706
10/11/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44945,0.44945,0.44945,0.44945,0,0,200703,16:00:00,0.6675,200706
10/12/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45485,0.45485,0.45485,0.45485,0,0,200703,16:00:00,0.6729,200706
10/13/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.44895,0.44895,0.44895,0.44895,0,0,200703,16:00:00,0.667,200706
10/14/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45345,0.45345,0.45345,0.45345,0,0,200703,16:00:00,0.6715,200706
10/17/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45345,0.45345,0.45345,0.45345,0,0,200703,16:00:00,0.6715,200706
10/18/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45395,0.45395,0.45395,0.45395,0,0,200703,16:00:00,0.672,200706
10/19/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45495,0.45495,0.45495,0.45495,0,0,200703,16:00:00,0.673,200706
10/20/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45895,0.45895,0.45895,0.45895,0,0,200703,16:00:00,0.677,200706
10/21/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45745,0.45745,0.45745,0.45745,0,0,200703,16:00:00,0.6755,200706
10/24/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.45945,0.45945,0.45945,0.45945,0,0,200703,16:00:00,0.6775,200706
10/25/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.46345,0.46345,0.46345,0.46345,0,0,200703,16:00:00,0.6815,200706
10/26/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.46115,0.46115,0.46115,0.46115,0,0,200703,16:00:00,0.6792,200706
10/27/2005,&6N_CCB,New Zealand Dollar Continuous Contract Backadjusted,0.46445,0.46445,0.46445,0.46445,0,0,200703,16:00:00,0.6825,200706
