Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/20/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3751,1.3751,1.3751,1.3751,0,211,198003,16:00:00,0.647,198006
03/21/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3741,1.3771,1.3731,1.3771,8,210,198003,16:00:00,0.649,198006
03/22/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3761,1.3761,1.3751,1.3751,1,210,198003,16:00:00,0.647,198006
03/23/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3746,1.3751,1.3746,1.3751,2,211,198003,16:00:00,0.647,198006
03/26/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3761,1.3771,1.3761,1.3771,2,210,198003,16:00:00,0.649,198006
03/27/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3759,1.3759,1.3759,1.3759,0,210,198003,16:00:00,0.6478,198006
03/28/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3759,1.3759,1.3759,1.3759,0,210,198003,16:00:00,0.6478,198006
03/29/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3731,1.3731,1.3731,1.3731,0,210,198003,16:00:00,0.645,198006
03/30/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3686,1.3691,1.3686,1.3691,2,211,198003,16:00:00,0.641,198006
04/02/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3668,1.3668,1.3643,1.3644,3,211,198003,16:00:00,0.6363,198006
04/03/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3646,1.3646,1.3636,1.3638,9,210,198003,16:00:00,0.6357,198006
04/04/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3616,1.3631,1.3616,1.3631,2,208,198003,16:00:00,0.635,198006
04/05/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3586,1.3587,1.3586,1.3586,2,208,198003,16:00:00,0.6305,198006
04/06/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3566,1.3566,1.3566,1.3566,0,208,198003,16:00:00,0.6285,198006
04/09/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3516,1.3516,1.3486,1.3494,14,215,198003,16:00:00,0.6213,198006
04/10/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3539,1.3546,1.3536,1.3536,8,212,198003,16:00:00,0.6255,198006
04/11/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3563,1.3563,1.3552,1.3552,3,213,198003,16:00:00,0.6271,198006
04/12/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3501,1.3501,1.3496,1.3499,2,214,198003,16:00:00,0.6218,198006
04/16/1979,&6S_CCB,Swiss Franc Continuous Contract Backadjusted,1.3487,1.3487,1.3481,1.3481,3,215,198003,16:00:00,0.62,198006
