Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/26/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,266.6,266.6,266.6,266.6,0,0,200401,16:00:00,172.5,200403
05/27/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,269.6,269.6,269.6,269.6,0,0,200401,16:00:00,175.5,200403
05/28/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,269.1,269.1,269.1,269.1,0,0,200401,16:00:00,175.0,200403
05/29/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,269.1,269.1,269.1,269.1,0,0,200401,16:00:00,175.0,200403
05/30/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,273.1,273.1,273.1,273.1,0,0,200401,16:00:00,179.0,200403
06/02/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,270.1,270.1,270.1,270.1,0,0,200401,16:00:00,176.0,200403
06/03/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,270.1,270.1,270.1,270.1,0,0,200401,16:00:00,176.0,200403
06/04/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,269.6,269.6,269.6,269.6,0,0,200401,16:00:00,175.5,200403
06/05/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,267.6,267.6,267.6,267.6,0,0,200401,16:00:00,173.5,200403
06/06/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,270.1,270.1,270.1,270.1,0,0,200401,16:00:00,176.0,200403
06/10/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,274.1,274.1,274.1,274.1,0,0,200401,16:00:00,180.0,200403
06/11/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,276.1,276.1,276.1,276.1,0,0,200401,16:00:00,182.0,200403
06/12/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,275.6,275.6,275.6,275.6,0,0,200401,16:00:00,181.5,200403
06/13/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,274.1,274.1,274.1,274.1,0,0,200401,16:00:00,180.0,200403
06/16/2003,&AFB_CCB,Eastern Australia Feed Barley Continuous Contract Backadjusted,274.1,274.1,274.1,274.1,5,5,200401,16:00:00,180.0,200403
