Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/22/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.028,83.028,82.978,83.008,62,51,198806,16:00:00,90.83,198809
04/25/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.028,83.028,82.928,82.978,37,78,198806,16:00:00,90.8,198809
04/26/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.998,82.998,82.998,82.998,6,72,198806,16:00:00,90.82,198809
04/27/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.988,83.028,82.988,83.018,28,95,198806,16:00:00,90.84,198809
04/28/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.978,82.978,82.978,82.978,37,132,198806,16:00:00,90.8,198809
04/29/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.958,82.938,82.938,40,162,198806,16:00:00,90.76,198809
05/02/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.938,82.938,82.938,82.938,7,157,198806,16:00:00,90.76,198809
05/03/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.938,82.938,82.928,82.928,13,149,198806,16:00:00,90.75,198809
05/04/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.928,82.928,82.928,82.928,0,149,198806,16:00:00,90.75,198809
05/05/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.978,82.988,82.978,82.978,47,164,198806,16:00:00,90.8,198809
05/06/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.988,82.988,82.958,82.958,40,189,198806,16:00:00,90.78,198809
05/09/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.958,82.958,82.958,82.958,20,199,198806,16:00:00,90.78,198809
05/10/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.998,82.998,82.988,82.988,30,224,198806,16:00:00,90.81,198809
05/11/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.978,82.978,82.968,82.968,71,290,198806,16:00:00,90.79,198809
05/12/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.978,82.998,82.978,82.998,23,300,198806,16:00:00,90.82,198809
05/13/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.018,83.058,83.008,83.048,74,345,198806,16:00:00,90.87,198809
05/16/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,13,350,198806,16:00:00,90.86,198809
05/17/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,45,360,198806,16:00:00,90.86,198809
05/18/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.048,83.048,83.048,83.048,40,390,198806,16:00:00,90.87,198809
05/19/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,25,400,198806,16:00:00,90.86,198809
05/20/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,10,410,198806,16:00:00,90.86,198809
05/24/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,0,410,198806,16:00:00,90.86,198809
05/25/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,83.038,83.038,83.038,83.038,0,410,198806,16:00:00,90.86,198809
05/26/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.978,82.998,82.978,82.988,120,480,198806,16:00:00,90.81,198809
05/27/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.958,82.958,82.958,82.958,10,460,198806,16:00:00,90.78,198809
05/30/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.958,82.958,82.958,82.958,0,460,198806,16:00:00,90.78,198809
05/31/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.928,82.928,82.878,82.878,60,450,198806,16:00:00,90.7,198809
06/01/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.858,82.858,82.828,82.828,60,465,198806,16:00:00,90.65,198809
06/03/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.678,82.678,82.678,82.678,20,520,198806,16:00:00,90.5,198809
06/06/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.668,82.668,82.668,82.668,20,520,198806,16:00:00,90.49,198809
06/07/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.668,82.668,82.668,82.668,85,580,198806,16:00:00,90.49,198809
06/08/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.698,82.698,82.698,82.698,5,585,198806,16:00:00,90.52,198809
06/09/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.698,82.698,82.698,82.698,10,595,198806,16:00:00,90.52,198809
06/10/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.788,82.788,82.788,82.788,0,550,198806,16:00:00,90.61,198809
06/13/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.788,82.788,82.788,82.788,0,550,198809,16:00:00,90.3,198812
06/14/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.838,82.978,82.838,82.978,10,350,198809,16:00:00,90.49,198812
06/15/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.938,82.938,82.918,82.928,100,440,198809,16:00:00,90.44,198812
06/16/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.938,82.938,82.938,82.938,23,448,198809,16:00:00,90.45,198812
06/17/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.888,82.898,82.888,82.888,62,495,198809,16:00:00,90.4,198812
06/20/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.808,82.808,82.788,82.788,50,435,198809,16:00:00,90.3,198812
06/21/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.808,82.858,82.808,82.858,35,450,198809,16:00:00,90.37,198812
06/22/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.948,82.948,82.948,15,460,198809,16:00:00,90.46,198812
06/23/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.948,82.948,82.948,0,460,198809,16:00:00,90.46,198812
06/24/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.948,82.948,82.948,0,460,198809,16:00:00,90.46,198812
06/27/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.948,82.948,82.948,0,378,198809,16:00:00,90.46,198812
06/28/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.918,82.918,82.918,82.918,30,398,198809,16:00:00,90.43,198812
06/29/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.888,82.978,82.878,82.978,310,533,198809,16:00:00,90.49,198812
06/30/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.988,82.988,82.988,82.988,22,540,198809,16:00:00,90.5,198812
07/04/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.988,82.988,82.988,82.988,10,550,198809,16:00:00,90.5,198812
07/05/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.988,82.988,82.988,82.988,0,545,198809,16:00:00,90.5,198812
07/06/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.948,82.948,82.948,82.948,18,550,198809,16:00:00,90.46,198812
07/07/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.898,82.898,82.888,82.898,33,548,198809,16:00:00,90.41,198812
07/08/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.838,82.838,82.838,82.838,9,557,198809,16:00:00,90.35,198812
07/11/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.828,82.838,82.828,82.838,64,603,198809,16:00:00,90.35,198812
07/12/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.828,82.828,82.828,82.828,0,603,198809,16:00:00,90.34,198812
07/13/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.758,82.788,82.758,82.788,58,622,198809,16:00:00,90.3,198812
07/15/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.808,82.808,82.808,82.808,0,622,198809,16:00:00,90.32,198812
07/18/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.788,82.788,82.788,82.788,5,627,198809,16:00:00,90.3,198812
07/19/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.798,82.828,82.798,82.798,20,647,198809,16:00:00,90.31,198812
07/20/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.818,82.838,82.818,82.838,56,692,198809,16:00:00,90.35,198812
07/21/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.798,82.798,82.768,82.798,50,697,198809,16:00:00,90.31,198812
07/22/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.788,82.818,82.778,82.818,70,704,198809,16:00:00,90.33,198812
07/25/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.788,82.788,82.758,82.758,30,719,198809,16:00:00,90.27,198812
07/26/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.738,82.778,82.738,82.758,100,791,198809,16:00:00,90.27,198812
07/27/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.768,82.768,82.738,82.738,70,834,198809,16:00:00,90.25,198812
07/28/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.728,82.728,82.688,82.708,40,813,198809,16:00:00,90.22,198812
07/29/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.728,82.728,82.688,82.688,65,801,198809,16:00:00,90.2,198812
08/01/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.688,82.688,82.688,82.688,0,801,198809,16:00:00,90.2,198812
08/02/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.728,82.728,82.728,82.728,25,806,198809,16:00:00,90.24,198812
08/03/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.738,82.738,82.718,82.718,70,851,198809,16:00:00,90.23,198812
08/04/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.728,82.728,82.728,82.728,35,857,198809,16:00:00,90.24,198812
08/05/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.708,82.708,82.588,82.648,243,987,198809,16:00:00,90.16,198812
08/08/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.648,82.658,82.648,82.658,100,867,198809,16:00:00,90.17,198812
08/09/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.638,82.658,82.558,82.558,235,854,198809,16:00:00,90.07,198812
08/10/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.448,82.448,82.448,82.448,119,821,198809,16:00:00,89.96,198812
08/11/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.508,82.508,82.448,82.448,113,701,198809,16:00:00,89.96,198812
08/12/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.448,82.488,82.448,82.468,87,718,198809,16:00:00,89.98,198812
08/15/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.438,82.438,82.388,82.388,45,737,198809,16:00:00,89.9,198812
08/16/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.358,82.378,82.348,82.378,128,704,198809,16:00:00,89.89,198812
08/17/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.428,82.428,82.428,82.428,114,745,198809,16:00:00,89.94,198812
08/18/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.418,82.418,82.388,82.388,70,722,198809,16:00:00,89.9,198812
08/19/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.388,82.388,82.388,82.388,15,662,198809,16:00:00,89.9,198812
08/22/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.388,82.388,82.388,82.388,90,729,198809,16:00:00,89.9,198812
08/23/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.438,82.438,82.408,82.408,142,819,198809,16:00:00,89.92,198812
08/25/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.308,82.308,82.278,82.278,209,827,198809,16:00:00,89.79,198812
08/26/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.278,82.278,82.278,82.278,69,768,198809,16:00:00,89.79,198812
08/29/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.298,82.298,82.298,82.298,60,768,198809,16:00:00,89.81,198812
08/30/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.338,82.338,82.328,82.328,90,773,198809,16:00:00,89.84,198812
08/31/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.328,82.328,82.328,82.328,160,858,198809,16:00:00,89.84,198812
09/01/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.328,82.328,82.288,82.288,180,918,198809,16:00:00,89.8,198812
09/02/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.288,82.288,82.288,82.288,170,907,198809,16:00:00,89.8,198812
09/06/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.288,82.288,82.288,82.288,65,912,198809,16:00:00,89.8,198812
09/07/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.288,82.288,82.288,82.288,60,949,198809,16:00:00,89.8,198812
09/08/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.208,82.208,82.208,82.208,45,889,198809,16:00:00,89.72,198812
09/09/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.188,82.208,82.168,82.188,123,977,198809,16:00:00,89.7,198812
09/12/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.188,82.188,82.188,82.188,15,921,198809,16:00:00,89.7,198812
09/13/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,82.058,82.058,82.038,82.038,49,910,198809,16:00:00,89.55,198812
09/14/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,81.988,81.988,81.988,81.988,65,861,198809,16:00:00,89.5,198812
09/15/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,81.858,81.888,81.858,81.888,79,872,198809,16:00:00,89.4,198812
09/16/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,81.888,81.888,81.888,81.888,170,817,198809,16:00:00,89.4,198812
09/19/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,81.928,81.928,81.928,81.928,10,570,198812,16:00:00,89.27,198903
09/20/1988,&BAX_CCB,Canadian Bankers Acceptance Continuous Contract Backadjusted,81.938,81.968,81.938,81.948,38,540,198812,16:00:00,89.29,198903
