Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/02/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,43.51,43.51,43.51,43.51,0,1,199703,16:00:00,112.09,199706
10/03/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,43.58,43.58,43.58,43.58,0,1,199703,16:00:00,112.16,199706
10/04/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,45.12,45.12,45.12,45.12,0,1,199703,16:00:00,113.7,199706
10/07/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,44.87,44.87,44.87,44.87,1,2,199703,16:00:00,113.45,199706
10/08/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,44.81,44.81,44.81,44.81,0,2,199703,16:00:00,113.39,199706
10/09/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,44.74,44.74,44.74,44.74,0,20,199703,16:00:00,113.32,199706
10/10/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,44.84,44.84,44.84,44.84,0,1,199703,16:00:00,113.42,199706
10/11/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,45.69,45.69,45.69,45.69,0,1,199703,16:00:00,114.27,199706
10/15/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.03,46.03,46.03,46.03,0,1,199703,16:00:00,114.61,199706
10/16/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.09,46.09,46.09,46.09,0,1,199703,16:00:00,114.67,199706
10/17/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.4,46.4,46.4,46.4,0,1,199703,16:00:00,114.98,199706
10/18/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.51,46.51,46.51,46.51,0,1,199703,16:00:00,115.09,199706
10/21/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.08,47.08,47.08,47.08,0,1,199703,16:00:00,115.66,199706
10/22/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.66,47.66,47.66,47.66,0,1,199703,16:00:00,116.24,199706
10/23/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.37,47.37,47.37,47.37,0,1,199703,16:00:00,115.95,199706
10/24/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.77,46.77,46.77,46.77,0,1,199703,16:00:00,115.35,199706
10/25/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,45.96,45.96,45.96,45.96,0,1,199703,16:00:00,114.54,199706
10/28/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,45.93,45.93,45.93,45.93,0,1,199703,16:00:00,114.51,199706
10/29/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,46.93,46.93,46.93,46.93,0,1,199703,16:00:00,115.51,199706
10/30/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.42,47.42,47.42,47.42,0,1,199703,16:00:00,116.0,199706
10/31/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.65,47.65,47.65,47.65,0,1,199703,16:00:00,116.23,199706
11/01/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,48.19,48.19,48.19,48.19,0,1,199703,16:00:00,116.77,199706
11/04/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,48.46,48.46,48.46,48.46,0,1,199703,16:00:00,117.04,199706
11/05/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.72,49.72,49.72,49.72,0,1,199703,16:00:00,118.3,199706
11/06/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.54,49.54,49.54,49.54,0,1,199703,16:00:00,118.12,199706
11/07/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.6,49.6,49.6,49.6,0,1,199703,16:00:00,118.18,199706
11/08/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.67,49.67,49.67,49.67,0,1,199703,16:00:00,118.25,199706
11/11/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.57,49.57,49.57,49.57,0,1,199703,16:00:00,118.15,199706
11/12/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.99,49.99,49.67,49.99,15,8,199703,16:00:00,118.57,199706
11/13/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.55,49.55,49.55,49.55,0,8,199703,16:00:00,118.13,199706
11/14/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.43,50.12,49.43,50.12,8,8,199703,16:00:00,118.7,199706
11/15/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.12,50.12,50.07,50.07,29,32,199703,16:00:00,118.65,199706
11/18/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.9,49.9,49.9,49.9,11,37,199703,16:00:00,118.48,199706
11/19/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.04,50.04,49.97,49.97,116,115,199703,16:00:00,118.55,199706
11/20/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.09,50.09,50.09,50.09,430,115,199703,16:00:00,118.67,199706
11/21/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.19,50.19,50.19,50.19,390,669,199703,16:00:00,118.77,199706
11/22/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.19,50.19,50.13,50.13,869,1200,199703,16:00:00,118.71,199706
11/25/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.13,50.49,50.13,50.19,5502,5275,199703,16:00:00,118.77,199706
11/26/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.47,50.92,50.42,50.51,6803,9985,199703,16:00:00,119.09,199706
11/27/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.69,50.82,50.32,50.56,3617,11980,199703,16:00:00,119.14,199706
11/28/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.62,50.62,50.62,50.62,140,12121,199703,16:00:00,119.2,199706
11/29/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.97,51.12,50.87,51.02,1555,13116,199703,16:00:00,119.6,199706
12/02/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.99,51.0,50.47,50.87,5778,17568,199703,16:00:00,119.45,199706
12/03/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.92,51.12,50.77,51.05,3913,18703,199703,16:00:00,119.63,199706
12/04/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,50.72,50.92,49.57,49.83,7265,18703,199703,16:00:00,118.41,199706
12/05/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,49.4,49.42,46.83,47.34,7152,20945,199703,16:00:00,115.92,199706
12/06/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,45.92,47.82,45.82,47.67,4599,22090,199703,16:00:00,116.25,199706
12/09/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,48.47,48.82,48.16,48.68,3526,21219,199703,16:00:00,117.26,199706
12/10/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,48.68,48.82,48.27,48.52,2185,19542,199703,16:00:00,117.1,199706
12/11/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.82,47.92,47.02,47.43,5375,19542,199703,16:00:00,116.01,199706
12/12/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.52,47.88,47.17,47.35,4009,19542,199703,16:00:00,115.93,199706
12/13/1996,&CGB_CCB,10-Year Govt. of Canada Bond Continuous Contract Backadjusted,47.26,47.47,47.12,47.42,2309,21158,199703,16:00:00,116.0,199706
