Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/19/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.15,40.15,40.15,40.15,5,15,198003,16:00:00,66.2,198005
09/20/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.01,40.01,40.01,40.01,0,15,198003,16:00:00,66.06,198005
09/21/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.1,40.1,39.85,39.85,10,25,198003,16:00:00,65.9,198005
09/22/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,39.8,40.0,39.8,39.85,5,20,198003,16:00:00,65.9,198005
09/25/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,39.85,39.85,39.85,39.85,0,20,198003,16:00:00,65.9,198005
09/26/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.1,40.1,40.1,40.1,0,20,198003,16:00:00,66.15,198005
09/27/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.35,40.35,40.35,40.35,0,20,198003,16:00:00,66.4,198005
09/28/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.7,40.7,40.7,40.7,0,20,198003,16:00:00,66.75,198005
09/29/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.45,40.45,40.45,40.45,0,20,198003,16:00:00,66.5,198005
10/02/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.1,41.1,41.1,41.1,0,20,198003,16:00:00,67.15,198005
10/03/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.8,40.8,40.8,40.8,0,20,198003,16:00:00,66.85,198005
10/04/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.6,40.6,40.6,40.6,0,20,198003,16:00:00,66.65,198005
10/05/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.85,40.85,40.85,40.85,0,20,198003,16:00:00,66.9,198005
10/06/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.95,40.95,40.95,40.95,0,20,198003,16:00:00,67.0,198005
10/09/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.1,41.1,41.1,41.1,0,20,198003,16:00:00,67.15,198005
10/10/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.45,41.45,41.45,41.45,0,20,198003,16:00:00,67.5,198005
10/11/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.45,41.45,40.95,40.95,10,30,198003,16:00:00,67.0,198005
10/12/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,40.95,40.95,40.95,40.95,0,30,198003,16:00:00,67.0,198005
10/13/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.1,41.1,41.1,41.1,0,30,198003,16:00:00,67.15,198005
10/16/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.3,41.3,41.3,41.3,0,30,198003,16:00:00,67.35,198005
10/17/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.65,41.65,41.65,41.65,0,30,198003,16:00:00,67.7,198005
10/18/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,42.2,42.2,41.7,41.7,5,35,198003,16:00:00,67.75,198005
10/19/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.75,41.75,41.75,41.75,0,35,198003,16:00:00,67.8,198005
10/20/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.47,41.47,41.47,41.47,0,35,198003,16:00:00,67.52,198005
10/23/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.7,41.7,41.7,41.7,0,35,198003,16:00:00,67.75,198005
10/24/1978,&CT_CCB,Cotton No. 2 Continuous Contract Backadjusted,41.85,41.85,41.85,41.85,0,35,198003,16:00:00,67.9,198005
