Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
07/07/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.56,-8.56,-8.56,-8.56,0,7,199707,16:00:00,11.0,199708
07/08/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.56,-8.56,-8.56,-8.56,2,9,199707,16:00:00,11.0,199708
07/09/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.56,-8.56,-8.56,-8.56,2,10,199707,16:00:00,11.0,199708
07/10/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.56,-8.56,-8.56,-8.56,1,9,199707,16:00:00,11.0,199708
07/11/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.34,-8.34,-8.34,-8.34,8,11,199707,16:00:00,11.22,199708
07/14/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.34,-8.34,-8.34,-8.34,19,26,199707,16:00:00,11.22,199708
07/15/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.34,-8.34,-8.34,-8.34,4,29,199707,16:00:00,11.22,199708
07/16/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.31,-8.31,-8.31,-8.31,9,22,199707,16:00:00,11.25,199708
07/17/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.51,-8.51,-8.51,-8.51,17,23,199707,16:00:00,11.05,199708
07/18/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.31,-8.26,-8.41,-8.41,51,43,199707,16:00:00,11.15,199708
07/21/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.42,-8.42,-8.42,-8.42,61,68,199707,16:00:00,11.14,199708
07/22/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.43,-8.43,-8.43,-8.43,35,81,199707,16:00:00,11.13,199708
07/23/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.46,-8.46,-8.47,-8.47,64,93,199707,16:00:00,11.09,199708
07/24/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-8.46,-8.44,-8.52,-8.52,38,99,199708,16:00:00,12.12,199709
07/25/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.86,-9.86,-9.86,-9.86,41,114,199707,16:00:00,11.09,199708
07/28/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,60,128,199707,16:00:00,11.08,199708
07/29/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,6,130,199707,16:00:00,11.08,199708
07/30/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,25,125,199707,16:00:00,11.08,199708
07/31/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.88,-9.87,-9.88,-9.87,6,129,199708,16:00:00,12.03,199709
08/01/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.9,-9.9,-9.9,-9.9,9,128,199708,16:00:00,12.0,199709
08/04/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.92,-9.92,-9.96,-9.96,21,122,199708,16:00:00,11.94,199709
08/05/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-10.0,-10.0,-10.05,-10.04,13,114,199708,16:00:00,11.86,199709
08/06/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-10.05,-9.97,-10.1,-9.97,84,138,199708,16:00:00,11.93,199709
08/07/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.98,-9.89,-9.98,-9.9,73,181,199708,16:00:00,12.0,199709
08/08/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.82,-9.75,-9.82,-9.82,29,194,199708,16:00:00,12.08,199709
08/11/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.82,-9.82,-9.82,-9.82,2,194,199708,16:00:00,12.08,199709
08/12/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.8,-9.8,-9.8,-9.8,3,196,199708,16:00:00,12.1,199709
08/13/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.8,-9.8,-9.8,-9.8,0,196,199708,16:00:00,12.1,199709
08/14/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.81,-9.78,-9.81,-9.81,21,213,199708,16:00:00,12.09,199709
08/15/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.81,-9.81,-9.81,-9.81,13,225,199708,16:00:00,12.09,199709
08/18/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.89,-9.89,-9.89,-9.89,1,226,199708,16:00:00,12.01,199709
08/19/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.9,-9.9,-9.91,-9.91,9,229,199708,16:00:00,11.99,199709
08/20/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.95,-9.92,-9.95,-9.92,18,235,199708,16:00:00,11.98,199709
08/21/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.92,-9.92,-9.92,-9.92,25,256,199708,16:00:00,11.98,199709
08/22/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.91,-9.9,-9.92,-9.92,26,278,199708,16:00:00,11.98,199709
08/25/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.95,-9.95,-9.95,-9.95,3,280,199708,16:00:00,11.95,199709
08/26/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.95,-9.95,-9.95,-9.95,33,304,199708,16:00:00,11.95,199709
08/27/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.95,-9.95,-9.97,-9.95,42,321,199708,16:00:00,11.95,199709
08/28/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.92,-9.9,-9.92,-9.91,30,330,199708,16:00:00,11.99,199709
08/29/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.96,-9.9,-9.96,-9.9,50,370,199709,16:00:00,12.51,199710
09/02/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.89,-9.89,-9.89,-9.89,12,394,199709,16:00:00,12.52,199710
09/03/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.89,-9.88,-9.89,-9.88,19,391,199709,16:00:00,12.53,199710
09/04/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.88,-9.88,-9.88,-9.88,16,391,199709,16:00:00,12.53,199710
09/05/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,4,342,199709,16:00:00,12.54,199710
09/08/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,2,344,199709,16:00:00,12.54,199710
09/09/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,6,350,199709,16:00:00,12.54,199710
09/10/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.9,-9.87,25,370,199709,16:00:00,12.54,199710
09/11/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.87,-9.87,-9.87,7,377,199709,16:00:00,12.54,199710
09/12/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.86,-9.84,-9.86,-9.84,10,377,199709,16:00:00,12.57,199710
09/15/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.86,-9.86,-9.86,-9.86,9,376,199709,16:00:00,12.55,199710
09/16/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.86,-9.86,-9.86,-9.86,3,376,199709,16:00:00,12.55,199710
09/17/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.87,-9.8,-9.87,-9.8,65,412,199709,16:00:00,12.61,199710
09/18/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.8,-9.8,-9.8,-9.8,27,422,199709,16:00:00,12.61,199710
09/19/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.79,-9.77,-9.79,-9.77,37,452,199709,16:00:00,12.64,199710
09/22/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.77,-9.76,-9.77,-9.76,14,459,199709,16:00:00,12.65,199710
09/23/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.74,-9.74,-9.74,-9.74,19,465,199709,16:00:00,12.67,199710
09/24/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.71,-9.71,-9.71,-9.71,24,473,199709,16:00:00,12.7,199710
09/25/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.7,-9.68,-9.7,-9.68,17,474,199709,16:00:00,12.73,199710
09/26/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.68,-9.68,-9.68,-9.68,9,479,199709,16:00:00,12.73,199710
09/29/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.61,-9.61,-9.61,-9.61,99,484,199709,16:00:00,12.8,199710
09/30/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.63,-9.6,-9.63,-9.61,88,484,199710,16:00:00,12.79,199711
10/01/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.61,-9.61,-9.61,-9.61,14,495,199710,16:00:00,12.79,199711
10/02/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.62,-9.61,-9.63,-9.61,13,501,199710,16:00:00,12.79,199711
10/03/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.6,-9.6,-9.61,-9.61,39,437,199710,16:00:00,12.79,199711
10/06/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.6,-9.57,-9.6,-9.58,126,506,199710,16:00:00,12.82,199711
10/07/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.58,-9.55,-9.58,-9.55,68,547,199710,16:00:00,12.85,199711
10/08/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.54,-9.55,-9.55,38,559,199710,16:00:00,12.85,199711
10/09/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.55,-9.54,-9.58,-9.54,101,530,199710,16:00:00,12.86,199711
10/10/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.54,-9.54,-9.54,2,531,199710,16:00:00,12.86,199711
10/13/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.54,-9.54,-9.54,1,532,199710,16:00:00,12.86,199711
10/14/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.54,-9.54,-9.54,10,541,199710,16:00:00,12.86,199711
10/15/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.56,-9.55,-9.56,-9.55,12,544,199710,16:00:00,12.85,199711
10/16/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.53,-9.54,-9.53,49,558,199710,16:00:00,12.87,199711
10/17/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.53,-9.53,-9.53,15,564,199710,16:00:00,12.87,199711
10/20/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.53,-9.53,-9.53,2,563,199710,16:00:00,12.87,199711
10/21/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.53,-9.53,-9.53,14,623,199710,16:00:00,12.87,199711
10/22/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.53,-9.53,-9.53,2,624,199710,16:00:00,12.87,199711
10/23/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.53,-9.53,-9.53,49,629,199710,16:00:00,12.87,199711
10/24/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.53,-9.5,-9.53,-9.5,37,636,199710,16:00:00,12.9,199711
10/27/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.46,-9.46,-9.46,-9.46,5,633,199710,16:00:00,12.94,199711
10/28/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.46,-9.45,-9.47,-9.45,45,655,199710,16:00:00,12.95,199711
10/29/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.45,-9.45,-9.45,-9.45,71,662,199710,16:00:00,12.95,199711
10/30/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.45,-9.42,-9.45,-9.42,30,662,199710,16:00:00,12.98,199711
10/31/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.4,-9.4,-9.4,-9.4,7,662,199711,16:00:00,12.77,199712
11/03/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.42,-9.42,-9.47,-9.42,19,676,199711,16:00:00,12.75,199712
11/04/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.47,-9.45,-9.47,-9.46,36,685,199711,16:00:00,12.71,199712
11/05/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.46,-9.46,-9.62,-9.53,26,478,199711,16:00:00,12.64,199712
11/06/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.54,-9.54,-9.54,-9.54,22,492,199711,16:00:00,12.63,199712
11/07/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.52,-9.52,-9.52,-9.52,28,518,199711,16:00:00,12.65,199712
11/10/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.51,-9.51,-9.51,-9.51,5,523,199711,16:00:00,12.66,199712
11/11/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.52,-9.51,-9.52,-9.51,5,528,199711,16:00:00,12.66,199712
11/12/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.51,-9.5,-9.51,-9.5,11,530,199711,16:00:00,12.67,199712
11/13/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.5,-9.49,-9.5,-9.49,40,548,199711,16:00:00,12.68,199712
11/14/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.48,-9.46,-9.48,-9.46,52,564,199711,16:00:00,12.71,199712
11/17/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.46,-9.44,-9.46,-9.44,79,638,199711,16:00:00,12.73,199712
11/18/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.44,-9.42,-9.44,-9.42,66,641,199711,16:00:00,12.75,199712
11/19/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.41,-9.39,-9.41,-9.39,126,658,199711,16:00:00,12.78,199712
11/20/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.42,-9.41,-9.43,-9.41,134,635,199711,16:00:00,12.76,199712
11/21/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.4,-9.37,-9.4,-9.37,59,625,199711,16:00:00,12.8,199712
11/24/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.37,-9.37,-9.37,-9.37,42,674,199711,16:00:00,12.8,199712
11/25/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.37,-9.36,-9.41,-9.4,78,660,199711,16:00:00,12.77,199712
11/26/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.41,-9.41,-9.44,-9.42,49,653,199711,16:00:00,12.75,199712
11/28/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.36,-9.34,-9.36,-9.34,70,641,199712,16:00:00,12.69,199801
12/01/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.33,-9.33,-9.34,-9.34,51,646,199712,16:00:00,12.69,199801
12/02/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.38,-9.36,-9.41,-9.41,32,658,199712,16:00:00,12.62,199801
12/03/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.43,-9.41,-9.44,-9.41,37,671,199712,16:00:00,12.62,199801
12/04/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.43,-9.42,-9.44,-9.42,43,694,199712,16:00:00,12.61,199801
12/05/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.43,-9.28,-9.43,-9.28,70,475,199712,16:00:00,12.75,199801
12/08/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.28,-9.28,-9.3,-9.28,55,516,199712,16:00:00,12.75,199801
12/09/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.28,-9.24,-9.28,-9.25,55,537,199712,16:00:00,12.78,199801
12/10/1997,&DC_CCB,Class III Milk Continuous Contract Backadjusted,-9.28,-9.25,-9.3,-9.25,51,548,199712,16:00:00,12.78,199801
