Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/20/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.994,157.194,155.944,157.004,11356,693,198603,16:00:00,128.86,198606
11/21/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.944,156.174,155.624,155.704,9662,1084,198603,16:00:00,127.56,198606
11/22/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.664,155.824,154.724,154.774,5981,1439,198603,16:00:00,126.63,198606
11/25/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.844,155.054,154.574,154.784,4029,1358,198603,16:00:00,126.64,198606
11/26/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.064,155.124,153.994,154.314,5379,1263,198603,16:00:00,126.17,198606
11/27/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.394,154.694,153.874,154.304,4649,1145,198603,16:00:00,126.16,198606
11/29/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.394,153.604,153.074,153.324,1953,1125,198603,16:00:00,125.18,198606
12/02/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.944,153.944,152.834,153.724,3572,1266,198603,16:00:00,125.58,198606
12/03/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.424,154.694,154.054,154.184,3811,1146,198603,16:00:00,126.04,198606
12/04/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.644,153.804,153.464,153.584,2549,1346,198603,16:00:00,125.44,198606
12/05/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.224,154.314,153.594,153.664,2701,1253,198603,16:00:00,125.52,198606
12/06/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.974,154.444,153.834,154.224,1857,1254,198603,16:00:00,126.08,198606
12/09/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.444,154.914,154.354,154.664,1390,1236,198603,16:00:00,126.52,198606
12/10/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.014,155.364,154.924,155.174,1680,1215,198603,16:00:00,127.03,198606
12/11/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.794,156.324,155.094,155.234,3341,1339,198603,16:00:00,127.09,198606
12/12/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.654,154.894,154.224,154.724,2048,1139,198603,16:00:00,126.58,198606
12/13/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.394,154.894,154.254,154.894,1317,1306,198603,16:00:00,126.75,198606
12/16/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.844,154.974,154.054,154.224,1492,1138,198603,16:00:00,126.08,198606
12/17/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.194,154.414,153.784,154.374,1688,1239,198603,16:00:00,126.23,198606
12/18/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.744,155.344,154.744,155.274,1274,1296,198603,16:00:00,127.13,198606
12/19/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,155.094,155.194,154.594,154.764,355,1177,198603,16:00:00,126.62,198606
12/20/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.844,155.084,154.404,154.584,467,1180,198603,16:00:00,126.44,198606
12/23/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.644,154.764,154.194,154.394,369,1182,198603,16:00:00,126.25,198606
12/24/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.444,154.464,154.144,154.184,313,1157,198603,16:00:00,126.04,198606
12/26/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,154.294,154.374,153.944,154.214,264,1147,198603,16:00:00,126.07,198606
12/27/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.294,153.334,152.484,152.724,1037,832,198603,16:00:00,124.58,198606
12/30/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.544,152.744,152.134,152.394,242,795,198603,16:00:00,124.25,198606
12/31/1985,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.124,152.164,151.644,151.694,232,739,198603,16:00:00,123.55,198606
01/02/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,151.774,152.204,151.134,151.254,1630,884,198603,16:00:00,123.11,198606
01/03/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.494,153.044,152.394,152.914,1069,1172,198603,16:00:00,124.77,198606
01/06/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.994,153.044,152.194,152.274,1834,1418,198603,16:00:00,124.13,198606
01/07/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,151.794,152.294,151.644,152.034,2389,1525,198603,16:00:00,123.89,198606
01/08/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.014,153.244,152.014,153.074,1839,1612,198603,16:00:00,124.93,198606
01/09/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.994,153.504,150.994,151.394,2312,1785,198603,16:00:00,123.25,198606
01/10/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.244,153.044,151.744,152.674,1403,1624,198603,16:00:00,124.53,198606
01/13/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.244,153.764,152.614,153.034,1296,1741,198603,16:00:00,124.89,198606
01/14/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.194,153.444,152.824,153.324,634,1786,198603,16:00:00,125.18,198606
01/15/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.144,153.144,152.494,152.644,1599,2522,198603,16:00:00,124.5,198606
01/16/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.394,153.124,152.364,152.974,531,2608,198603,16:00:00,124.83,198606
01/17/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.964,153.094,152.544,153.074,681,2642,198603,16:00:00,124.93,198606
01/20/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.294,153.534,152.794,152.974,447,2603,198603,16:00:00,124.83,198606
01/21/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.894,153.264,152.594,152.994,376,2665,198603,16:00:00,124.85,198606
01/22/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,153.244,153.394,152.244,153.144,593,2807,198603,16:00:00,125.0,198606
01/23/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,152.944,153.124,152.744,152.754,816,2596,198603,16:00:00,124.61,198606
01/24/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,151.744,151.944,151.054,151.264,1848,2462,198603,16:00:00,123.12,198606
01/27/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,151.044,151.144,150.714,150.844,996,2396,198603,16:00:00,122.7,198606
01/28/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,150.644,151.034,150.394,150.554,444,2363,198603,16:00:00,122.41,198606
01/29/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,150.224,150.494,150.094,150.374,306,2402,198603,16:00:00,122.23,198606
01/30/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,150.404,150.404,149.544,149.644,402,2411,198603,16:00:00,121.5,198606
01/31/1986,&DX_CCB,US Dollar Index Continuous Contract Backadjusted,150.044,150.444,149.844,150.054,1002,2288,198603,16:00:00,121.91,198606
