Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/28/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,582.07,582.07,577.27,580.67,119,68,200203,16:00:00,509.0,200206
01/29/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,580.67,581.27,568.37,570.47,93,103,200203,16:00:00,498.8,200206
01/30/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,568.67,576.47,563.77,576.47,368,343,200203,16:00:00,504.8,200206
01/31/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,575.67,578.67,575.17,577.27,201,474,200203,16:00:00,505.6,200206
02/01/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,577.97,579.37,574.57,576.57,48,562,200203,16:00:00,504.9,200206
02/04/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,572.17,572.27,564.57,565.57,259,561,200203,16:00:00,493.9,200206
02/05/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,561.87,568.37,561.87,565.17,116,523,200203,16:00:00,493.5,200206
02/06/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,566.17,566.17,559.17,560.17,156,611,200203,16:00:00,488.5,200206
02/07/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,560.17,560.67,552.67,555.17,82,655,200203,16:00:00,483.5,200206
02/08/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,558.27,569.77,557.97,569.77,193,720,200203,16:00:00,498.1,200206
02/11/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,568.57,575.17,568.17,574.17,136,748,200203,16:00:00,502.5,200206
02/12/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,574.17,575.67,570.47,572.27,111,798,200203,16:00:00,500.6,200206
02/13/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,575.07,578.47,574.27,578.47,47,801,200203,16:00:00,506.8,200206
02/14/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,578.17,580.77,575.47,575.47,237,945,200203,16:00:00,503.8,200206
02/15/2002,&EMD_CCB,E-mini S&P MidCap 400 Continuous Contract Backadjusted,575.17,575.87,570.87,571.17,241,942,200203,16:00:00,499.5,200206
