Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
08/18/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,191.3,191.3,191.3,191.3,4680,240,198809,16:00:00,1313.0,198810
08/19/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,189.8,189.8,189.8,189.8,4868,284,198809,16:00:00,1311.5,198810
08/22/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,189.8,189.8,189.8,189.8,3936,520,198809,16:00:00,1311.5,198810
08/23/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,184.3,184.3,184.3,184.3,3832,900,198809,16:00:00,1306.0,198810
08/24/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,186.8,186.8,186.8,186.8,4544,1372,198809,16:00:00,1308.5,198810
08/25/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,163.3,163.3,163.3,163.3,3500,1032,198809,16:00:00,1285.0,198810
08/26/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,165.3,165.3,165.3,165.3,4016,868,198809,16:00:00,1287.0,198810
08/29/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,164.3,164.3,164.3,164.3,3232,1224,198809,16:00:00,1286.0,198810
08/30/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,167.3,167.3,167.3,167.3,2708,1004,198809,16:00:00,1289.0,198810
08/31/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,170.3,170.3,170.3,170.3,3644,1360,198809,16:00:00,1292.0,198810
09/01/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,156.3,156.3,156.3,156.3,3160,980,198809,16:00:00,1278.0,198810
09/02/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,168.3,168.3,168.3,168.3,3788,1124,198809,16:00:00,1290.0,198810
09/05/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,173.3,173.3,173.3,173.3,2796,1152,198809,16:00:00,1295.0,198810
09/06/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,173.3,173.3,173.3,173.3,3468,1348,198809,16:00:00,1295.0,198810
09/07/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,187.3,187.3,187.3,187.3,3952,1080,198809,16:00:00,1309.0,198810
09/08/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,186.3,186.3,186.3,186.3,2588,1024,198809,16:00:00,1308.0,198810
09/09/1988,&FCE_CCB,CAC 40 Continuous Contract Backadjusted,183.3,183.3,183.3,183.3,3732,1044,198809,16:00:00,1305.0,198810
