Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7480.8,7765.8,7465.8,7765.8,36560,111785,199903,16:00:00,5320.0,199906
01/05/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7725.8,7793.3,7679.8,7722.8,39214,113193,199903,16:00:00,5277.0,199906
01/06/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7825.8,7944.8,7781.3,7919.8,40145,112956,199903,16:00:00,5474.0,199906
01/07/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7920.8,7955.8,7741.3,7826.8,54566,120064,199903,16:00:00,5381.0,199906
01/08/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7865.8,7941.3,7831.8,7859.8,42522,120984,199903,16:00:00,5414.0,199906
01/11/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7915.8,7969.3,7727.3,7752.8,50279,125464,199903,16:00:00,5307.0,199906
01/12/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7792.8,7813.8,7656.8,7675.8,53963,130413,199903,16:00:00,5230.0,199906
01/13/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7630.8,7671.3,7312.3,7466.8,98130,153832,199903,16:00:00,5021.0,199906
01/14/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7553.8,7560.8,7330.8,7375.8,73612,163839,199903,16:00:00,4930.0,199906
01/15/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7305.8,7464.8,7215.8,7459.8,87532,178062,199903,16:00:00,5014.0,199906
01/18/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7536.8,7555.8,7470.8,7540.8,36957,178186,199903,16:00:00,5095.0,199906
01/19/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7534.8,7602.8,7437.3,7492.8,61964,183005,199903,16:00:00,5047.0,199906
01/20/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7580.8,7669.8,7558.8,7669.8,55861,186243,199903,16:00:00,5224.0,199906
01/21/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7605.8,7701.3,7569.3,7634.8,58955,190885,199903,16:00:00,5189.0,199906
01/22/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7565.3,7575.8,7428.3,7469.8,64017,195244,199903,16:00:00,5024.0,199906
01/25/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7395.8,7490.8,7341.8,7437.8,50071,203125,199903,16:00:00,4992.0,199906
01/26/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7506.8,7537.8,7400.8,7470.8,48044,206633,199903,16:00:00,5025.0,199906
01/27/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7555.8,7584.8,7495.8,7499.3,47491,208986,199903,16:00:00,5053.5,199906
01/28/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7417.8,7599.3,7413.8,7587.8,59877,220478,199903,16:00:00,5142.0,199906
01/29/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7595.8,7665.3,7576.8,7643.3,49482,223460,199903,16:00:00,5197.5,199906
02/01/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7739.8,7758.3,7678.8,7716.3,53866,231649,199903,16:00:00,5270.5,199906
02/02/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7655.8,7714.8,7611.3,7611.3,47964,239739,199903,16:00:00,5165.5,199906
02/03/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7595.8,7637.3,7513.3,7549.8,60518,245006,199903,16:00:00,5104.0,199906
02/04/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7620.8,7671.8,7515.8,7520.3,39671,248811,199903,16:00:00,5074.5,199906
02/05/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7455.8,7564.8,7436.8,7560.8,48009,249803,199903,16:00:00,5115.0,199906
02/08/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7625.8,7635.8,7456.8,7515.8,44313,253529,199903,16:00:00,5070.0,199906
02/09/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7540.8,7565.8,7295.8,7304.8,62258,258259,199903,16:00:00,4859.0,199906
02/10/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7305.8,7319.8,7198.8,7270.8,70780,264248,199903,16:00:00,4825.0,199906
02/11/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7314.8,7336.8,7241.3,7320.8,48330,266878,199903,16:00:00,4875.0,199906
02/12/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7386.8,7448.3,7303.3,7341.8,54656,272282,199903,16:00:00,4896.0,199906
02/15/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7315.8,7343.8,7255.8,7336.8,29391,272278,199903,16:00:00,4891.0,199906
02/16/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7372.8,7404.8,7328.8,7347.8,45620,273192,199903,16:00:00,4902.0,199906
02/17/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7324.8,7324.8,7222.8,7276.3,55283,280639,199903,16:00:00,4830.5,199906
02/18/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7249.8,7335.3,7242.8,7315.8,51735,288013,199903,16:00:00,4870.0,199906
02/19/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7325.8,7374.3,7222.8,7289.8,55762,298141,199903,16:00:00,4844.0,199906
02/22/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7330.8,7372.8,7272.8,7350.8,44633,302803,199903,16:00:00,4905.0,199906
02/23/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7415.8,7500.8,7400.8,7467.8,69803,318114,199903,16:00:00,5022.0,199906
02/24/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7442.8,7539.8,7428.8,7517.8,46899,323611,199903,16:00:00,5072.0,199906
02/25/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7466.8,7473.8,7351.8,7354.3,58758,328954,199903,16:00:00,4908.5,199906
02/26/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7370.8,7405.8,7294.3,7354.3,49387,332018,199903,16:00:00,4908.5,199906
03/01/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7391.8,7413.8,7183.8,7215.8,78312,340776,199903,16:00:00,4770.0,199906
03/02/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7263.8,7283.8,7154.8,7245.8,71033,350190,199903,16:00:00,4800.0,199906
03/03/1999,&FDAX_CCB,DAX Continuous Contract Backadjusted,7240.8,7263.8,7102.8,7110.8,57798,358806,199903,16:00:00,4665.0,199906
