Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/26/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2250.0,2281.0,2177.0,2222.0,9054,158038,199906,16:00:00,3490.0,199909
03/29/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2239.0,2277.0,2196.0,2272.0,6278,159082,199906,16:00:00,3540.0,199909
03/30/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2287.0,2288.0,2240.0,2259.0,7394,161257,199906,16:00:00,3527.0,199909
03/31/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2268.0,2306.0,2259.0,2279.0,6237,163387,199906,16:00:00,3547.0,199909
04/01/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2232.0,2327.0,2232.0,2311.0,6185,165265,199906,16:00:00,3579.0,199909
04/06/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2335.0,2412.0,2334.0,2402.0,12953,171162,199906,16:00:00,3670.0,199909
04/07/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2370.0,2397.0,2353.0,2372.0,7047,170810,199906,16:00:00,3640.0,199909
04/08/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2390.0,2396.0,2356.0,2382.0,13309,172471,199906,16:00:00,3650.0,199909
04/09/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2456.0,2461.0,2393.0,2413.0,9929,172894,199906,16:00:00,3681.0,199909
04/12/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2415.0,2417.0,2377.0,2411.0,8777,174832,199906,16:00:00,3679.0,199909
04/13/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2439.0,2452.0,2408.0,2442.0,7814,175016,199906,16:00:00,3710.0,199909
04/14/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2427.0,2440.0,2402.0,2416.0,7890,168009,199906,16:00:00,3684.0,199909
04/15/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2406.0,2408.0,2357.0,2367.0,11372,170797,199906,16:00:00,3635.0,199909
04/16/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2377.0,2389.0,2343.0,2370.0,7538,171308,199906,16:00:00,3638.0,199909
04/19/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2402.0,2438.0,2391.0,2431.0,6576,173100,199906,16:00:00,3699.0,199909
04/20/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2361.0,2370.0,2312.0,2332.0,9464,172802,199906,16:00:00,3600.0,199909
04/21/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2341.0,2364.0,2332.0,2352.0,5822,174100,199906,16:00:00,3620.0,199909
04/22/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2401.0,2418.0,2362.0,2384.0,10915,175112,199906,16:00:00,3652.0,199909
04/23/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2399.0,2402.0,2368.0,2380.0,31282,189824,199906,16:00:00,3648.0,199909
04/26/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2384.0,2422.0,2384.0,2402.0,11720,191624,199906,16:00:00,3670.0,199909
04/27/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2412.0,2461.0,2404.0,2458.0,8401,191944,199906,16:00:00,3726.0,199909
04/28/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2464.0,2464.0,2422.0,2448.0,7885,189598,199906,16:00:00,3716.0,199909
04/29/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2441.0,2462.0,2420.0,2439.0,10830,191062,199906,16:00:00,3707.0,199909
04/30/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2462.0,2482.0,2457.0,2472.0,7973,191186,199906,16:00:00,3740.0,199909
05/03/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2482.0,2486.0,2452.0,2483.0,5565,189505,199906,16:00:00,3751.0,199909
05/04/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2519.0,2522.0,2465.0,2472.0,13137,189051,199906,16:00:00,3740.0,199909
05/05/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2472.0,2474.0,2407.0,2422.0,12622,188706,199906,16:00:00,3690.0,199909
05/06/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2471.0,2471.0,2397.0,2403.0,29943,197686,199906,16:00:00,3671.0,199909
05/07/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2390.0,2412.0,2373.0,2394.0,17224,197911,199906,16:00:00,3662.0,199909
05/10/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2394.0,2402.0,2354.0,2399.0,14237,198596,199906,16:00:00,3667.0,199909
05/11/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2404.0,2431.0,2391.0,2422.0,19250,196288,199906,16:00:00,3690.0,199909
05/12/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2417.0,2417.0,2362.0,2398.0,12111,196833,199906,16:00:00,3666.0,199909
05/14/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2429.0,2452.0,2338.0,2351.0,13522,193342,199906,16:00:00,3619.0,199909
05/17/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2309.0,2319.0,2282.0,2287.0,12501,197278,199906,16:00:00,3555.0,199909
05/18/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2322.0,2332.0,2280.0,2327.0,12245,196339,199906,16:00:00,3595.0,199909
05/19/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2317.0,2375.0,2314.0,2366.0,11765,197440,199906,16:00:00,3634.0,199909
05/20/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2392.0,2414.0,2378.0,2411.0,15775,199908,199906,16:00:00,3679.0,199909
05/21/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2405.0,2418.0,2384.0,2415.0,10503,202731,199906,16:00:00,3683.0,199909
05/25/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2348.0,2366.0,2332.0,2363.0,23246,208373,199906,16:00:00,3631.0,199909
05/26/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2367.0,2384.0,2337.0,2358.0,10805,205229,199906,16:00:00,3626.0,199909
05/27/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2367.0,2377.0,2293.0,2311.0,15371,209606,199906,16:00:00,3579.0,199909
05/28/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2315.0,2331.0,2280.0,2328.0,17527,209456,199906,16:00:00,3596.0,199909
05/31/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2338.0,2366.0,2316.0,2358.0,9004,212616,199906,16:00:00,3626.0,199909
06/01/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2343.0,2398.0,2331.0,2343.0,19784,220736,199906,16:00:00,3611.0,199909
06/02/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2317.0,2361.0,2307.0,2351.0,13056,221055,199906,16:00:00,3619.0,199909
06/04/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2375.0,2415.0,2361.0,2412.0,20295,224699,199906,16:00:00,3680.0,199909
06/07/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2408.0,2462.0,2398.0,2454.0,13908,222425,199906,16:00:00,3722.0,199909
06/08/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2455.0,2478.0,2453.0,2459.0,29031,227321,199906,16:00:00,3727.0,199909
06/09/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2466.0,2492.0,2463.0,2471.0,41880,219134,199906,16:00:00,3739.0,199909
06/10/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2476.0,2492.0,2414.0,2432.0,27494,221548,199906,16:00:00,3700.0,199909
06/11/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2464.0,2491.0,2438.0,2490.0,36291,228462,199906,16:00:00,3758.0,199909
06/14/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2472.0,2472.0,2442.0,2457.0,47643,236032,199906,16:00:00,3725.0,199909
06/15/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2427.0,2479.0,2422.0,2474.0,68051,236711,199906,16:00:00,3742.0,199909
06/16/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2470.0,2512.0,2442.0,2510.0,81845,242921,199906,16:00:00,3778.0,199909
06/17/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2521.0,2544.0,2505.0,2544.0,55736,236810,199906,16:00:00,3812.0,199909
06/18/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2576.0,2592.0,2557.0,2562.0,37926,188631,199909,16:00:00,3840.0,199912
06/21/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2584.0,2620.0,2582.0,2620.0,13995,192189,199909,16:00:00,3898.0,199912
06/22/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2591.0,2606.0,2574.0,2602.0,11719,191347,199909,16:00:00,3880.0,199912
06/23/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2579.0,2589.0,2542.0,2547.0,18061,198223,199909,16:00:00,3825.0,199912
06/24/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2560.0,2568.0,2482.0,2492.0,23690,205515,199909,16:00:00,3770.0,199912
06/25/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2472.0,2505.0,2462.0,2500.0,29255,208312,199909,16:00:00,3778.0,199912
06/28/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2467.0,2507.0,2464.0,2507.0,13060,205223,199909,16:00:00,3785.0,199912
06/29/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2511.0,2528.0,2496.0,2521.0,8403,206195,199909,16:00:00,3799.0,199912
06/30/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2542.0,2551.0,2513.0,2525.0,9937,209363,199909,16:00:00,3803.0,199912
07/01/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2590.0,2618.0,2579.0,2603.0,14778,216186,199909,16:00:00,3881.0,199912
07/02/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2612.0,2636.0,2594.0,2635.0,11143,209040,199909,16:00:00,3913.0,199912
07/05/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2671.0,2722.0,2667.0,2718.0,12741,209054,199909,16:00:00,3996.0,199912
07/06/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2678.0,2714.0,2672.0,2710.0,15434,211638,199909,16:00:00,3988.0,199912
07/07/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2687.0,2710.0,2673.0,2694.0,19468,214076,199909,16:00:00,3972.0,199912
07/08/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2702.0,2714.0,2658.0,2678.0,12158,210737,199909,16:00:00,3956.0,199912
07/09/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2674.0,2712.0,2670.0,2697.0,5953,211397,199909,16:00:00,3975.0,199912
07/12/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2697.0,2720.0,2692.0,2697.0,5299,212796,199909,16:00:00,3975.0,199912
07/13/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2682.0,2682.0,2619.0,2637.0,11848,214452,199909,16:00:00,3915.0,199912
07/14/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2656.0,2682.0,2644.0,2646.0,10517,213600,199909,16:00:00,3924.0,199912
07/15/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2657.0,2705.0,2657.0,2680.0,9961,213750,199909,16:00:00,3958.0,199912
07/16/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2684.0,2702.0,2670.0,2674.0,9363,218478,199909,16:00:00,3952.0,199912
07/19/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2693.0,2698.0,2670.0,2672.0,8243,213808,199909,16:00:00,3950.0,199912
07/20/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2662.0,2677.0,2582.0,2585.0,16622,213042,199909,16:00:00,3863.0,199912
07/21/1999,&FESX_CCB,EURO STOXX 50 Continuous Contract Backadjusted,2554.0,2557.0,2508.0,2518.0,18480,217671,199909,16:00:00,3796.0,199912
