Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.05,54.0,53.05,53.7,670,441,199903,16:00:00,116.6,199906
01/05/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.9,54.11,53.66,53.66,612,590,199903,16:00:00,116.56,199906
01/06/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.82,54.02,53.82,53.87,199,614,199903,16:00:00,116.77,199906
01/07/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.93,54.1,53.7,53.73,726,904,199903,16:00:00,116.63,199906
01/08/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.76,54.01,53.76,53.92,118,836,199903,16:00:00,116.82,199906
01/11/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.76,53.98,53.08,53.08,698,839,199903,16:00:00,115.98,199906
01/12/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.23,53.85,52.36,53.85,1575,1557,199903,16:00:00,116.75,199906
01/13/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.87,54.66,53.66,54.13,9049,9171,199903,16:00:00,117.03,199906
01/14/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.99,54.42,53.99,54.42,4310,9018,199903,16:00:00,117.32,199906
01/15/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.58,54.78,54.17,54.29,6898,11638,199903,16:00:00,117.19,199906
01/18/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.25,54.5,54.25,54.5,1399,11702,199903,16:00:00,117.4,199906
01/19/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.44,54.61,54.27,54.58,3081,14204,199903,16:00:00,117.48,199906
01/20/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.48,54.48,54.15,54.17,5071,18721,199903,16:00:00,117.07,199906
01/21/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.35,54.62,54.34,54.62,2782,19122,199903,16:00:00,117.52,199906
01/22/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.75,54.9,54.71,54.83,4210,22492,199903,16:00:00,117.73,199906
01/25/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,55.0,55.02,54.75,54.8,5136,24214,199903,16:00:00,117.7,199906
01/26/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.69,55.04,54.65,54.77,2194,26473,199903,16:00:00,117.67,199906
01/27/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.68,54.83,54.5,54.83,3014,28253,199903,16:00:00,117.73,199906
01/28/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.9,54.95,54.62,54.8,3406,29999,199903,16:00:00,117.7,199906
01/29/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.74,54.8,54.67,54.67,7722,33495,199903,16:00:00,117.57,199906
02/01/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.64,54.64,54.13,54.13,9874,38589,199903,16:00:00,117.03,199906
02/02/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.86,54.29,53.86,54.29,10082,45238,199903,16:00:00,117.19,199906
02/03/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,54.18,54.18,53.69,53.85,12552,52115,199903,16:00:00,116.75,199906
02/04/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.91,53.93,53.13,53.2,15932,62908,199903,16:00:00,116.1,199906
02/05/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.16,53.5,53.04,53.39,6735,66916,199903,16:00:00,116.29,199906
02/08/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.13,53.14,52.67,52.79,9844,68732,199903,16:00:00,115.69,199906
02/09/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.05,53.49,53.05,53.42,16992,78303,199903,16:00:00,116.32,199906
02/10/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.66,53.66,53.46,53.46,21662,83814,199903,16:00:00,116.36,199906
02/11/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.32,53.71,53.25,53.66,16181,88055,199903,16:00:00,116.56,199906
02/12/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,53.68,53.69,52.83,52.83,12585,89410,199903,16:00:00,115.73,199906
02/15/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.76,52.81,52.29,52.29,8531,91613,199903,16:00:00,115.19,199906
02/16/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.51,52.8,52.29,52.29,17500,98025,199903,16:00:00,115.19,199906
02/17/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.55,52.67,52.1,52.63,7630,94564,199903,16:00:00,115.53,199906
02/18/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.72,52.88,52.38,52.44,6736,99197,199903,16:00:00,115.34,199906
02/19/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.28,52.75,52.28,52.65,8751,99646,199903,16:00:00,115.55,199906
02/22/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.62,52.98,52.52,52.98,15301,102444,199903,16:00:00,115.88,199906
02/23/1999,&FGBL_CCB,Euro-Bund Continuous Contract Backadjusted,52.87,53.31,52.85,53.2,23070,107312,199903,16:00:00,116.1,199906
