Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
02/01/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.325,73.325,73.325,73.325,210,413,199903,16:00:00,109.41,199906
02/02/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.395,73.395,73.395,73.395,0,413,199903,16:00:00,109.48,199906
02/03/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.225,73.255,73.225,73.255,25,436,199903,16:00:00,109.34,199906
02/04/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.985,72.985,72.985,72.985,0,436,199903,16:00:00,109.07,199906
02/05/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.115,73.115,73.115,73.115,0,436,199903,16:00:00,109.2,199906
02/08/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.885,72.885,72.885,72.885,200,636,199903,16:00:00,108.97,199906
02/09/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.105,73.105,73.105,73.105,190,826,199903,16:00:00,109.19,199906
02/10/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.145,73.145,73.115,73.115,466,1104,199903,16:00:00,109.2,199906
02/11/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.205,73.205,73.205,73.205,429,975,199903,16:00:00,109.29,199906
02/12/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.935,72.935,72.935,72.935,0,975,199903,16:00:00,109.02,199906
02/15/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.815,72.815,72.725,72.725,360,1652,199903,16:00:00,108.81,199906
02/16/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.865,72.865,72.715,72.715,150,1965,199903,16:00:00,108.8,199906
02/17/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.715,72.865,72.715,72.865,250,2215,199903,16:00:00,108.95,199906
02/18/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.925,72.925,72.785,72.795,398,2569,199903,16:00:00,108.88,199906
02/19/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.815,72.955,72.815,72.955,1563,4407,199903,16:00:00,109.04,199906
02/22/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.955,73.025,72.955,73.025,5124,9421,199903,16:00:00,109.11,199906
02/23/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.025,73.135,73.025,73.135,1435,10996,199903,16:00:00,109.22,199906
02/24/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,73.075,73.085,72.905,72.905,977,11818,199903,16:00:00,108.99,199906
02/25/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.835,72.885,72.415,72.455,1494,12090,199903,16:00:00,108.54,199906
02/26/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.535,72.535,72.295,72.345,1433,18936,199903,16:00:00,108.43,199906
03/01/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.445,72.455,72.015,72.085,4068,28699,199903,16:00:00,108.17,199906
03/02/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.085,72.155,71.995,72.105,9434,44798,199903,16:00:00,108.19,199906
03/03/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,72.185,72.225,71.905,71.905,20296,76157,199903,16:00:00,107.99,199906
03/04/1999,&FGBM_CCB,Euro-Bobl Continuous Contract Backadjusted,71.895,72.055,71.875,72.055,49846,127137,199903,16:00:00,108.14,199906
