Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/20/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.99,94.01,93.93,93.98,1336,1376,199903,16:00:00,105.39,199906
01/21/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.01,94.05,94.0,94.05,2214,3016,199903,16:00:00,105.46,199906
01/22/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.07,94.08,94.07,94.08,14822,14506,199903,16:00:00,105.49,199906
01/25/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.1,94.1,94.06,94.06,8642,18163,199903,16:00:00,105.47,199906
01/26/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.03,94.07,94.03,94.05,9204,15108,199903,16:00:00,105.46,199906
01/27/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.0,94.02,93.97,94.02,6052,15823,199903,16:00:00,105.43,199906
01/28/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,94.0,94.0,94.0,94.0,1386,15964,199903,16:00:00,105.41,199906
01/29/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.99,93.99,93.99,93.99,1200,16104,199903,16:00:00,105.4,199906
02/01/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.83,93.83,93.83,93.83,4448,18162,199903,16:00:00,105.24,199906
02/02/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.85,93.85,93.84,93.84,9056,23769,199903,16:00:00,105.25,199906
02/03/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.79,93.81,93.79,93.81,1221,23959,199903,16:00:00,105.22,199906
02/04/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.76,93.76,93.74,93.74,782,24497,199903,16:00:00,105.15,199906
02/05/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.75,93.78,93.75,93.78,850,24802,199903,16:00:00,105.19,199906
02/08/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.79,93.79,93.69,93.69,556,25256,199903,16:00:00,105.1,199906
02/09/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.77,93.77,93.77,93.77,1000,26236,199903,16:00:00,105.18,199906
02/10/1999,&FGBS_CCB,Euro-Schatz Continuous Contract Backadjusted,93.77,93.77,93.77,93.77,300,25568,199903,16:00:00,105.18,199906
