Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/12/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,77.0,77.04,75.5,75.56,8447,5634,200512,16:00:00,105.54,200603
09/13/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.72,76.06,75.08,76.02,9189,7924,200512,16:00:00,106.0,200603
09/14/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.82,76.44,75.78,76.14,8569,9600,200512,16:00:00,106.12,200603
09/15/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.82,76.26,75.54,75.54,7191,9833,200512,16:00:00,105.52,200603
09/16/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.62,75.72,75.24,75.28,6821,13076,200512,16:00:00,105.26,200603
09/19/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.6,76.34,75.5,76.26,4355,13952,200512,16:00:00,106.24,200603
09/20/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.12,76.5,76.12,76.48,4186,13098,200512,16:00:00,106.46,200603
09/21/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.84,77.56,76.74,77.48,7515,13597,200512,16:00:00,107.46,200603
09/22/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,77.64,77.9,77.12,77.5,5805,14402,200512,16:00:00,107.48,200603
09/23/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,77.4,77.46,76.86,76.92,5829,15014,200512,16:00:00,106.9,200603
09/26/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.6,76.68,75.6,75.72,6826,16168,200512,16:00:00,105.7,200603
09/27/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.7,76.16,75.1,75.94,6725,16147,200512,16:00:00,105.92,200603
09/28/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.78,76.36,75.36,76.34,6206,16644,200512,16:00:00,106.32,200603
09/29/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.3,76.82,75.72,75.84,9837,16354,200512,16:00:00,105.82,200603
09/30/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.04,76.44,75.92,75.92,5390,16527,200512,16:00:00,105.9,200603
10/03/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.14,76.32,75.16,75.5,4725,16739,200512,16:00:00,105.48,200603
10/04/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.88,75.88,75.06,75.62,4837,17018,200512,16:00:00,105.6,200603
10/05/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.76,76.16,75.72,75.78,5030,17398,200512,16:00:00,105.76,200603
10/06/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.04,76.12,75.4,75.52,9708,17825,200512,16:00:00,105.5,200603
10/07/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.32,76.12,75.32,75.9,5956,18515,200512,16:00:00,105.88,200603
10/10/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.8,76.24,75.8,76.12,6333,18671,200512,16:00:00,106.1,200603
10/11/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,76.06,76.2,75.46,75.54,5752,19132,200512,16:00:00,105.52,200603
10/12/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.46,75.5,74.92,75.0,11948,21018,200512,16:00:00,104.98,200603
10/13/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.84,74.88,73.84,73.9,7684,21392,200512,16:00:00,103.88,200603
10/14/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.16,74.64,73.62,73.68,5662,22187,200512,16:00:00,103.66,200603
10/17/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,73.9,74.34,73.88,74.02,4262,21807,200512,16:00:00,104.0,200603
10/18/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.02,74.2,73.66,74.18,5092,21930,200512,16:00:00,104.16,200603
10/19/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.48,74.68,74.24,74.46,11532,21996,200512,16:00:00,104.44,200603
10/20/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.52,74.52,73.64,74.34,8525,21435,200512,16:00:00,104.32,200603
10/21/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.44,75.36,74.42,75.24,7790,21963,200512,16:00:00,105.22,200603
10/24/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,75.12,75.3,74.68,74.8,3141,21435,200512,16:00:00,104.78,200603
10/25/2005,&FGBX_CCB,Euro-Buxl Continuous Contract Backadjusted,74.86,74.94,73.68,73.84,6819,21754,200512,16:00:00,103.82,200603
