Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3549,3888,3504,3880,27153,113650,199903,16:00:00,7471,199906
01/05/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3844,3983,3800,3974,35085,119663,199903,16:00:00,7565,199906
01/06/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,4093,4148,4014,4129,32336,126957,199903,16:00:00,7720,199906
01/07/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,4169,4169,3867,3975,47166,131957,199903,16:00:00,7566,199906
01/08/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3989,4094,3989,4064,30001,135355,199903,16:00:00,7655,199906
01/11/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,4133,4147,3906,3924,35990,140476,199903,16:00:00,7515,199906
01/12/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3939,4009,3801,3857,38114,139234,199903,16:00:00,7448,199906
01/13/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3802,3824,3411,3588,64213,145023,199903,16:00:00,7179,199906
01/14/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3669,3684,3475,3529,51863,139656,199903,16:00:00,7120,199906
01/15/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3379,3703,3335,3678,56474,136690,199903,16:00:00,7269,199906
01/18/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3719,3743,3628,3681,21810,142484,199903,16:00:00,7272,199906
01/19/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3688,3720,3579,3667,31184,142314,199903,16:00:00,7258,199906
01/20/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3739,3789,3669,3734,26018,141020,199903,16:00:00,7325,199906
01/21/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3629,3738,3510,3555,41943,140957,199903,16:00:00,7146,199906
01/22/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3504,3525,3363,3457,38078,138322,199903,16:00:00,7048,199906
01/25/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3350,3517,3330,3509,25447,134598,199903,16:00:00,7100,199906
01/26/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3578,3614,3459,3497,33776,134739,199903,16:00:00,7088,199906
01/27/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3559,3579,3426,3439,30114,131236,199903,16:00:00,7030,199906
01/28/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3359,3614,3354,3584,21569,130194,199903,16:00:00,7175,199906
01/29/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3604,3673,3534,3638,19641,129865,199903,16:00:00,7229,199906
02/01/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3719,3775,3674,3718,20051,129888,199903,16:00:00,7309,199906
02/02/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3669,3750,3594,3599,25803,133062,199903,16:00:00,7190,199906
02/03/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3633,3689,3566,3609,21475,135543,199903,16:00:00,7200,199906
02/04/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3670,3744,3544,3550,22275,135659,199903,16:00:00,7141,199906
02/05/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3527,3621,3472,3554,24323,137403,199903,16:00:00,7145,199906
02/08/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3642,3642,3460,3472,23245,137902,199903,16:00:00,7063,199906
02/09/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3489,3542,3349,3349,34229,139788,199903,16:00:00,6940,199906
02/10/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3320,3377,3220,3286,31625,141876,199903,16:00:00,6877,199906
02/11/1999,&FSMI_CCB,Swiss Market Index Continuous Contract Backadjusted,3359,3359,3260,3317,22571,144202,199903,16:00:00,6908,199906
