Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/11/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,669.0,671.0,668.0,671.0,455,18943,200512,16:00:00,583.0,200603
11/14/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,675.0,675.0,668.0,670.0,175,18964,200512,16:00:00,582.0,200603
11/15/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,669.0,671.0,668.0,671.0,281,18948,200512,16:00:00,583.0,200603
11/16/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,667.0,668.0,664.0,664.0,440,18977,200512,16:00:00,576.0,200603
11/17/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,667.0,668.0,666.0,667.0,206,19031,200512,16:00:00,579.0,200603
11/18/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,668.0,673.0,668.0,673.0,285,19003,200512,16:00:00,585.0,200603
11/21/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,671.0,673.0,670.0,672.0,220,19125,200512,16:00:00,584.0,200603
11/22/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,675.0,678.0,671.0,676.0,176,19197,200512,16:00:00,588.0,200603
11/23/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,677.0,678.0,676.0,676.0,291,19259,200512,16:00:00,588.0,200603
11/24/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,677.0,677.0,674.0,674.0,330,19379,200512,16:00:00,586.0,200603
11/25/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,673.0,675.0,672.0,673.0,184,19414,200512,16:00:00,585.0,200603
11/28/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,675.0,676.0,669.0,674.0,348,19593,200512,16:00:00,586.0,200603
11/29/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,673.0,674.0,672.0,674.0,286,19700,200512,16:00:00,586.0,200603
11/30/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,673.0,674.0,672.0,674.0,114,19718,200512,16:00:00,586.0,200603
12/01/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,677.0,682.0,675.0,680.0,428,19835,200512,16:00:00,592.0,200603
12/02/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,682.0,682.0,680.0,681.0,338,19717,200512,16:00:00,593.0,200603
12/05/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,681.0,682.0,678.0,680.0,331,19649,200512,16:00:00,592.0,200603
12/06/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,679.0,684.0,678.0,683.0,277,19636,200512,16:00:00,595.0,200603
12/07/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,681.0,684.0,680.0,684.0,6278,23608,200512,16:00:00,596.0,200603
12/08/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,681.0,686.0,681.0,685.0,4605,23487,200512,16:00:00,597.0,200603
12/09/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,685.0,686.0,683.0,685.0,4193,22820,200512,16:00:00,597.0,200603
12/12/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,686.0,687.0,679.0,683.0,3460,22794,200512,16:00:00,595.0,200603
12/13/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,682.0,682.0,677.0,681.0,7093,22660,200512,16:00:00,593.0,200603
12/14/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,683.0,683.0,676.0,676.0,16428,21053,200512,16:00:00,588.0,200603
12/15/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,675.0,676.0,673.0,674.0,4119,20026,200512,16:00:00,586.0,200603
12/16/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,673.0,679.0,673.0,676.0,3397,16987,200603,16:00:00,592.0,200606
12/19/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,677.0,679.0,676.0,677.0,363,17104,200603,16:00:00,593.0,200606
12/20/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,676.0,677.0,675.0,677.0,223,17043,200603,16:00:00,593.0,200606
12/21/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,676.0,682.0,676.0,681.0,318,17029,200603,16:00:00,597.0,200606
12/22/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,681.0,684.0,679.0,684.0,180,17028,200603,16:00:00,600.0,200606
12/23/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,683.0,686.0,683.0,683.0,403,17183,200603,16:00:00,599.0,200606
12/27/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,683.0,685.0,679.0,683.0,94,17235,200603,16:00:00,599.0,200606
12/28/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,684.0,684.0,680.0,680.0,201,17255,200603,16:00:00,596.0,200606
12/29/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,680.0,682.0,680.0,682.0,324,17130,200603,16:00:00,598.0,200606
12/30/2005,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,680.0,682.0,679.0,682.0,211,17123,200603,16:00:00,598.0,200606
01/02/2006,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,684.0,689.0,683.0,688.0,193,17189,200603,16:00:00,604.0,200606
01/03/2006,&FTDX_CCB,TecDAX Continuous Contract Backadjusted,690.0,701.0,690.0,694.0,3884,18433,200603,16:00:00,610.0,200606
