Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/10/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1065.5,-1065.5,-1065.5,-1065.5,0,0,198908,16:00:00,112.5,198909
11/11/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1065.5,-1065.5,-1065.5,-1065.5,0,0,198908,16:00:00,112.5,198909
11/14/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1062.0,-1062.0,-1062.0,-1062.0,0,0,198908,16:00:00,116.0,198909
11/15/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1064.0,-1064.0,-1064.0,-1064.0,0,0,198908,16:00:00,114.0,198909
11/16/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1064.0,-1064.0,-1064.0,-1064.0,0,0,198908,16:00:00,114.0,198909
11/17/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1064.5,-1064.5,-1064.5,-1064.5,0,0,198908,16:00:00,113.5,198909
11/18/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1067.0,-1067.0,-1067.0,-1067.0,0,0,198908,16:00:00,111.0,198909
11/21/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1066.0,-1066.0,-1066.0,-1066.0,0,0,198908,16:00:00,112.0,198909
11/22/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1062.5,-1062.5,-1062.5,-1062.5,0,0,198908,16:00:00,115.5,198909
11/23/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1062.5,-1062.5,-1062.5,-1062.5,0,0,198908,16:00:00,115.5,198909
11/24/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1062.5,-1062.5,-1062.5,-1062.5,0,0,198908,16:00:00,115.5,198909
11/25/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1055.0,-1055.0,-1055.0,-1055.0,0,0,198908,16:00:00,123.0,198909
11/28/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1047.0,-1047.0,-1047.0,-1047.0,0,0,198908,16:00:00,131.0,198909
11/29/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1052.25,-1052.25,-1052.25,-1052.25,0,0,198908,16:00:00,125.75,198909
11/30/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1053.0,-1053.0,-1053.0,-1053.0,0,0,198908,16:00:00,125.0,198909
12/01/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1052.0,-1052.0,-1052.0,-1052.0,0,0,198908,16:00:00,126.0,198909
12/02/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1050.5,-1050.5,-1050.5,-1050.5,0,0,198908,16:00:00,127.5,198909
12/05/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1051.0,-1051.0,-1051.0,-1051.0,0,0,198908,16:00:00,127.0,198909
12/06/1988,&GAS_CCB,Low Sulphur Gasoil Continuous Contract Backadjusted,-1052.25,-1052.25,-1052.25,-1052.25,0,0,198908,16:00:00,125.75,198909
