Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/30/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1339.1,1339.1,1339.1,1339.1,0,2,198002,16:00:00,211.2,198004
03/31/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1343.0,1343.0,1343.0,1343.0,1,3,198002,16:00:00,215.1,198004
04/03/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1340.7,1340.7,1335.4,1335.4,15,10,198002,16:00:00,207.5,198004
04/04/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1335.5,1335.5,1334.5,1334.5,1,10,198002,16:00:00,206.6,198004
04/05/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1335.9,1335.9,1335.9,1335.9,0,10,198002,16:00:00,208.0,198004
04/06/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1338.2,1338.2,1338.2,1338.2,0,10,198002,16:00:00,210.3,198004
04/07/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1336.2,1336.2,1335.1,1335.1,10,16,198002,16:00:00,207.2,198004
04/10/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1335.9,1335.9,1335.9,1335.9,50,50,198002,16:00:00,208.0,198004
04/11/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1337.6,1337.6,1337.6,1337.6,120,170,198002,16:00:00,209.7,198004
04/12/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1337.1,1337.1,1336.8,1336.8,1,171,198002,16:00:00,208.9,198004
04/13/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1335.1,1335.1,1335.1,1335.1,0,171,198002,16:00:00,207.2,198004
04/14/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1333.0,1333.0,1332.8,1332.8,100,271,198002,16:00:00,204.9,198004
04/17/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1327.4,1327.4,1326.2,1326.2,277,89,198002,16:00:00,198.3,198004
04/18/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1326.9,1327.9,1326.9,1327.9,21,98,198002,16:00:00,200.0,198004
04/19/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1328.4,1328.4,1327.6,1327.6,1,99,198002,16:00:00,199.7,198004
04/20/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1322.7,1324.5,1322.5,1324.5,25,124,198002,16:00:00,196.6,198004
04/21/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1324.7,1325.7,1324.5,1324.5,11,134,198002,16:00:00,196.6,198004
04/24/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1321.0,1321.0,1321.0,1321.0,0,134,198002,16:00:00,193.1,198004
04/25/1978,&GC_CCB,Gold Continuous Contract Backadjusted,1322.1,1322.1,1318.4,1319.8,149,221,198002,16:00:00,191.9,198004
