Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/15/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.1,647.1,647.1,647.1,0,13,199607,16:00:00,200.0,199608
04/16/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,643.8,643.8,643.5,643.5,3,14,199607,16:00:00,196.4,199608
04/17/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,643.5,643.5,643.5,643.5,18,20,199607,16:00:00,196.4,199608
04/18/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,643.4,644.5,643.4,644.5,3,11,199607,16:00:00,197.4,199608
04/19/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,645.4,645.4,645.4,645.4,3,11,199607,16:00:00,198.3,199608
04/22/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.0,649.1,649.0,649.1,3,21,199607,16:00:00,202.0,199608
04/23/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.2,651.2,651.2,651.2,14,27,199607,16:00:00,204.1,199608
04/24/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,650.1,650.1,650.1,650.1,8,33,199607,16:00:00,203.0,199608
04/25/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,652.1,652.1,650.1,650.1,4,33,199607,16:00:00,203.0,199608
04/26/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.4,649.4,649.4,649.4,0,33,199607,16:00:00,202.3,199608
04/29/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.4,649.4,649.4,649.4,8,33,199607,16:00:00,202.3,199608
04/30/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,645.1,645.1,645.1,645.1,22,38,199607,16:00:00,198.0,199608
05/01/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.1,647.1,647.1,647.1,2,39,199607,16:00:00,200.0,199608
05/02/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.6,646.6,646.6,646.6,5,42,199607,16:00:00,199.5,199608
05/03/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.0,646.0,646.0,646.0,8,43,199607,16:00:00,198.9,199608
05/06/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.3,647.3,645.6,645.6,4,44,199607,16:00:00,198.5,199608
05/07/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.1,647.1,647.1,647.1,1,41,199607,16:00:00,200.0,199608
05/08/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,648.6,649.0,648.0,649.0,6,45,199607,16:00:00,201.9,199608
05/09/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.4,649.4,649.4,649.4,1,45,199607,16:00:00,202.3,199608
05/10/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.2,649.2,649.2,649.2,3,43,199607,16:00:00,202.1,199608
05/13/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.2,651.2,651.2,651.2,3,44,199607,16:00:00,204.1,199608
05/14/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.4,651.4,651.4,651.4,1,44,199607,16:00:00,204.3,199608
05/15/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.5,651.5,651.5,651.5,1,44,199607,16:00:00,204.4,199608
05/16/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.6,651.6,648.5,649.3,38,51,199607,16:00:00,202.2,199608
05/17/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.1,649.1,649.1,649.1,22,49,199607,16:00:00,202.0,199608
05/20/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.4,652.4,647.4,652.4,20,48,199607,16:00:00,205.3,199608
05/21/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,652.5,652.9,650.1,650.1,40,63,199607,16:00:00,203.0,199608
05/22/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,650.1,652.2,649.6,652.2,38,53,199607,16:00:00,205.1,199608
05/23/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,651.5,651.9,651.5,651.9,1450,1049,199607,16:00:00,204.8,199608
05/24/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,652.1,652.4,652.0,652.1,2117,2088,199607,16:00:00,205.0,199608
05/28/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,653.0,653.1,651.1,651.1,2327,3189,199607,16:00:00,204.0,199608
05/29/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,650.4,650.4,649.0,649.3,1230,3640,199607,16:00:00,202.2,199608
05/30/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,648.6,648.8,646.3,646.6,2833,5546,199607,16:00:00,199.5,199608
05/31/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.8,646.8,646.1,646.6,1473,6272,199607,16:00:00,199.5,199608
06/03/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.4,646.7,645.6,646.0,5412,9518,199607,16:00:00,198.9,199608
06/04/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.6,646.8,644.8,645.6,3108,11162,199607,16:00:00,198.5,199608
06/05/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,645.4,645.4,642.7,643.3,4307,13906,199607,16:00:00,196.2,199608
06/06/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,643.3,644.5,642.7,644.5,1419,14825,199607,16:00:00,197.4,199608
06/07/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,644.5,646.6,644.1,646.6,52,14796,199607,16:00:00,199.5,199608
06/10/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.2,648.6,647.2,648.6,60,14808,199607,16:00:00,201.5,199608
06/11/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,648.4,648.5,646.1,647.1,185,14863,199607,16:00:00,200.0,199608
06/12/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.3,647.5,646.1,646.3,142,14920,199607,16:00:00,199.2,199608
06/13/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.2,646.3,645.3,646.3,127,14957,199607,16:00:00,199.2,199608
06/14/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.3,646.5,645.6,646.3,102,14958,199607,16:00:00,199.2,199608
06/17/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.2,650.4,647.2,650.1,320,15028,199607,16:00:00,203.0,199608
06/18/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.4,650.5,649.1,649.1,140,15007,199607,16:00:00,202.0,199608
06/19/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,650.8,651.1,647.2,647.3,177,15024,199607,16:00:00,200.2,199608
06/20/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.7,647.7,646.4,647.7,151,14997,199607,16:00:00,200.6,199608
06/21/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.9,648.5,647.6,647.9,73,14995,199607,16:00:00,200.8,199608
06/24/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.4,648.2,647.0,647.7,56,14995,199607,16:00:00,200.6,199608
06/25/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,648.0,648.0,646.4,647.0,221,14990,199607,16:00:00,199.9,199608
06/26/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,647.4,649.4,646.7,649.3,277,15042,199607,16:00:00,202.2,199608
06/27/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,649.1,652.0,648.7,651.2,150,15039,199607,16:00:00,204.1,199608
06/28/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,652.2,654.0,651.6,653.5,354,15159,199607,16:00:00,206.4,199608
07/01/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,654.2,655.1,653.4,654.9,612,15433,199607,16:00:00,207.8,199608
07/02/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,654.3,654.7,653.4,653.5,732,15649,199607,16:00:00,206.4,199608
07/03/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,653.9,655.8,653.8,655.6,160,15657,199607,16:00:00,208.5,199608
07/05/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,655.6,656.1,655.6,656.1,37,15671,199607,16:00:00,209.0,199608
07/08/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,657.1,657.7,654.1,655.2,4517,16575,199607,16:00:00,208.1,199608
07/09/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,655.1,655.1,653.3,654.9,7687,16138,199607,16:00:00,207.8,199608
07/10/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,655.6,656.2,655.5,656.2,16914,16587,199607,16:00:00,209.1,199608
07/11/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,656.1,657.8,656.1,657.8,11708,16777,199607,16:00:00,210.7,199608
07/12/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,658.8,659.0,658.8,659.0,8058,16828,199607,16:00:00,211.9,199608
07/15/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,658.0,659.7,657.3,659.4,1645,16510,199608,16:00:00,210.9,199609
07/16/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,659.4,659.7,657.5,657.5,1001,16575,199608,16:00:00,209.0,199609
07/17/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,657.7,657.7,653.1,654.1,224,15985,199608,16:00:00,205.6,199609
07/18/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,653.8,653.9,650.0,650.0,578,15945,199608,16:00:00,201.5,199609
07/19/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,650.6,651.2,647.2,647.2,397,15947,199608,16:00:00,198.7,199609
07/22/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,646.6,646.6,642.8,644.0,780,15621,199608,16:00:00,195.5,199609
07/23/1996,&GD_CCB,S&P GSCI Continuous Contract Backadjusted,645.0,647.4,644.8,647.3,259,15608,199608,16:00:00,198.8,199609
