Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/22/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.275,101.525,101.025,101.025,4,3,198001,16:00:00,81.0,198003
01/23/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.025,101.025,100.625,100.825,4,5,198001,16:00:00,80.8,198003
01/24/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.025,102.025,101.025,102.025,33,35,198001,16:00:00,82.0,198003
01/25/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,102.025,102.325,101.925,102.325,13,46,198001,16:00:00,82.3,198003
01/26/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.975,102.775,101.975,102.65,36,82,198001,16:00:00,82.625,198003
01/29/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.325,103.65,103.325,103.625,38,98,198001,16:00:00,83.6,198003
01/30/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.475,103.525,102.825,103.275,28,107,198001,16:00:00,83.25,198003
01/31/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.625,103.625,103.425,103.425,31,109,198001,16:00:00,83.4,198003
02/01/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.025,103.025,101.925,101.925,25,114,198001,16:00:00,81.9,198003
02/02/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.825,102.525,101.825,102.525,9,123,198001,16:00:00,82.5,198003
02/05/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,102.025,102.025,101.325,101.325,35,130,198001,16:00:00,81.3,198003
02/06/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,101.425,102.825,101.425,102.525,30,149,198001,16:00:00,82.5,198003
02/07/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,102.625,102.725,102.525,102.725,14,156,198001,16:00:00,82.7,198003
02/08/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.025,103.525,103.025,103.525,8,157,198001,16:00:00,83.5,198003
02/09/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.525,103.625,103.025,103.025,18,164,198001,16:00:00,83.0,198003
02/12/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.125,103.125,102.425,102.425,22,163,198001,16:00:00,82.4,198003
02/13/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,102.525,102.725,102.425,102.625,16,175,198001,16:00:00,82.6,198003
02/14/1979,&GF_CCB,Feeder Cattle Continuous Contract Backadjusted,103.025,103.5,103.025,103.025,38,182,198001,16:00:00,83.0,198003
