Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/14/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-73.375,-73.375,-73.375,-73.375,1,1,198002,16:00:00,59.45,198004
11/15/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-73.375,-72.025,-73.375,-72.025,2,1,198002,16:00:00,60.8,198004
11/16/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-71.75,-71.35,-71.75,-71.675,5,4,198002,16:00:00,61.15,198004
11/17/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-71.675,-70.25,-71.675,-70.25,5,9,198002,16:00:00,62.575,198004
11/20/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.975,-69.975,-70.2,-70.2,5,10,198002,16:00:00,62.625,198004
11/21/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-70.2,-68.975,-70.2,-70.15,11,17,198002,16:00:00,62.675,198004
11/22/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-70.15,-70.15,-70.15,-70.15,0,17,198002,16:00:00,62.675,198004
11/27/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.175,-69.175,-69.3,-69.25,1,17,198002,16:00:00,63.575,198004
11/28/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.975,-68.975,-69.65,-69.275,1,17,198002,16:00:00,63.55,198004
11/29/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.275,-69.275,-69.275,-69.275,0,17,198002,16:00:00,63.55,198004
11/30/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.275,-69.275,-69.275,-69.275,0,17,198002,16:00:00,63.55,198004
12/01/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.275,-69.275,-69.275,-69.275,1,17,198002,16:00:00,63.55,198004
12/04/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.275,-69.275,-69.275,-69.275,0,17,198002,16:00:00,63.55,198004
12/05/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.275,-69.275,-69.275,-69.275,0,17,198002,16:00:00,63.55,198004
12/06/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.3,-68.1,-69.725,-69.65,13,25,198002,16:00:00,63.175,198004
12/07/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.85,-68.85,-68.85,-68.85,0,25,198002,16:00:00,63.975,198004
12/08/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.85,-68.85,-68.85,-68.85,0,25,198002,16:00:00,63.975,198004
12/11/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.525,-69.525,-69.525,-69.525,0,25,198002,16:00:00,63.3,198004
12/12/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.475,-68.9,-70.125,-69.25,4,27,198002,16:00:00,63.575,198004
12/13/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.575,-68.575,-68.775,-68.775,2,26,198002,16:00:00,64.05,198004
12/14/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.775,-68.775,-68.775,-68.775,0,26,198002,16:00:00,64.05,198004
12/15/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-68.775,-68.775,-69.775,-69.775,2,26,198002,16:00:00,63.05,198004
12/18/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.3,-69.3,-69.3,-69.3,0,26,198002,16:00:00,63.525,198004
12/19/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.3,-69.3,-69.3,-69.3,0,26,198002,16:00:00,63.525,198004
12/20/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-70.125,-69.575,-70.125,-69.575,1,26,198002,16:00:00,63.25,198004
12/21/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-69.975,-69.975,-70.4,-70.4,4,29,198002,16:00:00,62.425,198004
12/22/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-72.425,-72.425,-72.425,-72.425,10,39,198002,16:00:00,60.4,198004
12/26/1978,&HE_CCB,Lean Hogs Continuous Contract Backadjusted,-74.175,-73.7,-74.375,-73.7,26,51,198002,16:00:00,59.125,198004
