Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/27/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.1,92.1,92.1,92.1,11,212,198003,16:00:00,69.2,198005
04/28/1978,&HG_CCB,Copper Continuous Contract Backadjusted,93.1,93.1,93.1,93.1,5,214,198003,16:00:00,70.2,198005
05/01/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.7,92.7,92.7,92.7,5,211,198003,16:00:00,69.8,198005
05/02/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.5,92.5,92.5,92.5,3,210,198003,16:00:00,69.6,198005
05/03/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.9,92.9,92.9,92.9,5,212,198003,16:00:00,70.0,198005
05/04/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.9,92.9,92.2,92.2,18,230,198003,16:00:00,69.3,198005
05/05/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.1,92.3,91.9,92.1,48,232,198003,16:00:00,69.2,198005
05/08/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.3,92.3,92.3,92.3,2,234,198003,16:00:00,69.4,198005
05/09/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.3,92.3,91.8,91.8,5,239,198003,16:00:00,68.9,198005
05/10/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.5,92.5,92.5,92.5,0,239,198003,16:00:00,69.6,198005
05/11/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.6,92.6,92.1,92.1,4,241,198003,16:00:00,69.2,198005
05/12/1978,&HG_CCB,Copper Continuous Contract Backadjusted,92.3,92.3,92.1,92.1,44,284,198003,16:00:00,69.2,198005
05/15/1978,&HG_CCB,Copper Continuous Contract Backadjusted,93.1,93.1,92.9,93.1,65,344,198003,16:00:00,70.2,198005
05/16/1978,&HG_CCB,Copper Continuous Contract Backadjusted,93.4,93.4,93.0,93.0,11,351,198003,16:00:00,70.1,198005
05/17/1978,&HG_CCB,Copper Continuous Contract Backadjusted,93.9,94.0,93.7,93.7,22,366,198003,16:00:00,70.8,198005
