Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
11/15/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0201,-3.0201,-3.0201,-3.0201,2,10,197902,16:00:00,0.441,197903
11/16/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,2,12,197902,16:00:00,0.443,197903
11/17/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,1,12,197902,16:00:00,0.443,197903
11/20/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,2,12,197902,16:00:00,0.443,197903
11/21/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,1,12,197902,16:00:00,0.443,197903
11/22/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,1,12,197902,16:00:00,0.443,197903
11/24/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0181,-3.0181,-3.0181,-3.0181,0,12,197902,16:00:00,0.443,197903
11/27/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0211,-3.0111,-3.0211,-3.0111,2,12,197902,16:00:00,0.45,197903
11/28/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0111,-3.0111,-3.0111,-3.0111,0,12,197902,16:00:00,0.45,197903
11/29/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0161,-3.0161,-3.0161,-3.0161,0,12,197902,16:00:00,0.445,197903
11/30/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0211,-3.0211,-3.0211,-3.0211,0,12,197902,16:00:00,0.44,197903
12/01/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0251,-3.0251,-3.0251,-3.0251,3,12,197902,16:00:00,0.436,197903
12/04/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0311,-3.0261,-3.0311,-3.0261,4,12,197902,16:00:00,0.435,197903
12/05/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0261,-3.0261,-3.0261,-3.0261,1,13,197902,16:00:00,0.435,197903
12/06/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0261,-3.0261,-3.0261,-3.0261,12,25,197902,16:00:00,0.435,197903
12/07/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,0,25,197902,16:00:00,0.4325,197903
12/08/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,2,25,197902,16:00:00,0.4325,197903
12/11/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0361,-3.0361,-3.0361,-3.0361,4,27,197902,16:00:00,0.425,197903
12/12/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,5,32,197902,16:00:00,0.4325,197903
12/13/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,8,25,197902,16:00:00,0.4325,197903
12/14/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,0,25,197902,16:00:00,0.4325,197903
12/15/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,10,25,197902,16:00:00,0.4325,197903
12/18/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,15,43,197902,16:00:00,0.4325,197903
12/19/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0311,-3.0311,-3.0311,-3.0311,3,43,197902,16:00:00,0.43,197903
12/20/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0371,-3.0371,-3.0371,-3.0371,1,43,197902,16:00:00,0.424,197903
12/21/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0371,-3.0371,-3.0371,-3.0371,5,48,197902,16:00:00,0.424,197903
12/22/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0371,-3.0371,-3.0371,-3.0371,5,43,197902,16:00:00,0.424,197903
12/26/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0371,-3.0371,-3.0371,-3.0371,4,43,197902,16:00:00,0.424,197903
12/27/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0371,-3.0371,-3.0371,-3.0371,6,46,197902,16:00:00,0.424,197903
12/28/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0361,-3.0361,-3.0361,-3.0361,10,57,197902,16:00:00,0.425,197903
12/29/1978,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0311,-3.0311,-3.0311,-3.0311,1,46,197902,16:00:00,0.43,197903
01/02/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0311,-3.0311,-3.0311,-3.0311,14,60,197902,16:00:00,0.43,197903
01/03/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0311,-3.0311,-3.0311,-3.0311,0,60,197902,16:00:00,0.43,197903
01/04/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0286,-3.0286,-3.0286,-3.0286,30,90,197902,16:00:00,0.4325,197903
01/05/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0211,-3.0211,9,89,197902,16:00:00,0.44,197903
01/08/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0221,-3.0221,-3.0221,-3.0221,5,94,197902,16:00:00,0.439,197903
01/09/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0246,-3.0246,-3.0246,-3.0246,5,99,197902,16:00:00,0.4365,197903
01/10/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0196,-3.0196,-3.0196,-3.0196,6,105,197902,16:00:00,0.4415,197903
01/11/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,26,118,197902,16:00:00,0.4425,197903
01/12/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,9,123,197902,16:00:00,0.4425,197903
01/15/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,7,130,197902,16:00:00,0.4425,197903
01/16/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,7,137,197902,16:00:00,0.4425,197903
01/17/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,8,144,197902,16:00:00,0.4425,197903
01/18/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,30,172,197902,16:00:00,0.4425,197903
01/19/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,15,185,197902,16:00:00,0.4425,197903
01/22/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,37,222,197902,16:00:00,0.4425,197903
01/23/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,4,218,197902,16:00:00,0.4425,197903
01/24/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,35,249,197902,16:00:00,0.4425,197903
01/25/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0186,-3.0186,-3.0186,-3.0186,38,286,197902,16:00:00,0.4425,197903
01/26/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0136,-3.0136,-3.0136,-3.0136,37,307,197902,16:00:00,0.4475,197903
01/29/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0036,-3.0036,-3.0036,-3.0036,13,305,197902,16:00:00,0.4575,197903
01/30/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-3.0036,-3.0036,-3.0036,-3.0036,16,316,197902,16:00:00,0.4575,197903
01/31/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9896,-2.9836,-2.9946,-2.9896,27,327,197903,16:00:00,0.51,197904
02/01/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9851,-2.9796,-2.9851,-2.9796,2,325,197903,16:00:00,0.52,197904
02/02/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9746,-2.9746,-2.9776,-2.9776,2,325,197903,16:00:00,0.522,197904
02/05/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9736,-2.9696,-2.9746,-2.9746,1,325,197903,16:00:00,0.525,197904
02/06/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9746,-2.9646,-2.9746,-2.9646,3,328,197903,16:00:00,0.535,197904
02/07/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9686,-2.9546,-2.9686,-2.9556,1,329,197903,16:00:00,0.544,197904
02/08/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9546,-2.9546,-2.9656,-2.9656,1,328,197903,16:00:00,0.534,197904
02/09/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9656,-2.9636,-2.9756,-2.9756,42,368,197903,16:00:00,0.524,197904
02/12/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9776,-2.9606,-2.9776,-2.9746,13,361,197903,16:00:00,0.525,197904
02/13/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9721,-2.9646,-2.9746,-2.9646,8,358,197903,16:00:00,0.535,197904
02/14/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9746,-2.9546,-2.9746,-2.9546,1,359,197903,16:00:00,0.545,197904
02/15/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9534,-2.9396,-2.9546,-2.9496,29,373,197903,16:00:00,0.55,197904
02/16/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9396,-2.9396,-2.9496,-2.9496,9,381,197903,16:00:00,0.55,197904
02/20/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9396,-2.9396,-2.9396,-2.9396,2,381,197903,16:00:00,0.56,197904
02/21/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9246,-2.9246,-2.9246,-2.9246,162,284,197903,16:00:00,0.575,197904
02/22/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9046,-2.9046,-2.9046,-2.9046,45,290,197903,16:00:00,0.595,197904
02/23/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.8873,-2.8849,-2.8996,-2.8916,22,290,197903,16:00:00,0.608,197904
02/26/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.8956,-2.8956,-2.8956,-2.8956,11,301,197903,16:00:00,0.604,197904
02/27/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9001,-2.9001,-2.9056,-2.9056,39,304,197903,16:00:00,0.594,197904
02/28/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9106,-2.9016,-2.9106,-2.9026,116,200,197905,16:00:00,0.585,197906
03/01/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9026,-2.9026,-2.9026,-2.9026,0,70,197905,16:00:00,0.585,197906
03/02/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9056,-2.9056,-2.9126,-2.9126,1,69,197905,16:00:00,0.575,197906
03/05/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9226,-2.9226,-2.9226,-2.9226,0,69,197905,16:00:00,0.565,197906
03/06/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9266,-2.9266,-2.9376,-2.9376,7,73,197905,16:00:00,0.55,197906
03/07/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9576,-2.9576,-2.9576,-2.9576,2,73,197905,16:00:00,0.53,197906
03/08/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9776,-2.9726,-2.9776,-2.9776,9,78,197905,16:00:00,0.51,197906
03/09/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9871,-2.9826,-2.9976,-2.9976,10,77,197905,16:00:00,0.49,197906
03/12/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9876,-2.9876,-2.9876,-2.9876,0,72,197905,16:00:00,0.5,197906
03/13/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9776,-2.9776,-2.9776,-2.9776,1,71,197905,16:00:00,0.51,197906
03/14/1979,&HO_CCB,NY Harbor ULSD Continuous Contract Backadjusted,-2.9676,-2.9676,-2.9676,-2.9676,1,71,197905,16:00:00,0.52,197906
