Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/01/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2714,2739,2629,2704,11928,49655,199604,16:00:00,10930,199605
04/02/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2789,2924,2754,2919,11554,50373,199604,16:00:00,11145,199605
04/03/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2894,3024,2884,2974,13949,50356,199604,16:00:00,11200,199605
04/09/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2704,2964,2694,2954,15107,51985,199604,16:00:00,11180,199605
04/10/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2924,2964,2774,2869,16983,51031,199604,16:00:00,11095,199605
04/11/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2734,2749,2614,2634,17521,51510,199604,16:00:00,10860,199605
04/12/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2734,2734,2579,2609,13693,50811,199604,16:00:00,10835,199605
04/15/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2744,2794,2699,2766,14197,51135,199604,16:00:00,10992,199605
04/16/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2914,2914,2794,2824,18681,51894,199604,16:00:00,11050,199605
04/17/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2834,2864,2724,2724,17373,52368,199604,16:00:00,10950,199605
04/18/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2604,2689,2599,2649,14603,51927,199604,16:00:00,10875,199605
04/19/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2629,2632,2539,2604,16593,52684,199604,16:00:00,10830,199605
04/22/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2664,2789,2664,2724,22997,53916,199604,16:00:00,10950,199605
04/23/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2784,2794,2629,2654,28169,55599,199604,16:00:00,10880,199605
04/24/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2654,2729,2644,2674,25899,57071,199604,16:00:00,10900,199605
04/25/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2614,2614,2524,2549,29582,56320,199604,16:00:00,10775,199605
04/26/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2594,2609,2522,2569,24391,57025,199604,16:00:00,10795,199605
04/29/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2574,2689,2574,2649,17333,57514,199605,16:00:00,10865,199606
04/30/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2624,2739,2589,2732,14636,51062,199605,16:00:00,10948,199606
05/01/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2719,2744,2654,2659,12170,51512,199605,16:00:00,10875,199606
05/02/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2684,2754,2659,2694,13593,51812,199605,16:00:00,10910,199606
05/03/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2484,2519,2434,2459,14756,53090,199605,16:00:00,10675,199606
05/06/1996,&HSI_CCB,Hang Seng Index Continuous Contract Backadjusted,2424,2494,2399,2424,10503,54217,199605,16:00:00,10640,199606
