Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/09/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-54.86,-43.56,-55.06,-47.26,505,179,199703,16:00:00,307.3,199704
01/10/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-48.06,-45.06,-48.16,-45.66,452,315,199703,16:00:00,308.9,199704
01/13/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-47.06,-43.76,-47.56,-44.16,433,359,199703,16:00:00,310.4,199704
01/14/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-44.36,-43.96,-48.06,-47.86,378,469,199703,16:00:00,306.7,199704
01/15/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-48.56,-47.56,-48.76,-47.86,624,525,199703,16:00:00,306.7,199704
01/16/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-48.56,-44.66,-48.86,-44.86,329,552,199703,16:00:00,309.7,199704
01/17/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-44.36,-43.06,-44.56,-44.36,395,725,199703,16:00:00,310.2,199704
01/20/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-44.96,-42.96,-46.16,-43.06,259,811,199703,16:00:00,311.5,199704
01/21/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-44.56,-42.56,-44.76,-43.26,446,954,199703,16:00:00,311.3,199704
01/22/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-42.86,-40.46,-42.86,-40.76,402,1100,199703,16:00:00,313.8,199704
01/23/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-40.36,-32.56,-44.26,-44.06,876,1300,199703,16:00:00,310.5,199704
01/24/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-42.96,-41.26,-45.56,-44.26,297,1386,199703,16:00:00,310.3,199704
01/27/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-45.56,-45.56,-46.96,-46.86,103,1412,199703,16:00:00,307.7,199704
01/28/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-47.06,-46.06,-47.86,-46.86,295,1482,199703,16:00:00,307.7,199704
01/29/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-49.06,-45.36,-49.06,-47.06,112,1475,199703,16:00:00,307.5,199704
01/30/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-44.56,-43.76,-44.86,-43.86,299,1618,199703,16:00:00,310.7,199704
01/31/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-42.56,-40.06,-42.56,-40.26,320,1827,199703,16:00:00,314.3,199704
02/03/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-38.06,-38.06,-40.06,-38.66,62,1790,199703,16:00:00,315.9,199704
02/11/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-38.56,-36.86,-38.56,-37.66,214,1926,199703,16:00:00,316.9,199704
02/12/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-38.06,-37.36,-39.56,-38.96,365,2015,199703,16:00:00,315.6,199704
02/13/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-38.06,-35.66,-38.06,-35.76,247,2082,199703,16:00:00,318.8,199704
02/14/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-35.56,-32.76,-36.06,-35.96,273,2111,199703,16:00:00,318.6,199704
02/17/1997,&HTW_CCB,MSCI Taiwan Index Continuous Contract Backadjusted,-33.06,-30.06,-33.06,-30.06,231,2118,199703,16:00:00,324.5,199704
