Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
12/14/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,442.1,448.35,442.1,448.35,11,20,198003,16:00:00,118.25,198005
12/15/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,451.75,451.75,451.75,451.75,5,23,198003,16:00:00,121.65,198005
12/18/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,447.75,447.75,447.75,447.75,2,25,198003,16:00:00,117.65,198005
12/19/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,447.75,447.75,447.75,447.75,0,25,198003,16:00:00,117.65,198005
12/20/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,449.8,449.8,449.8,449.8,0,25,198003,16:00:00,119.7,198005
12/21/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,448.85,448.85,448.85,448.85,0,25,198003,16:00:00,118.75,198005
12/22/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.85,452.85,452.85,452.85,10,35,198003,16:00:00,122.75,198005
12/26/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,453.6,455.6,453.6,455.3,9,39,198003,16:00:00,125.2,198005
12/27/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.1,457.1,457.1,457.1,6,40,198003,16:00:00,127.0,198005
12/28/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,459.6,459.6,459.6,459.6,27,66,198003,16:00:00,129.5,198005
12/29/1978,&KC_CCB,Coffee C Continuous Contract Backadjusted,459.1,459.1,455.6,458.6,40,80,198003,16:00:00,128.5,198005
01/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,459.6,459.6,459.1,459.25,8,80,198003,16:00:00,129.15,198005
01/03/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,458.6,459.85,458.6,459.85,2,80,198003,16:00:00,129.75,198005
01/04/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,458.1,461.1,458.1,460.6,8,84,198003,16:00:00,130.5,198005
01/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.6,460.1,457.6,460.1,19,94,198003,16:00:00,130.0,198005
01/08/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,460.35,461.0,460.35,460.75,10,98,198003,16:00:00,130.65,198005
01/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,459.1,460.1,458.6,460.1,52,122,198003,16:00:00,130.0,198005
01/10/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,456.1,456.9,456.1,456.9,7,125,198003,16:00:00,126.8,198005
01/11/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,454.1,454.1,452.9,452.9,5,126,198003,16:00:00,122.8,198005
01/12/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,453.1,450.1,453.05,33,134,198003,16:00:00,122.95,198005
01/15/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.85,452.85,451.1,452.7,16,142,198003,16:00:00,122.6,198005
01/16/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,452.1,450.85,450.85,8,144,198003,16:00:00,120.75,198005
01/17/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,449.1,449.1,447.85,448.0,13,145,198003,16:00:00,117.9,198005
01/18/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,450.1,452.0,450.1,452.0,17,150,198003,16:00:00,121.9,198005
01/19/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,451.9,454.1,451.85,453.6,34,170,198003,16:00:00,123.5,198005
01/22/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.85,452.85,452.85,452.85,0,170,198003,16:00:00,122.75,198005
01/23/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,452.6,451.6,452.6,21,180,198003,16:00:00,122.5,198005
01/24/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,451.6,451.6,449.6,449.75,17,192,198003,16:00:00,119.65,198005
01/25/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,449.35,449.6,448.6,449.6,30,199,198003,16:00:00,119.5,198005
01/26/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,448.1,448.6,447.85,448.6,32,215,198003,16:00:00,118.5,198005
01/29/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,447.6,448.0,447.6,448.0,9,212,198003,16:00:00,117.9,198005
01/30/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,447.35,450.85,447.35,450.5,8,215,198003,16:00:00,120.4,198005
01/31/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,450.05,453.1,449.1,453.1,29,222,198003,16:00:00,123.0,198005
02/01/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,453.0,453.0,453.0,453.0,24,234,198003,16:00:00,122.9,198005
02/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,455.1,452.1,454.6,49,247,198003,16:00:00,124.5,198005
02/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,454.1,454.1,451.1,451.1,23,255,198003,16:00:00,121.0,198005
02/06/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,451.1,452.9,451.1,452.7,13,261,198003,16:00:00,122.6,198005
02/07/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.6,455.1,449.6,454.2,47,295,198003,16:00:00,124.1,198005
02/08/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,453.1,452.1,452.1,36,331,198003,16:00:00,122.0,198005
02/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,454.1,452.1,454.1,23,333,198003,16:00:00,124.0,198005
02/12/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,453.1,453.1,452.35,452.85,21,336,198003,16:00:00,122.75,198005
02/13/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,452.6,452.1,452.6,15,345,198003,16:00:00,122.5,198005
02/14/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.85,453.0,451.85,451.85,5,343,198003,16:00:00,121.75,198005
02/15/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,450.35,455.1,447.85,454.1,116,383,198003,16:00:00,124.0,198005
02/16/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,452.1,454.0,452.1,453.9,33,415,198003,16:00:00,123.8,198005
02/20/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,453.85,456.0,453.6,455.8,50,465,198003,16:00:00,125.7,198005
02/21/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,456.1,457.1,455.6,456.7,45,494,198003,16:00:00,126.6,198005
02/22/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.1,458.1,456.85,457.95,47,516,198003,16:00:00,127.85,198005
02/23/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.1,458.1,457.1,458.1,57,556,198003,16:00:00,128.0,198005
02/26/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.6,458.1,456.6,458.1,55,568,198003,16:00:00,128.0,198005
02/27/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.1,457.1,456.85,456.95,42,606,198003,16:00:00,126.85,198005
02/28/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.1,457.6,456.6,457.3,111,662,198003,16:00:00,127.2,198005
03/01/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,457.6,457.6,456.6,457.6,128,604,198003,16:00:00,127.5,198005
03/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,456.6,458.0,456.6,458.0,108,591,198003,16:00:00,127.9,198005
03/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,459.1,461.85,459.1,461.75,40,596,198003,16:00:00,131.65,198005
03/06/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,462.1,462.1,461.6,462.0,18,591,198003,16:00:00,131.9,198005
03/07/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,462.1,463.1,462.1,463.1,31,607,198003,16:00:00,133.0,198005
03/08/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,465.1,467.1,465.1,467.05,151,655,198003,16:00:00,136.95,198005
03/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,465.35,468.05,465.1,468.05,127,695,198003,16:00:00,137.95,198005
03/12/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,466.1,467.6,466.1,467.45,104,722,198003,16:00:00,137.35,198005
03/13/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,468.05,468.1,467.35,467.95,68,734,198003,16:00:00,137.85,198005
03/14/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,467.1,467.1,466.1,466.1,36,727,198003,16:00:00,136.0,198005
03/15/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,465.85,466.5,465.85,466.3,13,735,198003,16:00:00,136.2,198005
03/16/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,465.2,465.4,465.2,465.4,5,738,198003,16:00:00,135.3,198005
03/19/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,464.35,464.6,463.85,464.1,97,716,198003,16:00:00,134.0,198005
03/20/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,463.6,464.55,463.6,464.55,40,706,198003,16:00:00,134.45,198005
03/21/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,464.35,464.35,463.6,463.8,11,701,198003,16:00:00,133.7,198005
03/22/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,466.1,467.35,465.85,467.3,69,698,198003,16:00:00,137.2,198005
03/23/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,469.6,470.1,469.3,470.0,210,668,198003,16:00:00,139.9,198005
03/26/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,471.1,471.35,470.1,471.2,99,685,198003,16:00:00,141.1,198005
03/27/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,471.6,471.6,470.1,470.65,85,668,198003,16:00:00,140.55,198005
03/28/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,472.85,473.35,472.35,473.25,103,690,198003,16:00:00,143.15,198005
03/29/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,473.85,474.35,472.4,474.15,150,713,198003,16:00:00,144.05,198005
03/30/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,474.15,475.4,473.9,475.05,98,729,198003,16:00:00,144.95,198005
04/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,471.05,471.6,471.05,471.35,38,726,198003,16:00:00,141.25,198005
04/03/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,473.1,473.5,472.85,473.1,102,739,198003,16:00:00,143.0,198005
04/04/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,471.1,471.85,470.4,471.75,50,757,198003,16:00:00,141.65,198005
04/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,470.85,472.35,468.1,472.25,80,774,198003,16:00:00,142.15,198005
04/06/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,470.85,472.9,470.85,472.85,81,789,198003,16:00:00,142.75,198005
04/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,474.1,476.85,473.35,476.85,202,830,198003,16:00:00,146.75,198005
04/10/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,476.3,476.85,475.6,476.45,183,836,198003,16:00:00,146.35,198005
04/11/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,475.35,475.8,475.25,475.7,64,851,198003,16:00:00,145.6,198005
04/12/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,475.6,475.6,475.1,475.3,56,863,198003,16:00:00,145.2,198005
04/16/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,474.55,475.6,474.05,475.25,79,887,198003,16:00:00,145.15,198005
04/17/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,474.15,475.6,474.15,475.45,50,915,198003,16:00:00,145.35,198005
04/18/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,475.1,475.8,474.7,475.75,232,915,198003,16:00:00,145.65,198005
04/19/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,476.35,477.1,476.1,476.75,232,928,198003,16:00:00,146.65,198005
04/20/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,476.85,478.75,475.6,478.75,280,977,198003,16:00:00,148.65,198005
04/23/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,477.6,477.85,476.35,477.4,178,959,198003,16:00:00,147.3,198005
04/24/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,477.85,478.1,477.1,478.05,234,972,198003,16:00:00,147.95,198005
04/25/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,477.15,478.55,477.15,478.5,110,972,198003,16:00:00,148.4,198005
04/26/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,478.6,481.0,478.1,480.7,286,967,198003,16:00:00,150.6,198005
04/27/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,480.1,484.7,480.1,484.7,275,953,198003,16:00:00,154.6,198005
04/30/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,483.6,484.2,483.1,483.65,179,956,198003,16:00:00,153.55,198005
05/01/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,482.35,482.8,481.1,482.6,146,966,198003,16:00:00,152.5,198005
05/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,481.6,482.05,481.35,481.6,127,951,198003,16:00:00,151.5,198005
05/03/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,482.1,483.6,482.1,483.45,100,951,198003,16:00:00,153.35,198005
05/04/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,483.85,485.85,483.85,485.65,201,954,198003,16:00:00,155.55,198005
05/07/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,485.6,485.85,485.05,485.05,31,950,198003,16:00:00,154.95,198005
05/08/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,484.5,484.85,484.1,484.6,57,970,198003,16:00:00,154.5,198005
05/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,483.1,484.6,482.7,484.6,153,896,198003,16:00:00,154.5,198005
05/10/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,484.6,485.4,484.1,484.1,88,850,198003,16:00:00,154.0,198005
05/11/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,483.6,484.55,483.1,483.85,77,864,198003,16:00:00,153.75,198005
05/14/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,484.1,484.1,483.55,483.55,44,835,198003,16:00:00,153.45,198005
05/15/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,482.6,483.2,482.35,482.35,20,846,198003,16:00:00,152.25,198005
05/16/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,480.85,482.1,480.85,481.9,77,857,198003,16:00:00,151.8,198005
05/17/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,480.85,480.85,477.9,477.9,78,849,198003,16:00:00,147.8,198005
05/18/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,474.1,480.6,474.1,480.3,188,846,198003,16:00:00,150.2,198005
05/21/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,478.1,481.1,478.1,481.1,121,854,198003,16:00:00,151.0,198005
05/22/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,480.1,480.1,479.35,480.0,41,866,198003,16:00:00,149.9,198005
05/23/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,479.5,480.1,479.1,479.35,114,890,198003,16:00:00,149.25,198005
05/24/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,477.1,479.1,477.1,479.05,52,912,198003,16:00:00,148.95,198005
05/25/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,479.1,480.1,479.1,479.85,42,911,198003,16:00:00,149.75,198005
05/29/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,477.85,477.85,477.85,477.85,42,908,198003,16:00:00,147.75,198005
05/30/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,475.6,479.1,475.6,479.05,64,920,198003,16:00:00,148.95,198005
05/31/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,481.7,483.05,481.7,483.0,207,939,198003,16:00:00,152.9,198005
06/01/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,487.0,487.0,487.0,487.0,104,920,198003,16:00:00,156.9,198005
06/04/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,491.0,491.0,491.0,491.0,45,923,198003,16:00:00,160.9,198005
06/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,497.0,497.0,497.0,497.0,23,932,198003,16:00:00,166.9,198005
06/06/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,503.0,503.0,503.0,503.0,18,1006,198003,16:00:00,172.9,198005
06/07/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,509.0,509.0,509.0,509.0,419,1001,198003,16:00:00,178.9,198005
06/08/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,511.1,515.0,511.1,515.0,427,1030,198003,16:00:00,184.9,198005
06/11/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,514.6,517.1,514.6,515.5,305,1109,198003,16:00:00,185.4,198005
06/12/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,513.1,517.1,512.1,516.45,542,941,198003,16:00:00,186.35,198005
06/13/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,518.1,520.45,518.1,520.45,376,995,198003,16:00:00,190.35,198005
06/14/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,524.45,524.45,524.45,524.45,304,970,198003,16:00:00,194.35,198005
06/15/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,527.6,528.1,523.35,523.35,255,1002,198003,16:00:00,193.25,198005
06/18/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,520.1,521.8,519.4,521.1,348,1044,198003,16:00:00,191.0,198005
06/19/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,524.1,525.1,523.85,525.1,465,1041,198003,16:00:00,195.0,198005
06/20/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,526.6,529.1,526.35,528.5,289,1182,198003,16:00:00,198.4,198005
06/21/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,532.1,532.5,531.35,532.5,272,1295,198003,16:00:00,202.4,198005
06/22/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,531.1,532.4,529.6,531.0,347,1450,198003,16:00:00,200.9,198005
06/25/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,531.6,535.0,531.6,535.0,397,1538,198003,16:00:00,204.9,198005
06/26/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,535.6,537.1,534.1,535.65,440,1538,198003,16:00:00,205.55,198005
06/27/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,534.85,539.1,534.85,539.0,368,1613,198003,16:00:00,208.9,198005
06/28/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,541.85,543.0,541.85,543.0,638,1632,198003,16:00:00,212.9,198005
06/29/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,546.5,547.0,546.1,547.0,541,1697,198003,16:00:00,216.9,198005
07/02/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,544.6,546.35,543.0,543.0,400,1721,198003,16:00:00,212.9,198005
07/03/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,539.0,544.2,539.0,543.2,639,1820,198003,16:00:00,213.1,198005
07/05/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,543.85,547.15,541.6,544.4,1468,2109,198003,16:00:00,214.3,198005
07/06/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,544.0,546.1,540.4,540.4,960,2114,198003,16:00:00,210.3,198005
07/09/1979,&KC_CCB,Coffee C Continuous Contract Backadjusted,536.4,537.6,536.4,536.85,350,2056,198003,16:00:00,206.75,198005
