Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/23/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1420.25,1421.25,1420.25,1420.25,7,10,198003,16:00:00,333.0,198005
04/24/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1426.25,1426.25,1426.25,1426.25,0,10,198003,16:00:00,339.0,198005
04/25/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1428.25,1428.25,1428.25,1428.25,0,10,198003,16:00:00,341.0,198005
04/26/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1428.25,1428.25,1428.25,1428.25,0,10,198003,16:00:00,341.0,198005
04/27/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1432.25,1436.25,1432.25,1435.25,0,10,198003,16:00:00,348.0,198005
04/30/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1435.25,1435.25,1435.25,1435.25,0,10,198003,16:00:00,348.0,198005
05/01/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1435.25,1435.25,1435.25,1435.25,0,10,198003,16:00:00,348.0,198005
05/02/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1443.75,1443.75,1443.75,1443.75,0,10,198003,16:00:00,356.5,198005
05/03/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1443.75,1443.75,1443.75,1443.75,0,10,198003,16:00:00,356.5,198005
05/04/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1447.25,1447.25,1447.25,1447.25,0,10,198003,16:00:00,360.0,198005
05/07/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1445.75,1446.75,1445.75,1446.75,1,10,198003,16:00:00,359.5,198005
05/08/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1447.25,1447.25,1444.75,1445.5,15,19,198003,16:00:00,358.25,198005
05/09/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1451.25,1451.25,1451.25,1451.25,0,19,198003,16:00:00,364.0,198005
05/10/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1447.25,1447.25,1447.25,1447.25,0,19,198003,16:00:00,360.0,198005
05/11/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1454.25,1456.25,1454.25,1455.25,4,23,198003,16:00:00,368.0,198005
05/14/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1462.25,1462.25,1462.25,1462.25,0,23,198003,16:00:00,375.0,198005
05/15/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1461.25,1462.25,1460.25,1462.25,7,30,198003,16:00:00,375.0,198005
05/16/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1456.25,1456.25,1456.25,1456.25,0,30,198003,16:00:00,369.0,198005
05/17/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1451.25,1451.25,1451.25,1451.25,1,31,198003,16:00:00,364.0,198005
05/18/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1449.25,1449.25,1446.25,1446.25,5,31,198003,16:00:00,359.0,198005
05/21/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1452.0,1452.0,1450.25,1450.25,4,35,198003,16:00:00,363.0,198005
05/22/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1453.25,1454.25,1452.75,1454.25,93,108,198003,16:00:00,367.0,198005
05/23/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1452.25,1458.5,1451.75,1456.25,61,143,198003,16:00:00,369.0,198005
05/24/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1456.25,1456.25,1452.75,1452.75,46,129,198003,16:00:00,365.5,198005
05/25/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1453.75,1453.75,1449.25,1450.25,99,133,198003,16:00:00,363.0,198005
05/29/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1451.25,1455.75,1451.25,1455.75,7,128,198003,16:00:00,368.5,198005
05/30/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1457.75,1464.25,1451.75,1457.75,12,140,198003,16:00:00,370.5,198005
05/31/1979,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,1461.75,1461.75,1461.75,1461.75,5,143,198003,16:00:00,374.5,198005
