Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
12/12/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.3,79.3,76.2,76.4,4817,4433,200103,16:00:00,67.7,200106
12/13/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,76.4,79.1,75.75,78.8,9987,9871,200103,16:00:00,70.1,200106
12/14/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.3,77.75,76.05,77.0,21854,18732,200103,16:00:00,68.3,200106
12/15/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.7,76.5,74.5,74.7,106782,25852,200103,16:00:00,66.0,200106
12/18/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,74.7,76.35,74.5,76.05,105073,29664,200103,16:00:00,67.35,200106
12/19/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.0,75.7,74.35,74.65,99825,29832,200103,16:00:00,65.95,200106
12/20/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.75,73.7,72.15,72.75,107984,31775,200103,16:00:00,64.05,200106
12/21/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,70.55,72.95,69.85,72.95,112462,35149,200103,16:00:00,64.25,200106
12/22/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.95,73.25,70.25,70.7,121779,33315,200103,16:00:00,62.0,200106
12/26/2000,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.2,72.55,71.15,71.35,102768,30052,200103,16:00:00,62.65,200106
01/02/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.75,73.9,71.1,73.6,93942,33487,200103,16:00:00,64.9,200106
01/03/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.2,73.7,71.8,73.65,103243,31826,200103,16:00:00,64.95,200106
01/04/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.8,79.7,77.5,78.35,153569,32044,200103,16:00:00,69.65,200106
01/05/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.9,82.4,77.85,82.3,156294,35499,200103,16:00:00,73.6,200106
01/08/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.9,82.75,80.7,82.25,135802,35364,200103,16:00:00,73.55,200106
01/09/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.2,83.1,80.4,83.0,147889,38523,200103,16:00:00,74.3,200106
01/10/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.7,83.15,79.05,79.4,166682,38889,200103,16:00:00,70.7,200106
01/11/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.4,80.4,78.45,79.6,146637,36254,200103,16:00:00,70.9,200106
01/12/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.3,84.45,81.1,82.4,137975,39411,200103,16:00:00,73.7,200106
01/15/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.45,85.2,82.45,84.5,156140,40129,200103,16:00:00,75.8,200106
01/16/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.8,85.15,82.3,84.45,165604,36965,200103,16:00:00,75.75,200106
01/17/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.45,85.25,82.55,84.35,169580,37829,200103,16:00:00,75.65,200106
01/18/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.75,86.05,83.55,85.15,131100,43677,200103,16:00:00,76.45,200106
01/19/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.75,87.85,86.4,87.7,106479,41648,200103,16:00:00,79.0,200106
01/22/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,87.1,88.6,86.25,88.4,100729,39198,200103,16:00:00,79.7,200106
01/26/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.9,87.7,82.65,82.65,116562,36622,200103,16:00:00,73.95,200106
01/29/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.25,84.1,82.7,83.9,106794,39041,200103,16:00:00,75.2,200106
01/30/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.9,85.5,82.8,83.2,102497,39818,200103,16:00:00,74.5,200106
01/31/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.2,87.0,83.45,86.85,118509,44049,200103,16:00:00,78.15,200106
02/01/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,85.2,87.2,85.1,85.9,104819,40525,200103,16:00:00,77.2,200106
02/02/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,85.7,86.55,84.2,85.5,109846,40011,200103,16:00:00,76.8,200106
02/05/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.6,83.7,80.8,81.2,94044,41558,200103,16:00:00,72.5,200106
02/06/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.2,82.7,80.65,82.2,102335,42374,200103,16:00:00,73.5,200106
02/07/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.1,81.6,80.45,81.1,93473,39638,200103,16:00:00,72.4,200106
02/08/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.55,83.25,81.15,82.7,106381,39123,200103,16:00:00,74.0,200106
02/09/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.35,84.1,81.25,83.2,122075,39243,200103,16:00:00,74.5,200106
02/12/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.6,84.55,81.45,84.0,111394,41375,200103,16:00:00,75.3,200106
02/13/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.0,85.0,83.2,83.7,110434,40552,200103,16:00:00,75.0,200106
02/14/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.0,85.35,82.75,84.5,107142,44118,200103,16:00:00,75.8,200106
02/15/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,85.1,85.75,84.15,84.45,102171,41124,200103,16:00:00,75.75,200106
02/16/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.85,85.6,83.7,83.7,102553,42011,200103,16:00:00,75.0,200106
02/19/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.7,83.55,82.0,83.4,96412,38989,200103,16:00:00,74.7,200106
02/20/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.4,85.3,82.95,85.3,100229,41979,200103,16:00:00,76.6,200106
02/21/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,83.8,84.35,82.9,83.4,98457,40455,200103,16:00:00,74.7,200106
02/22/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.45,82.5,79.9,81.95,137783,43979,200103,16:00:00,73.25,200106
02/23/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.1,82.65,80.85,81.3,98384,44200,200103,16:00:00,72.6,200106
02/26/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.8,82.4,81.2,82.3,75097,44939,200103,16:00:00,73.6,200106
02/27/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.9,83.4,80.35,81.2,102295,45808,200103,16:00:00,72.5,200106
02/28/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.6,81.55,80.1,80.6,88776,46735,200103,16:00:00,71.9,200106
03/02/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.1,79.65,78.05,78.25,106006,47388,200103,16:00:00,69.55,200106
03/05/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,78.25,79.5,77.9,78.9,79727,46884,200103,16:00:00,70.2,200106
03/06/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,78.9,80.8,78.8,79.9,102103,43913,200103,16:00:00,71.2,200106
03/07/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.4,80.85,79.3,79.7,111868,41454,200103,16:00:00,71.0,200106
03/08/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.0,80.6,79.75,80.3,83167,42895,200106,16:00:00,71.9,200109
03/09/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.0,80.2,78.15,78.7,93603,30735,200106,16:00:00,70.3,200109
03/12/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.8,77.8,75.8,75.8,88122,34763,200106,16:00:00,67.4,200109
03/13/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.9,74.65,73.2,74.2,106075,37283,200106,16:00:00,65.8,200109
03/14/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.4,76.4,75.25,75.75,100903,35185,200106,16:00:00,67.35,200109
03/15/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.4,76.05,73.3,76.05,120789,40128,200106,16:00:00,67.65,200109
03/16/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.3,75.95,74.95,75.2,98176,37103,200106,16:00:00,66.8,200109
03/19/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,74.2,75.95,73.85,75.3,122920,40394,200106,16:00:00,66.9,200109
03/20/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.9,76.15,74.55,74.85,90135,41690,200106,16:00:00,66.45,200109
03/21/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.2,75.1,73.05,75.1,123307,45186,200106,16:00:00,66.7,200109
03/22/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,74.25,74.75,73.5,74.15,97033,42982,200106,16:00:00,65.75,200109
03/23/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.3,76.0,74.8,75.7,98774,43536,200106,16:00:00,67.3,200109
03/26/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.7,77.05,75.7,76.2,84310,41857,200106,16:00:00,67.8,200109
03/27/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.9,76.3,74.55,74.65,121328,40661,200106,16:00:00,66.25,200109
03/28/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,75.55,75.85,74.25,74.45,103984,42706,200106,16:00:00,66.05,200109
03/29/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.6,74.9,73.2,73.7,129604,42629,200106,16:00:00,65.3,200109
03/30/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.7,74.5,72.85,73.65,133322,41773,200106,16:00:00,65.25,200109
04/02/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.55,73.65,72.2,72.7,98680,46000,200106,16:00:00,64.3,200109
04/03/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.8,71.9,70.6,71.2,124806,48152,200106,16:00:00,62.8,200109
04/04/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.15,71.15,69.95,70.35,127382,49844,200106,16:00:00,61.95,200109
04/06/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.0,73.0,71.3,71.3,98121,44066,200106,16:00:00,62.9,200109
04/09/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.2,71.5,70.25,70.4,90472,44395,200106,16:00:00,62.0,200109
04/10/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,70.95,71.0,69.2,69.2,112163,47383,200106,16:00:00,60.8,200109
04/11/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,70.9,71.8,70.6,71.15,131059,44936,200106,16:00:00,62.75,200109
04/12/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.95,73.15,71.95,72.6,126121,42084,200106,16:00:00,64.2,200109
04/13/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.9,73.1,71.85,72.55,101847,42803,200106,16:00:00,64.15,200109
04/16/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,72.55,72.75,71.45,71.65,100049,41304,200106,16:00:00,63.25,200109
04/17/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,71.45,72.45,71.2,71.9,124906,42725,200106,16:00:00,63.5,200109
04/18/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,73.1,76.15,72.95,76.15,132652,44809,200106,16:00:00,67.75,200109
04/19/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,78.4,81.25,78.15,79.05,206912,41541,200106,16:00:00,70.65,200109
04/20/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.25,80.25,78.1,78.65,139561,44233,200106,16:00:00,70.25,200109
04/23/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,78.65,79.75,78.4,79.0,137557,46057,200106,16:00:00,70.6,200109
04/24/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.9,78.35,77.05,78.1,104490,44931,200106,16:00:00,69.7,200109
04/25/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,77.55,79.8,77.45,79.7,135000,48585,200106,16:00:00,71.3,200109
04/26/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.9,80.15,78.7,79.1,101000,46747,200106,16:00:00,70.7,200109
04/27/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.1,79.4,77.8,78.05,85509,47531,200106,16:00:00,69.65,200109
04/30/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,79.7,81.2,79.35,80.8,107175,44389,200106,16:00:00,72.4,200109
05/02/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.5,82.2,81.2,81.6,109107,43431,200106,16:00:00,73.2,200109
05/03/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.5,82.3,80.7,82.3,104979,44146,200106,16:00:00,73.9,200109
05/04/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.05,82.15,80.8,81.95,104718,43636,200106,16:00:00,73.55,200109
05/07/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.2,83.8,81.7,83.0,125629,45998,200106,16:00:00,74.6,200109
05/08/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.45,83.45,82.4,82.45,108638,47851,200106,16:00:00,74.05,200109
05/09/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.8,82.15,80.4,80.4,99130,48385,200106,16:00:00,72.0,200109
05/10/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.95,81.75,80.45,81.2,90764,45343,200106,16:00:00,72.8,200109
05/11/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.9,81.75,80.55,81.75,81374,43547,200106,16:00:00,73.35,200109
05/14/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.1,82.2,80.85,81.35,77700,44284,200106,16:00:00,72.95,200109
05/15/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.35,81.55,80.75,80.75,69676,47026,200106,16:00:00,72.35,200109
05/16/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,80.6,81.75,79.35,79.4,117237,46238,200106,16:00:00,71.0,200109
05/17/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,81.5,83.4,81.5,83.4,112653,44361,200106,16:00:00,75.0,200109
05/18/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,82.7,83.7,82.4,83.55,110394,42124,200106,16:00:00,75.15,200109
05/21/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,84.3,86.3,84.25,86.0,110584,46530,200106,16:00:00,77.6,200109
05/22/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,87.3,87.5,85.7,86.1,147658,48264,200106,16:00:00,77.7,200109
05/23/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.1,86.8,85.7,86.4,113042,49563,200106,16:00:00,78.0,200109
05/24/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,85.25,86.6,85.0,86.5,84497,54044,200106,16:00:00,78.1,200109
05/25/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.65,87.55,86.1,86.7,151193,54329,200106,16:00:00,78.3,200109
05/28/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.2,86.2,85.45,85.55,74378,55370,200106,16:00:00,77.15,200109
05/29/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,85.2,87.5,85.15,87.4,113935,60186,200106,16:00:00,79.0,200109
05/30/2001,&KOS_CCB,KOSPI 200 Continuous Contract Backadjusted,86.4,87.15,85.6,86.7,115087,58774,200106,16:00:00,78.3,200109
