Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/21/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,125.0,126.0,125.0,125.8,21,20,198001,16:00:00,196.8,198003
03/22/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,126.4,126.5,126.0,126.0,31,40,198001,16:00:00,197.0,198003
03/23/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,126.0,127.5,125.5,127.3,15,50,198001,16:00:00,198.3,198003
03/26/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,129.0,130.0,129.0,130.0,13,60,198001,16:00:00,201.0,198003
03/27/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,130.0,130.0,125.9,126.1,55,67,198001,16:00:00,197.1,198003
03/28/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,126.0,127.2,125.5,127.0,46,68,198001,16:00:00,198.0,198003
03/29/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,128.0,128.7,127.4,127.4,28,86,198001,16:00:00,198.4,198003
03/30/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,127.5,130.5,127.0,127.2,40,93,198001,16:00:00,198.2,198003
04/02/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,128.6,129.1,128.3,128.7,26,101,198001,16:00:00,199.7,198003
04/03/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,128.5,128.5,127.8,127.8,12,100,198001,16:00:00,198.8,198003
04/04/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,127.7,129.0,127.7,129.0,13,101,198001,16:00:00,200.0,198003
04/05/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,130.0,130.0,130.0,130.0,1,101,198001,16:00:00,201.0,198003
04/06/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,129.0,129.0,128.5,129.0,2,103,198001,16:00:00,200.0,198003
04/09/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,129.4,129.4,127.5,127.5,7,104,198001,16:00:00,198.5,198003
04/10/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,128.0,128.0,128.0,128.0,2,104,198001,16:00:00,199.0,198003
04/11/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,129.0,129.0,128.1,128.1,3,105,198001,16:00:00,199.1,198003
04/12/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,130.4,130.5,129.5,130.4,1,106,198001,16:00:00,201.4,198003
04/16/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,130.7,130.7,130.0,130.3,43,117,198001,16:00:00,201.3,198003
04/17/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,130.3,131.2,130.3,131.0,7,123,198001,16:00:00,202.0,198003
04/18/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,131.5,134.0,131.5,133.5,33,128,198001,16:00:00,204.5,198003
04/19/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,133.5,134.2,133.5,134.0,76,142,198001,16:00:00,205.0,198003
04/20/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,134.0,135.7,134.0,135.7,26,152,198001,16:00:00,206.7,198003
04/23/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,135.0,135.0,134.2,134.2,44,187,198001,16:00:00,205.2,198003
04/24/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,133.0,134.2,133.0,134.2,27,195,198001,16:00:00,205.2,198003
04/25/1979,&LBS_CCB,Random Length Lumber Continuous Contract Backadjusted,135.0,135.0,133.2,133.2,55,209,198001,16:00:00,204.2,198003
