Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/01/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3772,3777,3756,3764,0,0,198303,16:00:00,1343,198305
10/02/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3766,3771,3759,3765,0,0,198303,16:00:00,1344,198305
10/05/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3764,3771,3741,3751,0,0,198303,16:00:00,1330,198305
10/06/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3744,3746,3723,3725,0,0,198303,16:00:00,1304,198305
10/07/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3711,3721,3653,3659,146,146,198303,16:00:00,1238,198305
10/08/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3611,3646,3611,3646,12,146,198303,16:00:00,1225,198305
10/09/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3674,3681,3646,3654,35,199,198303,16:00:00,1233,198305
10/12/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3646,3691,3631,3680,0,199,198303,16:00:00,1259,198305
10/13/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3692,3701,3681,3691,0,199,198303,16:00:00,1270,198305
10/14/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3710,3716,3688,3691,0,199,198303,16:00:00,1270,198305
10/15/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3689,3696,3673,3680,0,199,198303,16:00:00,1259,198305
10/16/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3681,3702,3681,3697,21,209,198303,16:00:00,1276,198305
10/19/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3703,3711,3701,3706,0,209,198303,16:00:00,1285,198305
10/20/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3704,3707,3601,3614,0,209,198303,16:00:00,1193,198305
10/21/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3596,3621,3587,3604,0,209,198303,16:00:00,1183,198305
10/22/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3600,3641,3600,3641,260,239,198303,16:00:00,1220,198305
10/23/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3641,3646,3622,3622,1,239,198303,16:00:00,1201,198305
10/26/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3620,3631,3606,3616,0,239,198303,16:00:00,1195,198305
10/27/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3619,3626,3606,3614,0,239,198303,16:00:00,1193,198305
10/28/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3604,3611,3596,3606,7,239,198303,16:00:00,1185,198305
10/29/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3609,3624,3602,3618,0,239,198303,16:00:00,1197,198305
10/30/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3619,3621,3601,3605,1,240,198303,16:00:00,1184,198305
11/02/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3615,3641,3611,3634,0,240,198303,16:00:00,1213,198305
11/03/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3641,3645,3632,3636,0,240,198303,16:00:00,1215,198305
11/04/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3620,3626,3611,3619,0,240,198303,16:00:00,1198,198305
11/05/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3619,3626,3601,3611,24,263,198303,16:00:00,1190,198305
11/06/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3601,3621,3596,3611,0,263,198303,16:00:00,1190,198305
11/09/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3623,3631,3611,3621,0,263,198303,16:00:00,1200,198305
11/10/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3611,3616,3596,3596,20,265,198303,16:00:00,1175,198305
11/11/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3586,3604,3584,3604,9,268,198303,16:00:00,1183,198305
11/12/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3604,3611,3591,3597,1,268,198303,16:00:00,1176,198305
11/13/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3623,3623,3623,3623,0,268,198303,16:00:00,1202,198305
11/16/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3626,3636,3606,3619,0,268,198303,16:00:00,1198,198305
11/17/1981,&LCC_CCB,London Cocoa Continuous Contract Backadjusted,3614,3626,3601,3609,20,268,198303,16:00:00,1188,198305
