Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/04/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.96,91.96,91.96,91.96,50,932,199903,16:00:00,96.875,199906
01/05/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.96,91.965,91.96,91.965,554,902,199903,16:00:00,96.88,199906
01/06/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.975,91.975,91.975,91.975,0,902,199903,16:00:00,96.89,199906
01/07/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.995,91.995,91.995,91.995,0,902,199903,16:00:00,96.91,199906
01/08/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.995,91.995,91.995,91.995,0,902,199903,16:00:00,96.91,199906
01/11/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.99,91.99,91.985,91.985,484,1200,199903,16:00:00,96.9,199906
01/12/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.98,91.995,91.98,91.995,9389,9121,199903,16:00:00,96.91,199906
01/13/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.005,92.045,92.005,92.03,12541,17228,199903,16:00:00,96.945,199906
01/14/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.03,92.045,92.03,92.045,2421,18807,199903,16:00:00,96.96,199906
01/15/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.065,92.07,92.065,92.07,4500,22221,199903,16:00:00,96.985,199906
01/18/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.07,92.105,92.07,92.105,38792,49619,199903,16:00:00,97.02,199906
01/19/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.11,92.125,92.11,92.125,235526,248393,199903,16:00:00,97.04,199906
01/20/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.125,92.125,92.095,92.1,51490,260576,199903,16:00:00,97.015,199906
01/21/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.1,92.125,92.1,92.105,48034,277187,199903,16:00:00,97.02,199906
01/22/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.12,92.135,92.115,92.12,52075,288943,199903,16:00:00,97.035,199906
01/25/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.13,92.14,92.115,92.12,68895,309194,199903,16:00:00,97.035,199906
01/26/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.115,92.115,92.09,92.095,110778,335273,199903,16:00:00,97.01,199906
01/27/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.075,92.1,92.075,92.095,122655,367322,199903,16:00:00,97.01,199906
01/28/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.1,92.11,92.095,92.105,95378,389458,199903,16:00:00,97.02,199906
01/29/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.105,92.115,92.1,92.115,63070,403553,199903,16:00:00,97.03,199906
02/01/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.11,92.11,92.06,92.065,109586,411572,199903,16:00:00,96.98,199906
02/02/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.05,92.075,92.05,92.05,129063,438880,199903,16:00:00,96.965,199906
02/03/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.055,92.065,92.035,92.055,133108,457271,199903,16:00:00,96.97,199906
02/04/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.045,92.065,92.025,92.065,225265,494064,199903,16:00:00,96.98,199906
02/05/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.05,92.055,92.025,92.045,117481,498246,199903,16:00:00,96.96,199906
02/08/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.035,92.035,92.015,92.025,115617,504880,199903,16:00:00,96.94,199906
02/09/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.02,92.03,92.015,92.025,124682,525639,199903,16:00:00,96.94,199906
02/10/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.03,92.03,92.01,92.025,94160,542432,199903,16:00:00,96.94,199906
02/11/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.02,92.035,92.01,92.03,90950,547816,199903,16:00:00,96.945,199906
02/12/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.025,92.045,92.01,92.035,130939,578749,199903,16:00:00,96.95,199906
02/15/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.035,92.04,92.03,92.035,74503,591082,199903,16:00:00,96.95,199906
02/16/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.04,92.055,92.035,92.055,108572,595804,199903,16:00:00,96.97,199906
02/17/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.06,92.07,92.045,92.07,290476,673179,199903,16:00:00,96.985,199906
02/18/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.07,92.08,92.06,92.065,111613,682081,199903,16:00:00,96.98,199906
02/19/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.045,92.07,92.045,92.07,94773,709259,199903,16:00:00,96.985,199906
02/22/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.07,92.07,92.055,92.065,90647,710877,199903,16:00:00,96.98,199906
02/23/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.06,92.065,92.05,92.05,125843,719091,199903,16:00:00,96.965,199906
02/24/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.045,92.05,92.04,92.04,103870,729444,199903,16:00:00,96.955,199906
02/25/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.035,92.05,92.03,92.03,187665,746071,199903,16:00:00,96.945,199906
02/26/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.025,92.03,92.02,92.025,223509,755213,199903,16:00:00,96.94,199906
03/01/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.045,92.045,91.985,91.99,221430,773779,199903,16:00:00,96.905,199906
03/02/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.985,91.99,91.965,91.975,218229,761192,199903,16:00:00,96.89,199906
03/03/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.99,92.0,91.975,91.98,183640,764051,199903,16:00:00,96.895,199906
03/04/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.975,92.005,91.975,92.0,272628,789552,199903,16:00:00,96.915,199906
03/05/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.995,92.005,91.985,92.0,284089,801839,199903,16:00:00,96.915,199906
03/08/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,91.995,92.02,91.995,92.005,108652,794920,199903,16:00:00,96.92,199906
03/09/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.005,92.015,92.005,92.005,165255,800216,199903,16:00:00,96.92,199906
03/10/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.015,92.015,92.01,92.015,118106,807012,199903,16:00:00,96.93,199906
03/11/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.015,92.035,92.01,92.03,195858,834692,199903,16:00:00,96.945,199906
03/12/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.055,92.055,92.035,92.04,208180,827546,199903,16:00:00,96.955,199906
03/15/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.04,92.055,92.04,92.055,91748,834487,199906,16:00:00,97.095,199909
03/16/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.04,92.06,92.035,92.06,113195,717377,199906,16:00:00,97.1,199909
03/17/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.06,92.085,92.06,92.07,102717,729855,199906,16:00:00,97.11,199909
03/18/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.07,92.115,92.07,92.11,188670,772774,199906,16:00:00,97.15,199909
03/19/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.1,92.1,92.075,92.085,106261,780690,199906,16:00:00,97.125,199909
03/22/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.075,92.075,92.055,92.065,70980,787015,199906,16:00:00,97.105,199909
03/23/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.065,92.065,92.05,92.065,116502,792138,199906,16:00:00,97.105,199909
03/24/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.08,92.105,92.065,92.1,149843,803208,199906,16:00:00,97.14,199909
03/25/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.105,92.135,92.105,92.12,173925,827932,199906,16:00:00,97.16,199909
03/26/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.105,92.115,92.09,92.095,117952,840533,199906,16:00:00,97.135,199909
03/29/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.09,92.125,92.09,92.115,97139,857002,199906,16:00:00,97.155,199909
03/30/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.105,92.14,92.105,92.135,146085,870012,199906,16:00:00,97.175,199909
03/31/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.135,92.15,92.13,92.14,136357,872015,199906,16:00:00,97.18,199909
04/01/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.14,92.175,92.14,92.155,163749,882997,199906,16:00:00,97.195,199909
04/06/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.17,92.19,92.165,92.17,146482,896956,199906,16:00:00,97.21,199909
04/07/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.17,92.18,92.15,92.16,161666,926258,199906,16:00:00,97.2,199909
04/08/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.165,92.18,92.155,92.17,268241,960273,199906,16:00:00,97.21,199909
04/09/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.35,92.35,92.32,92.325,323086,953292,199906,16:00:00,97.365,199909
04/12/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.34,92.34,92.33,92.33,94710,952633,199906,16:00:00,97.37,199909
04/13/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.33,92.345,92.325,92.34,148956,940270,199906,16:00:00,97.38,199909
04/14/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.345,92.355,92.335,92.35,104915,949078,199906,16:00:00,97.39,199909
04/15/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.35,92.355,92.345,92.345,124207,962987,199906,16:00:00,97.385,199909
04/16/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.345,92.35,92.335,92.345,113288,963804,199906,16:00:00,97.385,199909
04/19/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.34,92.355,92.34,92.35,104579,981103,199906,16:00:00,97.39,199909
04/20/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.35,92.365,92.35,92.365,121804,944108,199906,16:00:00,97.405,199909
04/21/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.375,92.365,92.365,135102,943979,199906,16:00:00,97.405,199909
04/22/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.375,92.36,92.365,83371,949076,199906,16:00:00,97.405,199909
04/23/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.37,92.36,92.365,66460,954004,199906,16:00:00,97.405,199909
04/26/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.365,92.355,92.365,61387,953646,199906,16:00:00,97.405,199909
04/27/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.37,92.37,92.36,92.365,76793,954408,199906,16:00:00,97.405,199909
04/28/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.37,92.37,92.355,92.36,100917,969005,199906,16:00:00,97.4,199909
04/29/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.355,92.365,92.355,92.365,81168,971494,199906,16:00:00,97.405,199909
04/30/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.37,92.365,92.365,65257,977576,199906,16:00:00,97.405,199909
05/03/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.36,92.365,92.355,92.36,18540,981582,199906,16:00:00,97.4,199909
05/04/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.36,92.365,92.355,92.36,95264,992877,199906,16:00:00,97.4,199909
05/05/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.355,92.36,92.355,92.355,80187,992514,199906,16:00:00,97.395,199909
05/06/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.36,92.365,92.355,92.36,109129,999965,199906,16:00:00,97.4,199909
05/07/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.36,92.365,92.355,92.365,86628,998215,199906,16:00:00,97.405,199909
05/10/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.365,92.36,92.365,53726,993923,199906,16:00:00,97.405,199909
05/11/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.38,92.36,92.375,168857,1016404,199906,16:00:00,97.415,199909
05/12/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.37,92.39,92.37,92.39,121173,1031533,199906,16:00:00,97.43,199909
05/13/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.395,92.41,92.38,92.405,83857,1039327,199906,16:00:00,97.445,199909
05/14/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.405,92.41,92.37,92.37,185765,1050361,199906,16:00:00,97.41,199909
05/17/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.37,92.385,92.37,92.385,97335,1054379,199906,16:00:00,97.425,199909
05/18/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.385,92.385,92.375,92.385,80268,1045492,199906,16:00:00,97.425,199909
05/19/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.375,92.38,92.365,92.37,204276,1048324,199906,16:00:00,97.41,199909
05/20/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.37,92.375,92.365,92.37,170610,1061341,199906,16:00:00,97.41,199909
05/21/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.365,92.385,92.365,92.375,91365,1072673,199906,16:00:00,97.415,199909
05/24/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.38,92.39,92.38,92.385,39000,1075878,199906,16:00:00,97.425,199909
05/25/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.385,92.39,92.38,92.385,94088,1075347,199906,16:00:00,97.425,199909
05/26/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.385,92.39,92.38,92.385,92825,1077268,199906,16:00:00,97.425,199909
05/27/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.38,92.385,92.37,92.38,123634,1088965,199906,16:00:00,97.42,199909
05/28/1999,&LEU_CCB,Euribor Continuous Contract Backadjusted,92.375,92.375,92.355,92.37,193746,1075344,199906,16:00:00,97.41,199909
