Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/23/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,66.85,66.85,66.85,66.85,2,2,198002,16:00:00,60.05,198004
10/24/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,66.8,66.8,66.8,66.8,4,6,198002,16:00:00,60.0,198004
10/25/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,66.6,66.6,66.5,66.55,1,6,198002,16:00:00,59.75,198004
10/26/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,66.5,66.7,66.5,66.7,20,19,198002,16:00:00,59.9,198004
10/27/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,66.9,68.2,66.9,68.2,5,19,198002,16:00:00,61.4,198004
10/30/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.4,68.4,68.4,68.4,0,19,198002,16:00:00,61.6,198004
10/31/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.45,68.45,68.15,68.35,21,30,198002,16:00:00,61.55,198004
11/01/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.8,67.8,67.4,67.4,37,50,198002,16:00:00,60.6,198004
11/02/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.6,68.1,67.6,68.1,2,50,198002,16:00:00,61.3,198004
11/03/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.85,67.85,67.85,67.85,15,63,198002,16:00:00,61.05,198004
11/06/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.3,67.55,67.3,67.55,65,67,198002,16:00:00,60.75,198004
11/08/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.0,67.35,67.0,67.3,29,88,198002,16:00:00,60.5,198004
11/09/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.3,67.55,67.1,67.3,104,192,198002,16:00:00,60.5,198004
11/10/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.55,67.55,67.55,67.55,0,192,198002,16:00:00,60.75,198004
11/13/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.7,67.75,67.575,67.725,100,256,198002,16:00:00,60.925,198004
11/14/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,67.7,68.3,67.7,68.225,254,466,198002,16:00:00,61.425,198004
11/15/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.9,69.725,68.9,69.15,41,482,198002,16:00:00,62.35,198004
11/16/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.8,68.85,68.7,68.8,20,487,198002,16:00:00,62.0,198004
11/17/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.3,69.8,69.05,69.05,8,490,198002,16:00:00,62.25,198004
11/20/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.1,69.35,68.925,69.35,354,532,198002,16:00:00,62.55,198004
11/21/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.275,69.5,69.025,69.5,14,540,198002,16:00:00,62.7,198004
11/22/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.6,69.825,69.6,69.675,36,566,198002,16:00:00,62.875,198004
11/27/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.675,69.7,69.5,69.6,81,597,198002,16:00:00,62.8,198004
11/28/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.6,69.9,69.15,69.7,49,632,198002,16:00:00,62.9,198004
11/29/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.2,69.5,69.2,69.5,17,638,198002,16:00:00,62.7,198004
11/30/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.4,69.55,69.3,69.4,12,628,198002,16:00:00,62.6,198004
12/01/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.0,70.05,70.0,70.05,1,627,198002,16:00:00,63.25,198004
12/04/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.35,70.8,70.3,70.3,81,641,198002,16:00:00,63.5,198004
12/05/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.125,70.75,70.1,70.3,29,656,198002,16:00:00,63.5,198004
12/06/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.3,70.9,70.25,70.35,23,663,198002,16:00:00,63.55,198004
12/07/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.25,70.85,70.2,70.7,23,664,198002,16:00:00,63.9,198004
12/08/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,71.0,71.0,70.6,70.6,28,678,198002,16:00:00,63.8,198004
12/11/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.55,70.6,70.0,70.0,25,695,198002,16:00:00,63.2,198004
12/12/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.5,70.8,70.5,70.75,8,700,198002,16:00:00,63.95,198004
12/13/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.9,71.0,70.3,70.3,28,721,198002,16:00:00,63.5,198004
12/14/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.75,70.8,70.4,70.4,14,723,198002,16:00:00,63.6,198004
12/15/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.8,70.9,70.575,70.575,24,726,198002,16:00:00,63.775,198004
12/18/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.8,71.2,70.8,70.925,100,741,198002,16:00:00,64.125,198004
12/19/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.75,70.75,70.15,70.15,55,782,198002,16:00:00,63.35,198004
12/20/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.1,70.15,70.075,70.075,18,789,198002,16:00:00,63.275,198004
12/21/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.825,69.825,69.7,69.8,20,798,198002,16:00:00,63.0,198004
12/22/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.4,69.4,68.575,68.65,109,759,198002,16:00:00,61.85,198004
12/26/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.95,68.95,68.35,68.35,55,768,198002,16:00:00,61.55,198004
12/27/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,68.7,68.9,68.55,68.8,30,776,198002,16:00:00,62.0,198004
12/28/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.3,69.35,69.3,69.35,25,779,198002,16:00:00,62.55,198004
12/29/1978,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.35,69.9,69.35,69.8,212,788,198002,16:00:00,63.0,198004
01/02/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,69.8,69.8,69.8,69.8,14,797,198002,16:00:00,63.0,198004
01/03/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.3,70.775,70.3,70.75,30,812,198002,16:00:00,63.95,198004
01/04/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.775,70.9,70.65,70.75,31,841,198002,16:00:00,63.95,198004
01/05/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.8,71.35,70.8,71.25,76,882,198002,16:00:00,64.45,198004
01/08/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,71.25,71.6,70.4,70.4,46,897,198002,16:00:00,63.6,198004
01/09/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,71.1,71.4,70.75,71.35,29,915,198002,16:00:00,64.55,198004
01/10/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.9,70.95,70.55,70.65,36,928,198002,16:00:00,63.85,198004
01/11/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,71.0,71.0,70.05,70.05,52,976,198002,16:00:00,63.25,198004
01/12/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.25,70.75,70.175,70.7,14,979,198002,16:00:00,63.9,198004
01/15/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,70.9,71.325,70.8,70.8,68,989,198002,16:00:00,64.0,198004
01/16/1979,&LE_CCB,Live Cattle Continuous Contract Backadjusted,71.375,71.6,71.3,71.6,66,988,198002,16:00:00,64.8,198004
