Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/11/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2064.0,2116.0,2049.0,2113.0,19200,58497,199412,16:00:00,3102.0,199503
10/12/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2112.0,2138.0,2106.0,2125.0,15006,58414,199412,16:00:00,3114.0,199503
10/13/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2118.0,2190.0,2118.0,2179.0,18497,60649,199412,16:00:00,3168.0,199503
10/14/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2157.0,2168.0,2124.0,2133.0,14542,60063,199412,16:00:00,3122.0,199503
10/17/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2136.0,2174.0,2126.0,2151.0,12511,60080,199412,16:00:00,3140.0,199503
10/18/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2148.0,2148.0,2101.0,2111.0,14297,58868,199412,16:00:00,3100.0,199503
10/19/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2110.0,2125.0,2076.0,2081.0,13705,58079,199412,16:00:00,3070.0,199503
10/20/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2092.0,2118.0,2081.0,2084.0,11378,57927,199412,16:00:00,3073.0,199503
10/21/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2066.0,2072.0,2029.0,2053.0,14093,57512,199412,16:00:00,3042.0,199503
10/24/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2061.0,2076.0,2041.0,2041.0,6311,56463,199412,16:00:00,3030.0,199503
10/25/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2015.0,2024.0,1992.0,2020.0,20028,58275,199412,16:00:00,3009.0,199503
10/26/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2031.0,2051.0,2003.0,2004.0,12213,57650,199412,16:00:00,2993.0,199503
10/27/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2017.0,2058.0,2016.0,2053.0,12985,57904,199412,16:00:00,3042.0,199503
10/28/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2066.0,2112.0,2034.0,2112.0,18776,57530,199412,16:00:00,3101.0,199503
10/31/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2115.0,2141.0,2098.0,2120.0,12639,56875,199412,16:00:00,3109.0,199503
11/01/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2100.0,2132.0,2096.0,2130.0,12014,57657,199412,16:00:00,3119.0,199503
11/02/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2115.0,2129.0,2082.0,2108.0,13594,57268,199412,16:00:00,3097.0,199503
11/03/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2101.0,2139.0,2087.0,2130.0,12467,57913,199412,16:00:00,3119.0,199503
11/04/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2119.0,2138.0,2107.0,2126.0,12850,57669,199412,16:00:00,3115.0,199503
11/07/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2101.0,2103.0,2071.0,2072.0,9251,58767,199412,16:00:00,3061.0,199503
11/08/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2080.0,2085.0,2059.0,2082.0,13401,57115,199412,16:00:00,3071.0,199503
11/09/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2105.0,2146.0,2099.0,2127.0,17137,59620,199412,16:00:00,3116.0,199503
11/10/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2108.0,2131.0,2093.0,2118.0,14021,58636,199412,16:00:00,3107.0,199503
11/11/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2103.0,2106.0,2082.0,2089.0,8979,58267,199412,16:00:00,3078.0,199503
11/14/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2089.0,2111.0,2076.0,2110.0,9696,59430,199412,16:00:00,3099.0,199503
11/15/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2131.0,2169.0,2124.0,2162.0,20959,59381,199412,16:00:00,3151.0,199503
11/16/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2141.0,2195.0,2141.0,2162.0,19080,60097,199412,16:00:00,3151.0,199503
11/17/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2163.0,2176.0,2136.0,2146.0,11346,59715,199412,16:00:00,3135.0,199503
11/18/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2139.0,2160.0,2139.0,2151.0,12494,59972,199412,16:00:00,3140.0,199503
11/21/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2151.0,2151.0,2131.0,2139.0,8350,60265,199412,16:00:00,3128.0,199503
11/22/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2114.0,2117.0,2088.0,2090.0,14478,65100,199412,16:00:00,3079.0,199503
11/23/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2059.0,2059.0,2016.0,2035.0,21643,60967,199412,16:00:00,3024.0,199503
11/24/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2046.0,2067.0,2042.0,2045.0,8957,60097,199412,16:00:00,3034.0,199503
11/25/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2038.0,2053.0,2020.0,2046.0,8579,59764,199412,16:00:00,3035.0,199503
11/28/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2058.0,2077.0,2053.0,2066.0,10645,60124,199412,16:00:00,3055.0,199503
11/29/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2079.0,2096.0,2074.0,2079.0,11338,61569,199412,16:00:00,3068.0,199503
11/30/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2073.0,2107.0,2073.0,2105.0,17210,63121,199412,16:00:00,3094.0,199503
12/01/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2095.0,2095.0,2047.0,2052.0,15310,63405,199412,16:00:00,3041.0,199503
12/02/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2028.0,2046.0,2015.0,2016.0,18943,63905,199412,16:00:00,3005.0,199503
12/05/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2046.0,2056.0,2021.0,2051.0,18349,65483,199412,16:00:00,3040.0,199503
12/06/1994,&LFT_CCB,FTSE 100 Continuous Contract Backadjusted,2034.0,2036.0,1999.0,2033.0,19617,64950,199412,16:00:00,3022.0,199503
