Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
02/23/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.43,19.71,19.43,19.71,1,0,198809,16:00:00,97.53,198812
02/24/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.46,19.46,19.46,19.46,0,0,198809,16:00:00,97.28,198812
02/25/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.4,20.4,20.4,20.4,0,0,198809,16:00:00,98.22,198812
02/26/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.9,19.9,19.9,19.9,0,0,198809,16:00:00,97.72,198812
02/29/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.52,20.52,20.52,20.52,0,0,198809,16:00:00,98.34,198812
03/01/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.56,20.56,20.56,20.56,0,0,198809,16:00:00,98.38,198812
03/02/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.31,20.31,20.31,20.31,0,0,198809,16:00:00,98.13,198812
03/03/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.34,20.34,20.34,20.34,0,0,198809,16:00:00,98.16,198812
03/04/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.52,19.52,19.52,19.52,0,0,198809,16:00:00,97.34,198812
03/07/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.68,20.68,20.34,20.34,15,15,198809,16:00:00,98.16,198812
03/08/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.34,20.34,20.34,20.34,0,15,198809,16:00:00,98.16,198812
03/09/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.27,20.65,20.27,20.65,3,15,198809,16:00:00,98.47,198812
03/10/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.18,20.34,20.18,20.34,3,15,198809,16:00:00,98.16,198812
03/11/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.59,20.59,20.59,20.59,0,15,198809,16:00:00,98.41,198812
03/14/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.96,20.96,20.96,20.96,0,15,198809,16:00:00,98.78,198812
03/15/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,21.21,21.4,21.09,21.09,288,303,198809,16:00:00,98.91,198812
03/16/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.52,20.52,20.46,20.46,15,303,198809,16:00:00,98.28,198812
03/17/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.34,20.34,20.18,20.27,31,319,198809,16:00:00,98.09,198812
03/18/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.62,19.96,19.62,19.96,15,319,198809,16:00:00,97.78,198812
03/21/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.74,19.74,19.74,19.74,0,319,198809,16:00:00,97.56,198812
03/22/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.99,19.99,19.99,19.99,0,319,198809,16:00:00,97.81,198812
03/23/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.12,20.12,20.12,20.12,0,319,198809,16:00:00,97.94,198812
03/24/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.87,19.87,19.87,19.87,0,319,198809,16:00:00,97.69,198812
03/25/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.59,19.59,19.37,19.37,20,339,198809,16:00:00,97.19,198812
03/28/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.62,19.62,19.62,19.62,0,339,198809,16:00:00,97.44,198812
03/29/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.02,20.02,20.02,20.02,0,339,198809,16:00:00,97.84,198812
03/30/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.46,20.46,20.4,20.4,13,352,198809,16:00:00,98.22,198812
03/31/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.93,20.93,20.93,20.93,0,352,198809,16:00:00,98.75,198812
04/05/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.77,20.77,20.77,20.77,0,352,198809,16:00:00,98.59,198812
04/06/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.65,20.65,20.21,20.21,11,357,198809,16:00:00,98.03,198812
04/07/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.21,20.21,20.21,20.21,0,357,198809,16:00:00,98.03,198812
04/08/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.49,20.49,20.18,20.4,20,363,198809,16:00:00,98.22,198812
04/11/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.18,20.18,20.18,20.18,0,363,198809,16:00:00,98.0,198812
04/12/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.49,20.49,20.49,20.49,0,363,198809,16:00:00,98.31,198812
04/13/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.31,20.31,20.31,20.31,0,363,198809,16:00:00,98.13,198812
04/14/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.18,20.34,20.18,20.34,40,363,198809,16:00:00,98.16,198812
04/15/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.49,20.49,20.49,20.49,0,363,198809,16:00:00,98.31,198812
04/18/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.49,20.81,20.49,20.52,100,413,198809,16:00:00,98.34,198812
04/19/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.27,20.27,20.27,20.27,0,413,198809,16:00:00,98.09,198812
04/20/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,20.02,20.02,20.02,20.02,0,413,198809,16:00:00,97.84,198812
04/21/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.9,19.9,19.9,19.9,0,413,198809,16:00:00,97.72,198812
04/22/1988,&LLG_CCB,Long Gilt Continuous Contract Backadjusted,19.52,19.52,18.71,18.71,18,431,198809,16:00:00,96.53,198812
