Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/13/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-963.2,-963.2,-963.2,-963.2,0,0,199003,16:00:00,255.0,199005
09/14/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-966.2,-966.2,-966.2,-966.2,0,0,199003,16:00:00,252.0,199005
09/15/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-963.2,-963.2,-963.2,-963.2,0,0,199003,16:00:00,255.0,199005
09/16/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-969.7,-969.7,-969.7,-969.7,0,0,199003,16:00:00,248.5,199005
09/19/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-977.2,-977.2,-977.2,-977.2,0,0,199003,16:00:00,241.0,199005
09/20/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-977.2,-977.2,-977.2,-977.2,0,0,199003,16:00:00,241.0,199005
09/21/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-977.2,-977.2,-977.2,-977.2,0,0,199003,16:00:00,241.0,199005
09/22/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-976.2,-975.7,-976.2,-976.2,29,29,199003,16:00:00,242.0,199005
09/23/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-974.9,-974.2,-977.2,-977.2,219,34,199003,16:00:00,241.0,199005
09/26/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-979.2,-979.2,-983.2,-983.2,11,258,199003,16:00:00,235.0,199005
09/27/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-987.2,-987.2,-987.2,-987.2,20,268,199003,16:00:00,231.0,199005
09/28/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-981.2,-981.2,-981.2,-981.2,5,273,199003,16:00:00,237.0,199005
09/29/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-979.2,-979.2,-979.2,-979.2,0,273,199003,16:00:00,239.0,199005
09/30/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-971.2,-971.0,-971.2,-971.0,3,276,199003,16:00:00,247.2,199005
10/03/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-973.7,-973.7,-973.7,-973.7,5,281,199003,16:00:00,244.5,199005
10/04/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-976.7,-976.7,-976.7,-976.7,5,276,199003,16:00:00,241.5,199005
10/05/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-973.7,-973.7,-973.7,-973.7,0,276,199003,16:00:00,244.5,199005
10/06/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-973.2,-970.2,-973.2,-973.2,11,287,199003,16:00:00,245.0,199005
10/07/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-974.2,-974.2,-974.2,-974.2,210,287,199003,16:00:00,244.0,199005
10/10/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-971.7,-971.7,-971.7,-971.7,10,307,199003,16:00:00,246.5,199005
10/11/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-977.2,-977.2,-977.2,-977.2,5,312,199003,16:00:00,241.0,199005
10/12/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-968.2,-968.2,-968.2,-968.2,1,312,199003,16:00:00,250.0,199005
10/13/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-961.2,-961.2,-961.2,-961.2,10,322,199003,16:00:00,257.0,199005
10/14/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-967.2,-964.7,-968.2,-967.2,147,383,199003,16:00:00,251.0,199005
10/17/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-968.2,-968.2,-968.2,-968.2,24,356,199003,16:00:00,250.0,199005
10/18/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-968.4,-968.4,-968.4,-968.4,0,65,199003,16:00:00,249.8,199005
10/19/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-968.4,-966.2,-968.4,-968.4,76,373,199003,16:00:00,249.8,199005
10/20/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-964.7,-964.7,-964.7,-964.7,0,373,199003,16:00:00,253.5,199005
10/21/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-961.2,-961.2,-961.2,-961.2,105,568,199003,16:00:00,257.0,199005
10/24/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-957.7,-957.2,-958.2,-957.2,40,533,199003,16:00:00,261.0,199005
10/25/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-963.2,-956.2,-963.2,-959.2,60,592,199003,16:00:00,259.0,199005
10/26/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-959.7,-959.7,-968.2,-960.2,35,622,199003,16:00:00,258.0,199005
10/27/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-958.2,-957.2,-959.2,-959.2,88,586,199003,16:00:00,259.0,199005
10/28/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-959.2,-959.2,-959.2,-959.2,0,587,199003,16:00:00,259.0,199005
10/31/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-958.2,-958.2,-960.2,-958.2,20,581,199003,16:00:00,260.0,199005
11/01/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-956.9,-956.7,-957.2,-956.7,21,591,199003,16:00:00,261.5,199005
11/02/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-955.2,-955.2,-957.2,-955.2,58,620,199003,16:00:00,263.0,199005
11/03/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-955.2,-955.2,-955.2,-955.2,44,627,199003,16:00:00,263.0,199005
11/04/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-955.7,-955.7,-955.7,-955.7,10,637,199003,16:00:00,262.5,199005
11/07/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-962.2,-962.2,-962.2,-962.2,10,647,199003,16:00:00,256.0,199005
11/08/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-963.9,-963.9,-963.9,-963.9,0,647,199003,16:00:00,254.3,199005
11/09/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-964.2,-964.2,-964.2,-964.2,150,647,199003,16:00:00,254.0,199005
11/10/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-960.7,-960.7,-960.7,-960.7,5,642,199003,16:00:00,257.5,199005
11/11/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-965.7,-965.7,-965.7,-965.7,0,642,199003,16:00:00,252.5,199005
11/14/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-959.7,-959.7,-959.7,-959.7,0,63,199003,16:00:00,258.5,199005
11/15/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-965.2,-963.2,-965.2,-965.2,15,657,199003,16:00:00,253.0,199005
11/16/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-965.7,-965.7,-965.7,-965.7,0,656,199003,16:00:00,252.5,199005
11/17/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-968.2,-965.7,-968.2,-968.2,7,663,199003,16:00:00,250.0,199005
11/18/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-964.2,-964.2,-968.7,-964.2,30,692,199003,16:00:00,254.0,199005
11/21/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-965.4,-965.4,-965.4,-965.4,0,692,199003,16:00:00,252.8,199005
11/22/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-956.2,-956.2,-958.7,-956.2,20,718,199003,16:00:00,262.0,199005
11/23/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-950.7,-950.7,-950.7,-950.7,0,702,199003,16:00:00,267.5,199005
11/24/1988,&LSU_CCB,White Sugar Continuous Contract Backadjusted,-948.2,-948.2,-948.2,-948.2,0,70,199003,16:00:00,270.0,199005
