Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
12/02/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.0,107.0,107.0,107.0,10,66,199211,16:00:00,112.5,199305
12/03/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.0,107.0,107.0,107.0,1,67,199211,16:00:00,112.5,199305
12/04/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.0,107.0,107.0,107.0,5,67,199211,16:00:00,112.5,199305
12/05/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.0,107.0,107.0,107.0,4,69,199211,16:00:00,112.5,199305
12/06/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,106.5,106.5,106.5,106.5,0,69,199211,16:00:00,112.0,199305
12/09/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,106.5,106.5,106.5,106.5,2,69,199211,16:00:00,112.0,199305
12/10/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.1,107.1,107.1,107.1,0,69,199211,16:00:00,112.6,199305
12/11/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,107.5,107.5,107.5,107.5,8,77,199211,16:00:00,113.0,199305
12/12/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,108.0,108.0,108.0,108.0,0,76,199211,16:00:00,113.5,199305
12/13/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,108.25,108.25,108.25,108.25,2,78,199211,16:00:00,113.75,199305
12/16/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,108.75,108.75,108.75,108.75,31,77,199211,16:00:00,114.25,199305
12/17/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,108.75,108.75,108.75,108.75,1,78,199211,16:00:00,114.25,199305
12/18/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.25,109.25,109.25,109.25,5,83,199211,16:00:00,114.75,199305
12/19/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.0,109.0,109.0,109.0,5,75,199211,16:00:00,114.5,199305
12/20/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,1,76,199211,16:00:00,115.0,199305
12/23/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,1,77,199211,16:00:00,115.0,199305
12/24/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,110.0,110.0,110.0,110.0,36,107,199211,16:00:00,115.5,199305
12/27/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,110.0,110.0,110.0,110.0,0,92,199211,16:00:00,115.5,199305
12/30/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.75,109.75,0,90,199211,16:00:00,115.25,199305
12/31/1991,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.75,109.75,1,90,199211,16:00:00,115.25,199305
01/02/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.75,109.75,0,90,199211,16:00:00,115.25,199305
01/03/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.75,109.75,0,90,199211,16:00:00,115.25,199305
01/06/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.5,109.5,10,100,199211,16:00:00,115.0,199305
01/07/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,5,105,199211,16:00:00,115.0,199305
01/08/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,0,105,199211,16:00:00,115.0,199305
01/09/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,22,115,199211,16:00:00,115.0,199305
01/10/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.5,109.5,109.5,0,115,199211,16:00:00,115.0,199305
01/13/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.5,109.75,109.5,109.75,23,138,199211,16:00:00,115.25,199305
01/14/1992,&LWB_CCB,Feed Wheat Continuous Contract Backadjusted,109.75,109.75,109.75,109.75,5,141,199211,16:00:00,115.25,199305
