Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/09/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,7423,7423,6991,7003,988,354,200010,16:00:00,15680,200011
10/10/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,7063,7097,6773,6943,1144,327,200010,16:00:00,15620,200011
10/11/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6618,6620,6425,6504,1093,431,200010,16:00:00,15181,200011
10/12/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6458,6623,6211,6431,1462,658,200010,16:00:00,15108,200011
10/13/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5871,6070,5734,6013,1216,696,200010,16:00:00,14690,200011
10/16/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6523,6600,6291,6373,1439,683,200010,16:00:00,15050,200011
10/17/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6445,6483,6115,6200,1336,820,200010,16:00:00,14877,200011
10/18/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5873,5973,5723,5789,1489,916,200010,16:00:00,14466,200011
10/19/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5653,5822,5477,5623,2217,1094,200010,16:00:00,14300,200011
10/20/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6173,6424,6156,6382,1999,1100,200010,16:00:00,15059,200011
10/23/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6373,6451,6183,6398,1790,1099,200010,16:00:00,15075,200011
10/24/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6523,6573,6178,6235,1909,1091,200010,16:00:00,14912,200011
10/25/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6323,6498,6263,6399,1607,1118,200010,16:00:00,15076,200011
10/26/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6080,6493,6033,6448,2205,1186,200010,16:00:00,15125,200011
10/27/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6533,6588,6155,6214,2107,1222,200010,16:00:00,14891,200011
10/30/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6314,6364,6097,6154,1462,1301,200011,16:00:00,14840,200012
10/31/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6164,6484,6064,6357,2146,1072,200011,16:00:00,15043,200012
11/01/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6619,6762,6504,6754,2041,1246,200011,16:00:00,15440,200012
11/02/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6714,6929,6624,6744,2355,1229,200011,16:00:00,15430,200012
11/03/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6944,7062,6834,7012,1997,1353,200011,16:00:00,15698,200012
11/06/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6934,7142,6934,6979,1845,1308,200011,16:00:00,15665,200012
11/07/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6974,7274,6894,7259,2372,1426,200011,16:00:00,15945,200012
11/08/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,7240,7393,6925,7014,2562,1375,200011,16:00:00,15700,200012
11/09/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6814,6994,6780,6864,1880,1317,200011,16:00:00,15550,200012
11/10/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6724,6854,6639,6696,2062,1192,200011,16:00:00,15382,200012
11/13/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6254,6273,6084,6124,2123,1212,200011,16:00:00,14810,200012
11/14/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6204,6574,6154,6574,2447,1492,200011,16:00:00,15260,200012
11/15/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6734,6794,6387,6429,2524,1438,200011,16:00:00,15115,200012
11/16/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6434,6689,6344,6648,2265,1599,200011,16:00:00,15334,200012
11/17/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6512,6544,6375,6504,2237,1483,200011,16:00:00,15190,200012
11/20/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6444,6744,6389,6679,1940,1539,200011,16:00:00,15365,200012
11/21/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6314,6534,6279,6474,2342,1462,200011,16:00:00,15160,200012
11/22/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6529,6554,5975,6024,3005,1531,200011,16:00:00,14710,200012
11/23/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5804,5952,5649,5891,2488,1429,200011,16:00:00,14577,200012
11/24/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5994,6059,5692,5754,2109,1470,200011,16:00:00,14440,200012
11/27/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5914,6044,5764,5982,2415,1249,200011,16:00:00,14668,200012
11/28/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5884,6002,5814,5857,2385,1209,200011,16:00:00,14543,200012
11/29/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5627,5677,5478,5517,2254,1721,200012,16:00:00,14240,200101
11/30/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5537,5647,5228,5387,2667,1249,200012,16:00:00,14110,200101
12/01/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5427,5897,5288,5838,3488,1046,200012,16:00:00,14561,200101
12/04/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5787,5942,5732,5905,2236,1020,200012,16:00:00,14628,200101
12/05/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5937,6057,5837,5902,2433,976,200012,16:00:00,14625,200101
12/06/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6377,6545,6377,6486,2206,1053,200012,16:00:00,15209,200101
12/07/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6327,6412,6177,6382,2346,1056,200012,16:00:00,15105,200101
12/08/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6277,6665,6262,6597,2330,1242,200012,16:00:00,15320,200101
12/11/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6727,6757,6587,6737,2019,1315,200012,16:00:00,15460,200101
12/12/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6857,6861,6645,6682,2061,1309,200012,16:00:00,15405,200101
12/13/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6557,7025,6557,7008,2646,1546,200012,16:00:00,15731,200101
12/14/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6827,6959,6782,6837,2203,1426,200012,16:00:00,15560,200101
12/15/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6588,6617,6207,6207,2679,1399,200012,16:00:00,14930,200101
12/18/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6178,6395,6097,6374,1927,1369,200012,16:00:00,15097,200101
12/19/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6357,6537,6312,6447,2278,1271,200012,16:00:00,15170,200101
12/20/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6157,6277,6137,6197,2153,1165,200012,16:00:00,14920,200101
12/21/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5875,6077,5752,6067,2456,1206,200012,16:00:00,14790,200101
12/22/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6157,6161,5980,5999,1538,1235,200012,16:00:00,14722,200101
12/27/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6127,6237,5967,5980,1395,1210,200012,16:00:00,14703,200101
12/28/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6080,6210,6001,6120,1624,1240,200101,16:00:00,14920,200102
12/29/2000,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6220,6480,6050,6360,2223,827,200101,16:00:00,15160,200102
01/02/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6250,6383,6028,6044,1819,1239,200101,16:00:00,14844,200102
01/03/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,5800,5890,5755,5858,1744,1239,200101,16:00:00,14658,200102
01/04/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6600,6680,6408,6490,2244,1031,200101,16:00:00,15290,200102
01/05/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6600,6717,6510,6690,2259,987,200101,16:00:00,15490,200102
01/08/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6434,6649,6425,6601,1924,868,200101,16:00:00,15401,200102
01/09/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6650,6817,6561,6750,2322,975,200101,16:00:00,15550,200102
01/10/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6650,6760,6530,6633,2440,984,200101,16:00:00,15433,200102
01/11/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6639,6730,6268,6275,2956,1514,200101,16:00:00,15075,200102
01/12/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6450,6560,6381,6560,2182,1072,200101,16:00:00,15360,200102
01/15/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6592,6650,6358,6505,2066,1144,200101,16:00:00,15305,200102
01/16/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6443,6695,6430,6660,1851,1082,200101,16:00:00,15460,200102
01/17/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6720,6740,6366,6440,2827,1421,200101,16:00:00,15240,200102
01/18/2001,&MHI_CCB,Hang Seng Index - Mini Continuous Contract Backadjusted,6490,6747,6490,6734,2244,1179,200101,16:00:00,15534,200102
