Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/05/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,447.75,448.0,447.25,447.75,0,0,198003,16:00:00,324.0,198005
04/06/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,448.75,448.75,448.75,448.75,0,0,198003,16:00:00,325.0,198005
04/09/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,448.75,448.75,448.75,448.75,0,17,198003,16:00:00,325.0,198005
04/10/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,447.25,448.75,447.25,447.75,5,22,198003,16:00:00,324.0,198005
04/11/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,450.75,451.75,450.5,451.5,12,33,198003,16:00:00,327.75,198005
04/12/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,451.25,451.25,451.25,451.25,0,33,198003,16:00:00,327.5,198005
04/16/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,454.75,454.75,454.75,454.75,1,34,198003,16:00:00,331.0,198005
04/17/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,454.75,454.75,454.75,454.75,0,34,198003,16:00:00,331.0,198005
04/18/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,453.0,453.0,453.0,453.0,0,34,198003,16:00:00,329.25,198005
04/19/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,452.75,452.75,452.5,452.5,1,34,198003,16:00:00,328.75,198005
04/20/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,451.75,451.75,450.75,450.75,2,35,198003,16:00:00,327.0,198005
04/23/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,450.75,450.75,450.75,450.75,0,35,198003,16:00:00,327.0,198005
04/24/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,456.75,457.75,456.75,456.75,2,36,198003,16:00:00,333.0,198005
04/25/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,458.75,459.75,458.25,459.75,8,44,198003,16:00:00,336.0,198005
04/26/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,459.75,459.75,459.75,459.75,0,44,198003,16:00:00,336.0,198005
04/27/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,467.75,467.75,467.75,467.75,1,45,198003,16:00:00,344.0,198005
04/30/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,466.75,467.5,464.75,464.75,2,47,198003,16:00:00,341.0,198005
05/01/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,466.75,468.75,465.75,465.75,18,62,198003,16:00:00,342.0,198005
05/02/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,472.75,482.75,472.25,476.75,10,62,198003,16:00:00,353.0,198005
05/03/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,479.75,479.75,475.75,475.75,8,68,198003,16:00:00,352.0,198005
05/04/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,478.75,478.75,476.5,476.75,2,70,198003,16:00:00,353.0,198005
05/07/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,473.25,473.25,473.25,473.25,0,70,198003,16:00:00,349.5,198005
05/08/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,472.75,472.75,472.75,472.75,0,70,198003,16:00:00,349.0,198005
05/09/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,482.75,482.75,482.75,482.75,0,70,198003,16:00:00,359.0,198005
05/10/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,487.75,487.75,481.75,481.75,7,72,198003,16:00:00,358.0,198005
05/11/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,487.25,487.25,487.25,487.25,0,72,198003,16:00:00,363.5,198005
05/14/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,485.25,495.75,485.25,494.75,8,72,198003,16:00:00,371.0,198005
05/15/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,495.75,495.75,490.75,490.75,5,75,198003,16:00:00,367.0,198005
05/16/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,489.75,489.75,486.75,486.75,3,78,198003,16:00:00,363.0,198005
05/17/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,483.25,484.75,482.5,483.25,12,87,198003,16:00:00,359.5,198005
05/18/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,478.75,478.75,476.75,476.75,4,89,198003,16:00:00,353.0,198005
05/21/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,481.75,481.75,480.75,480.75,4,89,198003,16:00:00,357.0,198005
05/22/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,486.75,486.75,484.75,485.75,6,93,198003,16:00:00,362.0,198005
05/23/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,487.75,491.75,485.0,488.75,13,100,198003,16:00:00,365.0,198005
05/24/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,487.25,487.25,482.75,482.75,7,104,198003,16:00:00,359.0,198005
05/25/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,482.25,482.25,479.75,479.75,6,110,198003,16:00:00,356.0,198005
05/29/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,484.75,484.75,483.25,484.25,1,111,198003,16:00:00,360.5,198005
05/30/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,489.25,489.75,485.25,485.25,9,120,198003,16:00:00,361.5,198005
05/31/1979,&MWE_CCB,Hard Red Spring Wheat Continuous Contract Backadjusted,491.25,491.75,489.0,489.0,28,138,198003,16:00:00,365.25,198005
