Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
02/23/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,5840,5855,5795,5800,57,50,200403,16:00:00,10825,200406
02/24/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,5615,5640,5585,5640,36,60,200403,16:00:00,10665,200406
02/25/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,5675,5710,5655,5710,737,516,200403,16:00:00,10735,200406
02/26/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,5800,5840,5760,5840,348,783,200403,16:00:00,10865,200406
02/27/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6005,6085,5990,6025,807,1289,200403,16:00:00,11050,200406
03/01/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6295,6355,6265,6355,835,1592,200403,16:00:00,11380,200406
03/02/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6355,6405,6325,6365,356,1620,200403,16:00:00,11390,200406
03/03/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6375,6375,6255,6315,546,1661,200403,16:00:00,11340,200406
03/04/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6410,6465,6405,6465,142,1693,200403,16:00:00,11490,200406
03/05/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6495,6665,6430,6660,1000,2170,200403,16:00:00,11685,200406
03/08/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6515,6570,6435,6435,1332,2888,200403,16:00:00,11460,200406
03/09/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6480,6520,6375,6470,1313,3587,200403,16:00:00,11495,200406
03/10/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6455,6455,6290,6290,3196,6094,200403,16:00:00,11315,200406
03/11/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6255,6260,6070,6070,3258,7896,200406,16:00:00,11060,200409
03/12/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6180,6300,6130,6290,1077,4376,200406,16:00:00,11280,200409
03/15/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6245,6280,6180,6215,881,4554,200406,16:00:00,11205,200409
03/16/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6190,6240,6160,6220,1004,4900,200406,16:00:00,11210,200409
03/17/2004,&NIY_CCB,Nikkei 225 Yen Continuous Contract Backadjusted,6415,6580,6405,6565,2215,5625,200406,16:00:00,11555,200409
