Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/25/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27815,28335,27755,28330,538,303,199012,16:00:00,23725,199103
09/26/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27430,27430,27430,27430,269,437,199012,16:00:00,22825,199103
09/27/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,26855,27055,26530,26530,461,434,199012,16:00:00,21925,199103
09/28/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,25630,25955,25630,25935,732,965,199012,16:00:00,21330,199103
10/01/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,25630,26405,25505,26400,1384,1443,199012,16:00:00,21795,199103
10/02/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27300,27300,27300,27300,395,1265,199012,16:00:00,22695,199103
10/03/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27305,27305,26705,26765,732,1502,199012,16:00:00,22160,199103
10/04/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27005,27385,26955,27290,534,1654,199012,16:00:00,22685,199103
10/05/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28045,28045,27275,27980,1428,1990,199012,16:00:00,23375,199103
10/08/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28880,28880,28695,28760,1058,2431,199012,16:00:00,24155,199103
10/09/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28410,28445,27860,27880,1080,2389,199012,16:00:00,23275,199103
10/10/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27740,28080,27530,27655,928,2257,199012,16:00:00,23050,199103
10/11/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27355,27805,26755,26755,1680,2605,199012,16:00:00,22150,199103
10/12/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27355,27655,27355,27655,391,2604,199012,16:00:00,23050,199103
10/15/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28180,28555,28155,28530,658,2752,199012,16:00:00,23925,199103
10/16/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28805,28905,28380,28380,278,2803,199012,16:00:00,23775,199103
10/17/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28590,28805,28430,28785,515,2884,199012,16:00:00,24180,199103
10/18/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29115,29420,29080,29305,953,3267,199012,16:00:00,24700,199103
10/19/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29295,29560,29180,29515,714,3218,199012,16:00:00,24910,199103
10/22/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,30050,30415,29930,30355,770,3250,199012,16:00:00,25750,199103
10/23/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29955,30005,29580,29655,492,3275,199012,16:00:00,25050,199103
10/24/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29780,29880,29755,29835,516,3306,199012,16:00:00,25230,199103
10/25/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,30330,30405,30055,30055,728,3345,199012,16:00:00,25450,199103
10/26/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29790,29805,29530,29555,474,3556,199012,16:00:00,24950,199103
10/29/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,30005,30235,29850,30000,372,3678,199012,16:00:00,25395,199103
10/30/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29875,29905,29605,29855,756,3989,199012,16:00:00,25250,199103
10/31/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29700,30005,29680,29905,730,3818,199012,16:00:00,25300,199103
11/01/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29005,29005,29005,29005,232,3893,199012,16:00:00,24400,199103
11/02/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29120,29430,29105,29380,607,3728,199012,16:00:00,24775,199103
11/05/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,29355,29555,29355,29530,219,3717,199012,16:00:00,24925,199103
11/06/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28630,28705,28630,28630,962,3280,199012,16:00:00,24025,199103
11/07/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28430,28505,27855,27905,760,3194,199012,16:00:00,23300,199103
11/08/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27385,27605,27380,27445,875,3378,199012,16:00:00,22840,199103
11/09/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27685,27985,27655,27955,611,3531,199012,16:00:00,23350,199103
11/12/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28255,28480,28155,28480,622,3620,199012,16:00:00,23875,199103
11/13/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28905,28930,28660,28660,998,3735,199012,16:00:00,24055,199103
11/14/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28570,28955,28555,28880,414,3814,199012,16:00:00,24275,199103
11/15/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28130,28165,28030,28070,535,3751,199012,16:00:00,23465,199103
11/16/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28005,28355,28005,28255,626,3776,199012,16:00:00,23650,199103
11/19/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28630,28665,28435,28550,720,3815,199012,16:00:00,23945,199103
11/20/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28020,28045,27805,27820,631,3856,199012,16:00:00,23215,199103
11/21/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,27705,27780,27565,27755,697,3827,199012,16:00:00,23150,199103
11/23/1990,&NKD_CCB,Nikkei 225 Dollar Continuous Contract Backadjusted,28520,28580,28280,28405,624,3742,199012,16:00:00,23800,199103
