Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
06/21/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3649.27,3687.77,3640.27,3686.77,2136,245,199909,16:00:00,2295.0,199912
06/22/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3683.77,3701.77,3629.77,3634.27,4432,537,199909,16:00:00,2242.5,199912
06/23/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3631.77,3656.27,3606.77,3650.77,4625,685,199909,16:00:00,2259.0,199912
06/24/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3651.77,3654.77,3600.27,3609.77,4395,762,199909,16:00:00,2218.0,199912
06/25/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3607.77,3644.27,3585.77,3606.77,2751,1003,199909,16:00:00,2215.0,199912
06/28/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3615.77,3659.27,3605.27,3655.27,4239,1235,199909,16:00:00,2263.5,199912
06/29/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3651.77,3696.27,3643.77,3685.77,3371,1299,199909,16:00:00,2294.0,199912
06/30/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3685.27,3740.27,3660.27,3718.77,2785,1387,199909,16:00:00,2327.0,199912
07/01/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3717.77,3748.77,3686.77,3737.27,2456,1445,199909,16:00:00,2345.5,199912
07/02/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3736.77,3771.77,3721.77,3768.27,1248,1495,199909,16:00:00,2376.5,199912
07/06/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3764.27,3801.77,3738.77,3757.77,2915,1525,199909,16:00:00,2366.0,199912
07/07/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3756.77,3767.27,3732.77,3754.27,3440,1675,199909,16:00:00,2362.5,199912
07/08/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3759.77,3796.77,3742.27,3780.77,3604,2047,199909,16:00:00,2389.0,199912
07/09/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3783.77,3811.27,3775.77,3809.27,2126,2159,199909,16:00:00,2417.5,199912
07/12/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3810.77,3828.77,3795.77,3796.27,3650,2166,199909,16:00:00,2404.5,199912
07/13/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3801.27,3801.27,3764.27,3786.77,3552,2236,199909,16:00:00,2395.0,199912
07/14/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3784.27,3829.77,3773.77,3827.27,3067,2380,199909,16:00:00,2435.5,199912
07/15/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3826.77,3848.27,3820.27,3844.77,2875,2330,199909,16:00:00,2453.0,199912
07/16/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3843.27,3881.27,3838.27,3865.77,1798,2485,199909,16:00:00,2474.0,199912
07/19/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3865.77,3880.77,3833.77,3847.27,2699,2635,199909,16:00:00,2455.5,199912
07/20/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3840.27,3842.27,3740.77,3744.77,3934,2653,199909,16:00:00,2353.0,199912
07/21/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3747.77,3779.27,3733.77,3759.77,3047,2743,199909,16:00:00,2368.0,199912
07/22/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3761.77,3764.77,3690.27,3699.77,3224,2720,199909,16:00:00,2308.0,199912
07/23/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3696.77,3724.77,3675.27,3701.77,2485,2788,199909,16:00:00,2310.0,199912
07/26/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3702.77,3708.77,3640.77,3646.77,2851,2935,199909,16:00:00,2255.0,199912
07/27/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3646.77,3724.27,3646.77,3698.27,3644,2857,199909,16:00:00,2306.5,199912
07/28/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3702.27,3747.77,3683.77,3729.77,3190,2961,199909,16:00:00,2338.0,199912
07/29/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3730.77,3733.77,3660.77,3679.27,3528,3147,199909,16:00:00,2287.5,199912
07/30/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3687.77,3718.77,3668.27,3668.27,2712,3234,199909,16:00:00,2276.5,199912
08/02/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3668.27,3716.77,3652.27,3665.77,3088,3330,199909,16:00:00,2274.0,199912
08/03/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3665.77,3694.27,3615.77,3648.77,4979,3562,199909,16:00:00,2257.0,199912
08/04/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3648.77,3665.27,3603.77,3605.77,3463,3689,199909,16:00:00,2214.0,199912
08/05/1999,&NQ_CCB,E-mini Nasdaq-100 Continuous Contract Backadjusted,3607.77,3637.27,3556.27,3637.27,4686,3886,199909,16:00:00,2245.5,199912
