Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
08/08/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,74.05,74.55,74.05,74.55,2,2,198001,16:00:00,91.5,198003
08/09/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,72.3,72.3,72.3,72.3,0,2,198001,16:00:00,89.25,198003
08/10/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.05,73.05,73.05,73.05,2,4,198001,16:00:00,90.0,198003
08/11/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.55,74.05,72.8,72.8,3,4,198001,16:00:00,89.75,198003
08/14/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,72.45,72.45,72.45,72.45,0,4,198001,16:00:00,89.4,198003
08/15/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,72.35,72.35,72.35,72.35,0,4,198001,16:00:00,89.3,198003
08/16/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,72.55,73.55,72.55,73.55,7,10,198001,16:00:00,90.5,198003
08/17/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.05,73.05,73.05,73.05,0,10,198001,16:00:00,90.0,198003
08/18/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.05,73.05,73.05,73.05,0,10,198001,16:00:00,90.0,198003
08/21/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.8,73.8,73.8,73.8,0,10,198001,16:00:00,90.75,198003
08/22/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.8,73.8,73.8,73.8,0,10,198001,16:00:00,90.75,198003
08/23/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.55,73.55,73.55,73.55,0,10,198001,16:00:00,90.5,198003
08/24/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.55,73.55,73.55,73.55,1,11,198001,16:00:00,90.5,198003
08/25/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.55,75.35,73.55,75.35,0,11,198001,16:00:00,92.3,198003
08/28/1978,&OJ_CCB,Frozen Concentrated Orange Juice Grade A Continuous Contract Backadjusted,73.7,73.7,73.7,73.7,2,13,198001,16:00:00,90.65,198003
