Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/15/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,906.0,910.3,906.0,910.0,1,1,198001,16:00:00,242.5,198004
05/16/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,909.0,909.0,901.5,901.5,55,51,198001,16:00:00,234.0,198004
05/17/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,911.5,911.5,909.6,911.5,70,113,198001,16:00:00,244.0,198004
05/18/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,921.5,921.5,914.0,916.3,63,165,198001,16:00:00,248.8,198004
05/19/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,915.5,924.0,912.5,924.0,57,206,198001,16:00:00,256.5,198004
05/22/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,924.0,924.1,917.5,924.1,99,241,198001,16:00:00,256.6,198004
05/23/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,923.8,928.1,923.8,926.3,25,226,198001,16:00:00,258.8,198004
05/24/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,920.0,924.0,920.0,921.2,22,216,198001,16:00:00,253.7,198004
05/25/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,919.8,920.7,919.8,920.7,1,216,198001,16:00:00,253.2,198004
05/26/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,921.5,921.8,921.5,921.8,3,213,198001,16:00:00,254.3,198004
05/30/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,924.0,931.8,924.0,931.8,6,216,198001,16:00:00,264.3,198004
05/31/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,939.0,939.0,932.6,932.6,7,216,198001,16:00:00,265.1,198004
06/01/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,932.0,932.0,930.7,930.7,1,217,198001,16:00:00,263.2,198004
06/02/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,930.5,932.5,921.2,921.2,5,216,198001,16:00:00,253.7,198004
06/05/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,922.5,922.5,915.0,917.4,11,217,198001,16:00:00,249.9,198004
06/06/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,925.3,925.3,925.3,925.3,0,217,198001,16:00:00,257.8,198004
06/07/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,924.5,924.5,918.7,918.7,3,217,198001,16:00:00,251.2,198004
06/08/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,921.5,924.5,921.5,924.5,10,222,198001,16:00:00,257.0,198004
06/09/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,925.7,925.7,925.7,925.7,0,222,198001,16:00:00,258.2,198004
06/12/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,923.2,923.2,923.2,923.2,0,222,198001,16:00:00,255.7,198004
06/13/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,933.0,933.0,932.2,932.2,3,222,198001,16:00:00,264.7,198004
06/14/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,931.7,932.9,931.7,932.9,2,222,198001,16:00:00,265.4,198004
06/15/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,930.9,931.5,930.9,931.5,8,230,198001,16:00:00,264.0,198004
06/16/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,933.5,935.9,933.5,935.9,3,230,198001,16:00:00,268.4,198004
06/19/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,937.6,937.6,937.6,937.6,0,230,198001,16:00:00,270.1,198004
06/20/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,936.0,936.0,934.5,934.5,1,230,198001,16:00:00,267.0,198004
06/21/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,925.3,925.3,925.3,925.3,0,230,198001,16:00:00,257.8,198004
06/22/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,927.5,927.9,927.5,927.9,1,230,198001,16:00:00,260.4,198004
06/23/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,925.3,925.3,925.3,925.3,0,230,198001,16:00:00,257.8,198004
06/26/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,926.5,929.5,926.5,929.5,25,230,198001,16:00:00,262.0,198004
06/27/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,930.5,932.9,930.5,931.9,6,232,198001,16:00:00,264.4,198004
06/28/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,931.5,931.5,928.8,928.8,2,230,198001,16:00:00,261.3,198004
06/29/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,924.5,924.5,924.5,924.5,0,230,198001,16:00:00,257.0,198004
06/30/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,924.7,924.7,924.7,924.7,0,230,198001,16:00:00,257.2,198004
07/03/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,927.4,927.4,927.4,927.4,0,230,198001,16:00:00,259.9,198004
07/05/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,926.7,926.7,926.7,926.7,0,230,198001,16:00:00,259.2,198004
07/06/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,926.8,926.8,926.8,926.8,0,230,198001,16:00:00,259.3,198004
07/07/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,929.3,930.0,928.5,929.6,11,230,198001,16:00:00,262.1,198004
07/10/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,931.2,931.2,931.2,931.2,0,230,198001,16:00:00,263.7,198004
07/11/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,930.2,930.2,930.2,930.2,0,230,198001,16:00:00,262.7,198004
07/12/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,931.5,933.9,931.5,933.9,2,230,198001,16:00:00,266.4,198004
07/13/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,933.5,933.5,933.5,933.5,0,230,198001,16:00:00,266.0,198004
07/14/1978,&PL_CCB,Platinum Continuous Contract Backadjusted,932.5,932.5,932.5,932.5,0,230,198001,16:00:00,265.0,198004
