Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
10/23/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,420.26,420.26,420.26,420.26,0,0,200112,16:00:00,429.5,200203
10/24/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,418.76,420.26,417.66,419.26,179,43,200112,16:00:00,428.5,200203
10/25/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,416.36,429.36,413.46,429.36,694,348,200112,16:00:00,438.6,200203
10/26/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,437.36,437.36,427.06,428.56,634,421,200112,16:00:00,437.8,200203
10/29/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,428.16,429.76,418.06,418.06,582,560,200112,16:00:00,427.3,200203
10/30/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,417.26,418.56,410.46,411.56,604,652,200112,16:00:00,420.8,200203
10/31/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,417.76,421.76,411.26,419.46,981,743,200112,16:00:00,428.7,200203
11/01/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,420.56,426.36,415.96,425.06,691,755,200112,16:00:00,434.3,200203
11/02/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,425.76,427.56,422.96,423.56,472,816,200112,16:00:00,432.8,200203
11/05/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,428.76,430.66,427.36,428.56,741,1046,200112,16:00:00,437.8,200203
11/06/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,426.26,435.76,426.26,435.56,1036,2032,200112,16:00:00,444.8,200203
11/07/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,435.76,436.06,432.26,433.76,561,2073,200112,16:00:00,443.0,200203
11/08/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,433.76,440.76,428.96,432.06,924,2067,200112,16:00:00,441.3,200203
11/09/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,429.56,431.26,426.56,430.76,405,2031,200112,16:00:00,440.0,200203
11/12/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,422.76,432.16,422.56,431.56,184,2016,200112,16:00:00,440.8,200203
11/13/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,435.96,440.06,435.66,440.06,344,2043,200112,16:00:00,449.3,200203
11/14/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,444.06,445.86,439.96,445.86,913,2249,200112,16:00:00,455.1,200203
11/15/2001,&RTY_CCB,E-mini Russell 2000 Continuous Contract Backadjusted,444.26,445.96,441.26,443.56,588,2385,200112,16:00:00,452.8,200203
