Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
08/20/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6480.71,6515.71,6425.71,6435.71,92,39,201008,16:00:00,9235.0,201009
08/23/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6455.71,6530.71,6400.71,6415.71,1828,1057,201008,16:00:00,9215.0,201009
08/24/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6460.71,6495.71,6325.71,6410.71,1744,1366,201008,16:00:00,9210.0,201009
08/25/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6345.71,6405.71,6240.71,6240.71,2106,2025,201008,16:00:00,9040.0,201009
08/26/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6255.71,6300.71,6205.71,6230.71,1494,2423,201008,16:00:00,9030.0,201009
08/27/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6205.71,6235.71,6165.71,6220.71,2441,2608,201008,16:00:00,9020.0,201009
08/30/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6305.71,6370.71,6285.71,6335.71,890,2160,201009,16:00:00,9205.0,201010
08/31/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6305.71,6305.71,6220.71,6245.71,265,2241,201009,16:00:00,9115.0,201010
09/01/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6270.71,6360.71,6190.71,6245.71,1346,1960,201009,16:00:00,9115.0,201010
09/02/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6340.71,6360.71,6310.71,6330.71,621,1952,201009,16:00:00,9200.0,201010
09/03/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6315.71,6350.71,6260.71,6315.71,874,2126,201009,16:00:00,9185.0,201010
09/06/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6425.71,6550.71,6375.71,6550.71,1248,2176,201009,16:00:00,9420.0,201010
09/07/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6525.71,6565.71,6475.71,6510.71,1639,2588,201009,16:00:00,9380.0,201010
09/08/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6460.71,6475.71,6395.71,6430.71,796,2374,201009,16:00:00,9300.0,201010
09/09/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6460.71,6460.71,6245.71,6265.71,1164,2573,201009,16:00:00,9135.0,201010
09/10/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6335.71,6335.71,6175.71,6215.71,1387,2659,201009,16:00:00,9085.0,201010
09/13/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6260.71,6320.71,6190.71,6275.71,993,2913,201009,16:00:00,9145.0,201010
09/14/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6315.71,6350.71,6260.71,6280.71,722,2842,201009,16:00:00,9150.0,201010
09/15/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6250.71,6285.71,6115.71,6135.71,849,3030,201009,16:00:00,9005.0,201010
09/16/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6085.71,6210.71,5890.71,5985.71,2793,4026,201009,16:00:00,8855.0,201010
09/17/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,5995.71,6005.71,5930.71,5960.71,2291,4875,201009,16:00:00,8830.0,201010
09/20/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,5965.71,6025.71,5905.71,5960.71,1522,4669,201009,16:00:00,8830.0,201010
09/21/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6010.71,6030.71,5965.71,5965.71,2763,5292,201009,16:00:00,8835.0,201010
09/27/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6030.71,6030.71,5970.71,6015.71,5784,5140,201009,16:00:00,8885.0,201010
09/28/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6015.71,6015.71,5920.71,5930.71,5715,5645,201009,16:00:00,8800.0,201010
09/29/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,5985.71,6035.71,5910.71,5940.71,5386,5435,201010,16:00:00,8870.0,201011
09/30/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,5970.71,6160.71,5880.71,6155.71,4222,7637,201010,16:00:00,9085.0,201011
10/08/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6270.71,6825.71,6210.71,6470.71,4422,9348,201010,16:00:00,9400.0,201011
10/11/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6535.71,6910.71,6480.71,6830.71,6456,12534,201010,16:00:00,9760.0,201011
10/12/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6665.71,7000.71,6665.71,6900.71,5034,13842,201010,16:00:00,9830.0,201011
10/13/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6940.71,7050.71,6900.71,7050.71,4648,13958,201010,16:00:00,9980.0,201011
10/14/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7085.71,7370.71,7085.71,7195.71,4743,14742,201010,16:00:00,10125.0,201011
10/15/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7140.71,7570.71,7120.71,7560.71,4901,15708,201010,16:00:00,10490.0,201011
10/18/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7640.71,8005.71,7505.71,7540.71,8291,17717,201010,16:00:00,10470.0,201011
10/19/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7565.71,7680.71,7440.71,7670.71,6407,19151,201010,16:00:00,10600.0,201011
10/20/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7470.71,7925.71,7470.71,7810.71,8617,19526,201010,16:00:00,10740.0,201011
10/21/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7855.71,7855.71,7550.71,7635.71,9327,20759,201010,16:00:00,10565.0,201011
10/22/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7635.71,7680.71,7495.71,7580.71,7523,22276,201010,16:00:00,10510.0,201011
10/25/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7570.71,7865.71,7480.71,7845.71,16328,23445,201010,16:00:00,10775.0,201011
10/26/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7840.71,7880.71,7625.71,7665.71,18173,21671,201010,16:00:00,10595.0,201011
10/27/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7755.71,7795.71,7430.71,7450.71,18485,23829,201010,16:00:00,10380.0,201011
10/28/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7450.71,7515.71,7395.71,7470.71,12438,19434,201011,16:00:00,10475.0,201012
10/29/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7445.71,7485.71,7260.71,7325.71,6860,21102,201011,16:00:00,10330.0,201012
11/01/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7340.71,7570.71,7270.71,7500.71,6916,20559,201011,16:00:00,10505.0,201012
11/02/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7640.71,7645.71,7395.71,7510.71,6209,21386,201011,16:00:00,10515.0,201012
11/03/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7540.71,7615.71,7195.71,7515.71,3759,20973,201011,16:00:00,10520.0,201012
11/04/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7630.71,7675.71,7525.71,7665.71,4508,22369,201011,16:00:00,10670.0,201012
11/05/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7695.71,7925.71,7695.71,7765.71,6023,23071,201011,16:00:00,10770.0,201012
11/08/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7795.71,7845.71,7725.71,7815.71,3273,23677,201011,16:00:00,10820.0,201012
11/09/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7820.71,7820.71,7600.71,7655.71,4225,24012,201011,16:00:00,10660.0,201012
11/10/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7625.71,7625.71,7370.71,7435.71,6086,25738,201011,16:00:00,10440.0,201012
11/11/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7485.71,7660.71,7395.71,7540.71,3521,25674,201011,16:00:00,10545.0,201012
11/12/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7515.71,7525.71,6995.71,6995.71,8771,27056,201011,16:00:00,10000.0,201012
11/15/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7065.71,7065.71,6875.71,7010.71,8248,27426,201011,16:00:00,10015.0,201012
11/16/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,7020.71,7020.71,6555.71,6605.71,9216,29095,201011,16:00:00,9610.0,201012
11/17/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6605.71,6605.71,6385.71,6470.71,16288,28268,201011,16:00:00,9475.0,201012
11/18/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6395.71,6605.71,6390.71,6585.71,5264,27233,201011,16:00:00,9590.0,201012
11/19/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6585.71,6650.71,6345.71,6620.71,10658,28464,201011,16:00:00,9625.0,201012
11/22/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6495.71,6645.71,6495.71,6545.71,10546,27964,201011,16:00:00,9550.0,201012
11/23/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6530.71,6530.71,6225.71,6295.71,13179,29172,201011,16:00:00,9300.0,201012
11/24/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6295.71,6500.71,6265.71,6445.71,15694,28106,201011,16:00:00,9450.0,201012
11/25/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6555.71,6685.71,6400.71,6595.71,23892,32168,201011,16:00:00,9600.0,201012
11/26/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6590.71,6590.71,6445.71,6505.71,14377,24372,201011,16:00:00,9510.0,201012
11/29/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6415.71,6515.71,6400.71,6495.71,15642,18418,201012,16:00:00,9570.0,201101
11/30/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6515.71,6540.71,6155.71,6315.71,8056,20995,201012,16:00:00,9390.0,201101
12/01/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6250.71,6355.71,6215.71,6320.71,3446,20603,201012,16:00:00,9395.0,201101
12/02/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6380.71,6525.71,6380.71,6425.71,2977,21004,201012,16:00:00,9500.0,201101
12/03/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6550.71,6550.71,6380.71,6425.71,2059,21221,201012,16:00:00,9500.0,201101
12/06/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6465.71,6555.71,6435.71,6510.71,5185,21861,201012,16:00:00,9585.0,201101
12/07/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6460.71,6610.71,6375.71,6580.71,3278,21504,201012,16:00:00,9655.0,201101
12/08/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6555.71,6665.71,6395.71,6410.71,4215,22126,201012,16:00:00,9485.0,201101
12/09/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6385.71,6485.71,6295.71,6360.71,4618,22900,201012,16:00:00,9435.0,201101
12/10/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6325.71,6455.71,6315.71,6390.71,4882,23007,201012,16:00:00,9465.0,201101
12/13/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6430.71,6655.71,6410.71,6655.71,6037,23588,201012,16:00:00,9730.0,201101
12/14/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6710.71,6710.71,6615.71,6675.71,3432,22643,201012,16:00:00,9750.0,201101
12/15/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6675.71,6695.71,6525.71,6530.71,4043,24014,201012,16:00:00,9605.0,201101
12/16/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,5620.71,6565.71,5620.71,6455.71,1743,23586,201012,16:00:00,9530.0,201101
12/17/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6480.71,6490.71,6415.71,6445.71,2487,23615,201012,16:00:00,9520.0,201101
12/20/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6525.71,6540.71,6160.71,6310.71,4880,24183,201012,16:00:00,9385.0,201101
12/21/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6300.71,6490.71,6245.71,6465.71,4086,24043,201012,16:00:00,9540.0,201101
12/22/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6495.71,6515.71,6345.71,6390.71,7443,23445,201012,16:00:00,9465.0,201101
12/23/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6435.71,6490.71,6310.71,6335.71,9999,24147,201012,16:00:00,9410.0,201101
12/24/2010,&SCN_CCB,FTSE China A50 Index Continuous Contract Backadjusted,6290.71,6375.71,6235.71,6300.71,7497,24783,201012,16:00:00,9375.0,201101
