Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
04/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2677.2,2677.2,2677.2,2677.2,156,5861,198003,16:00:00,586.5,198005
04/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2676.0,2676.0,2676.0,2676.0,145,6006,198003,16:00:00,585.3,198005
05/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2672.5,2672.5,2672.5,2672.5,52,5863,198003,16:00:00,581.8,198005
05/02/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2672.7,2677.5,2672.7,2677.5,1302,5659,198003,16:00:00,586.8,198005
05/03/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2682.5,2682.5,2681.9,2681.9,2247,5814,198003,16:00:00,591.2,198005
05/04/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2688.2,2688.2,2686.4,2686.4,1368,6506,198003,16:00:00,595.7,198005
05/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2686.7,2686.7,2685.9,2685.9,206,6590,198003,16:00:00,595.2,198005
05/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2682.1,2682.1,2682.1,2682.1,596,6946,198003,16:00:00,591.4,198005
05/09/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2679.6,2679.6,2679.6,2679.6,50,6946,198003,16:00:00,588.9,198005
05/10/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2684.9,2684.9,2684.9,2684.9,64,7000,198003,16:00:00,594.2,198005
05/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2686.0,2686.0,2680.4,2680.4,149,7055,198003,16:00:00,589.7,198005
05/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2680.7,2680.7,2680.5,2680.5,81,7086,198003,16:00:00,589.8,198005
05/15/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2684.9,2684.9,2684.9,2684.9,193,7260,198003,16:00:00,594.2,198005
05/16/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2684.7,2689.8,2684.1,2689.8,140,7350,198003,16:00:00,599.1,198005
05/17/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2690.3,2690.3,2690.0,2690.0,35,7384,198003,16:00:00,599.3,198005
05/18/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2692.7,2696.7,2692.7,2696.3,114,7462,198003,16:00:00,605.6,198005
05/19/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2696.7,2696.7,2692.9,2692.9,118,7561,198003,16:00:00,602.2,198005
05/22/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2693.9,2693.9,2693.9,2693.9,9,7562,198003,16:00:00,603.2,198005
05/23/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2697.9,2697.9,2697.7,2697.7,2,7563,198003,16:00:00,607.0,198005
05/24/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2693.5,2693.5,2693.5,2693.5,0,7562,198003,16:00:00,602.8,198005
05/25/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2699.9,2699.9,2699.9,2699.9,1712,8781,198003,16:00:00,609.2,198005
05/26/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2699.4,2702.2,2699.2,2702.1,4454,9466,198003,16:00:00,611.4,198005
05/30/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2712.2,2722.1,2711.5,2720.1,7884,8567,198003,16:00:00,629.4,198005
05/31/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2723.9,2723.9,2719.4,2719.4,294,8569,198003,16:00:00,628.7,198005
06/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2722.3,2722.3,2722.3,2722.3,62,8545,198003,16:00:00,631.6,198005
06/02/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2727.8,2728.5,2712.2,2712.2,1610,10076,198003,16:00:00,621.5,198005
06/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2710.5,2710.5,2710.5,2710.5,75,10088,198003,16:00:00,619.8,198005
06/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2708.1,2713.6,2707.9,2713.6,61,10098,198003,16:00:00,622.9,198005
06/07/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2702.9,2702.9,2702.1,2702.1,11,10089,198003,16:00:00,611.4,198005
06/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2705.9,2705.9,2705.9,2705.9,5,10091,198003,16:00:00,615.2,198005
06/09/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2700.6,2702.7,2700.6,2702.7,257,10193,198003,16:00:00,612.0,198005
06/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2698.9,2698.9,2698.9,2698.9,16,10177,198003,16:00:00,608.2,198005
06/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2708.5,2708.5,2708.5,2708.5,32,10191,198003,16:00:00,617.8,198005
06/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2702.3,2702.3,2702.3,2702.3,79,10180,198003,16:00:00,611.6,198005
06/15/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2699.8,2707.8,2699.8,2707.8,134,10309,198003,16:00:00,617.1,198005
06/16/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2711.0,2711.0,2711.0,2711.0,26,10321,198003,16:00:00,620.3,198005
06/19/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2715.2,2716.2,2715.2,2716.2,40,10344,198003,16:00:00,625.5,198005
06/20/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2717.7,2717.7,2714.7,2714.7,83,10405,198003,16:00:00,624.0,198005
06/21/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2716.2,2716.7,2710.2,2710.4,68,10425,198003,16:00:00,619.7,198005
06/22/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2707.4,2708.9,2707.2,2708.9,134,10385,198003,16:00:00,618.2,198005
06/23/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2710.3,2710.9,2708.5,2708.5,162,10518,198003,16:00:00,617.8,198005
06/26/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2710.7,2710.7,2709.6,2709.6,56,10494,198003,16:00:00,618.9,198005
06/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2711.1,2711.1,2711.1,2711.1,5148,14997,198003,16:00:00,620.4,198005
06/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2712.0,2712.0,2711.4,2711.4,262,15190,198003,16:00:00,620.7,198005
06/29/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2704.7,2704.7,2699.8,2699.8,56,15208,198003,16:00:00,609.1,198005
06/30/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2700.2,2701.7,2696.7,2696.7,45,15210,198003,16:00:00,606.0,198005
07/03/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2700.2,2701.3,2699.7,2701.3,24,15223,198003,16:00:00,610.6,198005
07/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2699.5,2699.5,2699.5,2699.5,468,15387,198003,16:00:00,608.8,198005
07/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2696.2,2696.2,2692.7,2693.8,29,15392,198003,16:00:00,603.1,198005
07/07/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2697.7,2698.4,2697.7,2698.4,62,15453,198003,16:00:00,607.7,198005
07/10/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2703.3,2703.3,2703.3,2703.3,51,15460,198003,16:00:00,612.6,198005
07/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2701.3,2701.9,2701.3,2701.9,448,15600,198003,16:00:00,611.2,198005
07/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2704.9,2704.9,2702.1,2702.1,739,15631,198003,16:00:00,611.4,198005
07/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2699.8,2699.8,2699.8,2699.8,278,15910,198003,16:00:00,609.1,198005
07/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2698.7,2698.7,2697.7,2697.7,101,15910,198003,16:00:00,607.0,198005
07/17/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2690.2,2692.3,2689.2,2692.3,2715,16682,198003,16:00:00,601.6,198005
07/18/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2692.2,2694.1,2692.2,2694.1,1588,18216,198003,16:00:00,603.4,198005
07/19/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2697.9,2697.9,2697.9,2697.9,1279,19361,198003,16:00:00,607.2,198005
07/20/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2708.7,2711.7,2702.7,2711.7,1683,20367,198003,16:00:00,621.0,198005
07/21/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2718.8,2729.8,2718.8,2721.6,697,20596,198003,16:00:00,630.9,198005
07/24/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2725.2,2725.2,2722.1,2723.0,1500,21923,198003,16:00:00,632.3,198005
07/25/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2721.7,2729.0,2721.7,2726.1,9701,21751,198003,16:00:00,635.4,198005
07/26/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2723.5,2723.9,2717.7,2720.4,948,21954,198003,16:00:00,629.7,198005
07/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2717.4,2727.0,2717.4,2727.0,322,21945,198003,16:00:00,636.3,198005
07/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.9,2737.3,2727.0,2731.1,4265,20772,198003,16:00:00,640.4,198005
07/31/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.1,2740.0,2734.1,2740.0,634,20710,198003,16:00:00,649.3,198005
08/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2743.2,2743.2,2728.8,2728.8,5236,20861,198003,16:00:00,638.1,198005
08/02/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2731.7,2731.7,2726.5,2726.5,432,21055,198003,16:00:00,635.8,198005
08/03/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2718.2,2720.2,2714.7,2720.2,457,21081,198003,16:00:00,629.5,198005
08/04/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2726.2,2726.2,2726.2,2726.2,681,21119,198003,16:00:00,635.5,198005
08/07/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2725.5,2726.1,2725.5,2726.1,97,21193,198003,16:00:00,635.4,198005
08/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2726.2,2729.2,2720.7,2725.4,257,21289,198003,16:00:00,634.7,198005
08/09/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2724.4,2726.7,2719.6,2719.6,142,21325,198003,16:00:00,628.9,198005
08/10/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2722.2,2723.6,2722.2,2723.6,428,21683,198003,16:00:00,632.9,198005
08/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.1,2734.2,2731.7,2731.7,239,21840,198003,16:00:00,641.0,198005
08/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2735.7,2740.3,2735.7,2740.3,1684,22728,198003,16:00:00,649.6,198005
08/15/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2735.2,2735.2,2729.7,2732.0,1579,22908,198003,16:00:00,641.3,198005
08/16/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.3,2734.7,2724.7,2725.2,1387,23096,198003,16:00:00,634.5,198005
08/17/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2715.7,2715.7,2709.7,2710.3,1111,23487,198003,16:00:00,619.6,198005
08/18/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2715.7,2715.7,2705.5,2706.3,1290,23436,198003,16:00:00,615.6,198005
08/21/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2703.7,2709.1,2703.5,2709.1,1060,23766,198003,16:00:00,618.4,198005
08/22/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2707.7,2707.7,2707.0,2707.0,704,23503,198003,16:00:00,616.3,198005
08/23/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2702.2,2708.7,2701.2,2708.7,2300,23952,198003,16:00:00,618.0,198005
08/24/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2710.7,2710.7,2707.0,2709.7,844,24001,198003,16:00:00,619.0,198005
08/25/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2704.7,2708.9,2704.7,2708.9,3684,25215,198003,16:00:00,618.2,198005
08/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2710.1,2710.1,2705.6,2705.6,148,25272,198003,16:00:00,614.9,198005
08/29/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2713.7,2716.7,2713.7,2716.7,1394,25648,198003,16:00:00,626.0,198005
08/30/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2716.9,2718.5,2716.7,2717.8,328,25925,198003,16:00:00,627.1,198005
08/31/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2720.5,2720.5,2717.3,2717.4,243,25958,198003,16:00:00,626.7,198005
09/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2720.6,2724.5,2720.6,2724.5,252,26076,198003,16:00:00,633.8,198005
09/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2721.6,2727.1,2721.0,2727.1,774,26354,198003,16:00:00,636.4,198005
09/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2724.1,2724.1,2719.6,2720.7,1261,26613,198003,16:00:00,630.0,198005
09/07/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2718.2,2718.2,2713.2,2714.0,2067,27598,198003,16:00:00,623.3,198005
09/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2711.0,2711.0,2707.2,2710.7,469,27883,198003,16:00:00,620.0,198005
09/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2708.9,2712.3,2708.9,2712.0,960,28208,198003,16:00:00,621.3,198005
09/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2714.3,2715.6,2713.7,2714.7,2160,29291,198003,16:00:00,624.0,198005
09/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2717.2,2724.4,2717.2,2724.4,1385,29839,198003,16:00:00,633.7,198005
09/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2721.2,2721.2,2719.9,2720.7,849,30170,198003,16:00:00,630.0,198005
09/15/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2728.2,2728.3,2722.5,2722.5,1395,30578,198003,16:00:00,631.8,198005
09/18/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2722.7,2725.0,2722.5,2724.2,199,30768,198003,16:00:00,633.5,198005
09/19/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2723.8,2729.2,2721.8,2721.8,1193,30904,198003,16:00:00,631.1,198005
09/20/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2730.7,2734.2,2730.2,2734.2,663,31135,198003,16:00:00,643.5,198005
09/21/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.9,2735.2,2731.2,2733.4,646,31495,198003,16:00:00,642.7,198005
09/22/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2728.7,2736.0,2728.7,2734.8,1115,31717,198003,16:00:00,644.1,198005
09/25/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2734.2,2737.7,2733.4,2733.4,1623,32383,198003,16:00:00,642.7,198005
09/26/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2736.4,2736.4,2726.4,2729.2,2290,32682,198003,16:00:00,638.5,198005
09/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2724.9,2734.2,2724.9,2733.3,6025,36852,198003,16:00:00,642.6,198005
09/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2732.8,2733.9,2731.1,2732.6,3850,40525,198003,16:00:00,641.9,198005
09/29/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2730.9,2730.9,2729.1,2729.1,1424,41442,198003,16:00:00,638.4,198005
10/02/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2733.7,2739.3,2733.7,2739.3,1010,44112,198003,16:00:00,648.6,198005
10/03/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2741.4,2747.2,2739.7,2746.3,5922,47114,198003,16:00:00,655.6,198005
10/04/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2748.9,2750.2,2744.3,2746.2,5886,48927,198003,16:00:00,655.5,198005
10/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2747.0,2749.2,2745.2,2747.6,2076,49844,198003,16:00:00,656.9,198005
10/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2745.6,2746.6,2741.6,2742.2,1679,50438,198003,16:00:00,651.5,198005
10/09/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2743.1,2751.9,2741.7,2751.9,3637,52062,198003,16:00:00,661.2,198005
10/10/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2756.6,2760.5,2754.9,2754.9,17612,52218,198003,16:00:00,664.2,198005
10/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2759.4,2761.9,2759.4,2760.2,3044,53623,198003,16:00:00,669.5,198005
10/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2751.2,2756.7,2750.4,2750.4,7417,51535,198003,16:00:00,659.7,198005
10/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2749.2,2752.4,2748.5,2750.8,3219,53940,198003,16:00:00,660.1,198005
10/16/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2746.2,2755.8,2744.7,2753.5,6215,56164,198003,16:00:00,662.8,198005
10/17/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2756.3,2759.7,2754.7,2755.1,5868,60666,198003,16:00:00,664.4,198005
10/18/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2756.4,2756.4,2751.1,2753.2,6957,59834,198003,16:00:00,662.5,198005
10/19/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2748.2,2751.2,2745.5,2745.5,4682,61712,198003,16:00:00,654.8,198005
10/20/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2750.5,2750.5,2745.0,2745.0,908,61316,198003,16:00:00,654.3,198005
10/23/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2743.6,2746.2,2741.8,2741.8,531,61362,198003,16:00:00,651.1,198005
10/24/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2740.7,2746.8,2740.7,2746.8,1227,61656,198003,16:00:00,656.1,198005
10/25/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2753.7,2766.8,2753.7,2766.8,4833,63063,198003,16:00:00,676.1,198005
10/26/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2771.8,2777.5,2767.7,2769.8,9510,65186,198003,16:00:00,679.1,198005
10/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2769.7,2783.4,2766.7,2779.2,9608,67536,198003,16:00:00,688.5,198005
10/30/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2789.7,2799.2,2789.7,2796.6,12823,72965,198003,16:00:00,705.9,198005
10/31/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2790.2,2790.2,2779.2,2780.9,4494,73394,198003,16:00:00,690.2,198005
11/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2760.9,2760.9,2760.9,2760.9,2483,74044,198003,16:00:00,670.2,198005
11/02/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2740.9,2748.5,2740.9,2747.4,1780,74269,198003,16:00:00,656.7,198005
11/03/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2745.2,2747.5,2744.4,2745.1,2294,74928,198003,16:00:00,654.4,198005
11/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2741.2,2747.9,2740.7,2745.0,8896,78651,198003,16:00:00,654.3,198005
11/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2753.7,2753.7,2748.7,2749.4,4205,81193,198003,16:00:00,658.7,198005
11/09/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2741.4,2744.2,2729.4,2729.4,3098,83553,198003,16:00:00,638.7,198005
11/10/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2727.2,2730.3,2727.2,2730.3,4941,85419,198003,16:00:00,639.6,198005
11/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2730.1,2740.5,2730.0,2740.5,5057,89251,198003,16:00:00,649.8,198005
11/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2747.7,2752.9,2745.5,2752.9,3905,90521,198003,16:00:00,662.2,198005
11/15/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2740.7,2740.7,2732.9,2732.9,9285,95275,198003,16:00:00,642.2,198005
11/16/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2731.9,2742.3,2731.2,2742.3,15270,103033,198003,16:00:00,651.6,198005
11/17/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2738.7,2756.8,2738.7,2756.8,2134,104540,198003,16:00:00,666.1,198005
11/20/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2754.4,2754.7,2742.7,2742.7,5599,104008,198003,16:00:00,652.0,198005
11/21/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2743.2,2749.7,2740.7,2740.7,7498,104532,198003,16:00:00,650.0,198005
11/22/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2746.7,2749.2,2746.7,2747.3,5282,105670,198003,16:00:00,656.6,198005
11/24/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2752.2,2758.6,2752.2,2758.6,3998,106197,198003,16:00:00,667.9,198005
11/27/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2751.9,2753.7,2748.7,2753.3,3785,106616,198003,16:00:00,662.6,198005
11/28/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2752.2,2752.7,2744.0,2744.0,5212,108739,198003,16:00:00,653.3,198005
11/29/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2750.2,2750.7,2743.8,2743.8,5296,107831,198003,16:00:00,653.1,198005
11/30/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2746.5,2753.2,2745.2,2751.4,4951,108005,198003,16:00:00,660.7,198005
12/01/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2751.7,2751.7,2748.6,2748.6,3021,108380,198003,16:00:00,657.9,198005
12/04/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2751.7,2751.7,2738.7,2740.7,9289,110033,198003,16:00:00,650.0,198005
12/05/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2740.2,2743.2,2737.7,2739.2,4637,112390,198003,16:00:00,648.5,198005
12/06/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2736.2,2736.2,2730.2,2730.8,13560,112857,198003,16:00:00,640.1,198005
12/07/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2736.3,2737.7,2734.7,2735.4,7700,119678,198003,16:00:00,644.7,198005
12/08/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2740.2,2741.7,2740.2,2740.7,3944,120817,198003,16:00:00,650.0,198005
12/11/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2744.4,2744.5,2739.2,2741.4,2185,121569,198003,16:00:00,650.7,198005
12/12/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2737.2,2740.7,2737.2,2740.3,3006,121338,198003,16:00:00,649.6,198005
12/13/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2738.3,2743.0,2738.3,2740.7,7436,126251,198003,16:00:00,650.0,198005
12/14/1978,&SI_CCB,Silver Continuous Contract Backadjusted,2739.7,2739.7,2734.7,2739.4,16657,125262,198003,16:00:00,648.7,198005
