Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
12/10/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,92.47,92.47,92.47,92.47,0,0,200003,16:00:00,133.11,200006
12/11/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,92.77,92.77,92.77,92.77,0,0,200003,16:00:00,133.41,200006
12/14/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,92.03,92.03,92.03,92.03,0,0,200003,16:00:00,132.67,200006
12/15/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,91.61,91.61,91.61,91.61,0,0,200003,16:00:00,132.25,200006
12/16/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,91.21,91.21,91.21,91.21,0,0,200003,16:00:00,131.85,200006
12/17/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,91.29,91.29,91.29,91.29,0,0,200003,16:00:00,131.93,200006
12/18/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,91.46,91.46,91.46,91.46,0,0,200003,16:00:00,132.1,200006
12/21/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,90.25,90.25,90.25,90.25,0,0,200003,16:00:00,130.89,200006
12/22/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,88.11,88.11,88.11,88.11,0,0,200003,16:00:00,128.75,200006
12/24/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.39,87.39,87.39,87.39,0,0,200003,16:00:00,128.03,200006
12/25/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.41,87.41,87.41,87.41,0,0,200003,16:00:00,128.05,200006
12/28/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.25,87.25,87.25,87.25,0,0,200003,16:00:00,127.89,200006
12/29/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.91,85.91,85.91,85.91,0,0,200003,16:00:00,126.55,200006
12/30/1998,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.18,85.18,85.18,85.18,0,0,200003,16:00:00,125.82,200006
01/04/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.65,85.65,85.65,85.65,0,0,200003,16:00:00,126.29,200006
01/05/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.74,85.74,85.74,85.74,0,0,200003,16:00:00,126.38,200006
01/06/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.34,86.34,86.34,86.34,0,0,200003,16:00:00,126.98,200006
01/07/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,88.16,88.16,88.16,88.16,0,0,200003,16:00:00,128.8,200006
01/08/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.82,87.82,87.82,87.82,0,0,200003,16:00:00,128.46,200006
01/11/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.23,87.23,87.23,87.23,0,0,200003,16:00:00,127.87,200006
01/12/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.33,87.33,87.33,87.33,0,0,200003,16:00:00,127.97,200006
01/13/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.56,87.56,87.56,87.56,0,0,200003,16:00:00,128.2,200006
01/14/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,88.35,88.35,88.35,88.35,0,0,200003,16:00:00,128.99,200006
01/18/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.85,87.85,87.85,87.85,0,0,200003,16:00:00,128.49,200006
01/19/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.93,86.93,86.93,86.93,0,0,200003,16:00:00,127.57,200006
01/20/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.69,87.69,87.69,87.69,0,0,200003,16:00:00,128.33,200006
01/21/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.59,87.59,87.59,87.59,0,0,200003,16:00:00,128.23,200006
01/22/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.83,87.83,87.83,87.83,0,0,200003,16:00:00,128.47,200006
01/25/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.34,87.34,87.34,87.34,0,0,200003,16:00:00,127.98,200006
01/26/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.91,87.91,87.91,87.91,0,0,200003,16:00:00,128.55,200006
01/27/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.18,87.18,87.18,87.18,0,0,200003,16:00:00,127.82,200006
01/28/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,87.16,87.16,87.16,87.16,0,0,200003,16:00:00,127.8,200006
01/29/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.17,86.17,86.17,86.17,0,0,200003,16:00:00,126.81,200006
02/01/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.75,85.75,85.75,85.75,0,0,200003,16:00:00,126.39,200006
02/02/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,83.51,83.51,83.51,83.51,0,0,200003,16:00:00,124.15,200006
02/03/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,83.53,83.53,83.53,83.53,0,0,200003,16:00:00,124.17,200006
02/04/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,84.71,84.71,84.71,84.71,0,0,200003,16:00:00,125.35,200006
02/05/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,83.58,83.58,83.58,83.58,0,0,200003,16:00:00,124.22,200006
02/08/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.27,85.27,85.27,85.27,0,0,200003,16:00:00,125.91,200006
02/09/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.69,86.69,86.69,86.69,0,0,200003,16:00:00,127.33,200006
02/10/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.81,86.81,86.81,86.81,0,0,200003,16:00:00,127.45,200006
02/12/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,86.02,86.02,86.02,86.02,0,0,200003,16:00:00,126.66,200006
02/15/1999,&SJB_CCB,Japanese Govt Bond - Mini Continuous Contract Backadjusted,85.68,85.68,85.68,85.68,0,0,200003,16:00:00,126.32,200006
