Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/21/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35755,35755,35755,35755,0,0,199009,16:00:00,36640,199012
09/22/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35615,35815,35615,35815,0,0,199009,16:00:00,36700,199012
09/25/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36045,36045,36045,36045,0,0,199009,16:00:00,36930,199012
09/26/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36240,36240,36240,36240,0,0,199009,16:00:00,37125,199012
09/27/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36220,36220,36220,36220,0,0,199009,16:00:00,37105,199012
09/28/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36405,36405,36405,36405,0,0,199009,16:00:00,37290,199012
09/29/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36270,36270,36270,36270,0,0,199009,16:00:00,37155,199012
10/02/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36210,36210,36210,36210,0,0,199009,16:00:00,37095,199012
10/03/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35955,35955,35955,35955,0,0,199009,16:00:00,36840,199012
10/04/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36070,36070,36070,36070,0,0,199009,16:00:00,36955,199012
10/05/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36090,36090,36090,36090,0,0,199009,16:00:00,36975,199012
10/06/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35980,35980,35980,35980,0,0,199009,16:00:00,36865,199012
10/09/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36145,36145,36145,36145,0,0,199009,16:00:00,37030,199012
10/11/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35970,35970,35970,35970,0,0,199009,16:00:00,36855,199012
10/12/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35720,35720,35720,35720,0,0,199009,16:00:00,36605,199012
10/13/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35885,35885,35885,35885,0,0,199009,16:00:00,36770,199012
10/16/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35295,35295,35295,35295,0,0,199009,16:00:00,36180,199012
10/17/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35745,35745,35745,35745,0,0,199009,16:00:00,36630,199012
10/18/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35680,35680,35680,35680,0,0,199009,16:00:00,36565,199012
10/19/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35925,35925,35925,35925,0,0,199009,16:00:00,36810,199012
10/20/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36055,36055,36055,36055,0,0,199009,16:00:00,36940,199012
10/23/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36220,36220,36220,36220,0,0,199009,16:00:00,37105,199012
10/24/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36230,36230,36230,36230,0,0,199009,16:00:00,37115,199012
10/25/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36095,36095,36095,36095,0,0,199009,16:00:00,36980,199012
10/26/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36230,36230,36230,36230,0,0,199009,16:00:00,37115,199012
10/27/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36040,36040,36040,36040,0,0,199009,16:00:00,36925,199012
10/30/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36005,36005,36005,36005,0,0,199009,16:00:00,36890,199012
10/31/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36145,36145,36145,36145,0,0,199009,16:00:00,37030,199012
11/01/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36080,36080,36080,36080,0,0,199009,16:00:00,36965,199012
11/02/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36005,36005,36005,36005,0,0,199009,16:00:00,36890,199012
11/06/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35925,35925,35925,35925,0,0,199009,16:00:00,36810,199012
11/07/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,35905,35905,35905,35905,0,0,199009,16:00:00,36790,199012
11/08/1989,&SNK_CCB,Nikkei 225 (SGX) Continuous Contract Backadjusted,36225,36225,36225,36225,0,0,199009,16:00:00,37110,199012
