Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/07/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-33.5,-22.1,-33.5,-23.9,437,225,199810,16:00:00,136.1,199811
09/08/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-23.5,-22.0,-29.5,-27.6,181,215,199810,16:00:00,132.4,199811
09/09/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.5,-22.6,-29.0,-28.8,115,195,199810,16:00:00,131.2,199811
09/10/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-26.2,-25.0,-30.0,-29.8,91,214,199810,16:00:00,130.2,199811
09/11/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-31.5,-30.1,-34.0,-31.0,217,279,199810,16:00:00,129.0,199811
09/14/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-29.0,-28.1,-30.2,-29.4,12,286,199810,16:00:00,130.6,199811
09/15/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-28.0,-23.5,-28.5,-25.2,129,292,199810,16:00:00,134.8,199811
09/16/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.5,-15.6,-25.0,-17.0,181,330,199810,16:00:00,143.0,199811
09/17/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-15.0,-15.0,-23.0,-21.0,130,360,199810,16:00:00,139.0,199811
09/18/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-23.5,-22.5,-25.0,-23.7,237,381,199810,16:00:00,136.3,199811
09/21/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.5,-24.2,-29.9,-28.5,204,492,199810,16:00:00,131.5,199811
09/22/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-27.5,-25.0,-28.2,-26.8,164,553,199810,16:00:00,133.2,199811
09/23/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-26.5,-25.6,-27.5,-25.6,69,554,199810,16:00:00,134.4,199811
09/24/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.5,-21.2,-24.5,-22.0,172,623,199810,16:00:00,138.0,199811
09/25/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-26.5,-21.5,-27.0,-21.5,175,661,199810,16:00:00,138.5,199811
09/28/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-22.0,-17.2,-22.0,-17.2,80,628,199810,16:00:00,142.8,199811
09/29/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-17.1,-16.1,-19.2,-17.0,70,637,199810,16:00:00,143.0,199811
09/30/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-18.5,-18.0,-19.4,-18.5,150,686,199810,16:00:00,141.5,199811
10/01/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-21.9,-17.5,-21.9,-21.5,116,693,199810,16:00:00,138.5,199811
10/02/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.5,-22.7,-24.5,-23.7,178,671,199810,16:00:00,136.3,199811
10/05/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-21.7,-21.7,-24.9,-24.0,122,713,199810,16:00:00,136.0,199811
10/06/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-24.0,-22.8,-24.6,-22.8,136,767,199810,16:00:00,137.2,199811
10/07/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-22.0,-17.1,-22.1,-17.9,270,744,199810,16:00:00,142.1,199811
10/08/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-19.0,-13.0,-19.0,-13.2,301,746,199810,16:00:00,146.8,199811
10/09/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-14.5,-10.0,-14.8,-11.9,224,746,199810,16:00:00,148.1,199811
10/12/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-8.0,-3.0,-8.3,-6.9,201,718,199810,16:00:00,153.1,199811
10/13/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-4.0,-3.0,-9.0,-5.5,302,714,199810,16:00:00,154.5,199811
10/14/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-5.5,-5.5,-9.7,-8.7,151,716,199810,16:00:00,151.3,199811
10/15/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,-5.0,-1.5,-8.7,-2.0,368,699,199810,16:00:00,158.0,199811
10/16/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,3.3,15.5,3.3,15.0,356,711,199810,16:00:00,175.0,199811
10/20/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,17.0,18.9,10.2,11.4,470,813,199810,16:00:00,171.4,199811
10/21/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,12.2,15.0,12.2,14.5,164,794,199810,16:00:00,174.5,199811
10/22/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,15.5,16.0,8.1,10.8,188,816,199810,16:00:00,170.8,199811
10/23/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,10.4,10.4,4.2,9.8,201,825,199810,16:00:00,169.8,199811
10/26/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,7.0,9.2,6.3,7.2,136,830,199810,16:00:00,167.2,199811
10/27/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,8.0,15.0,7.0,15.0,409,777,199810,16:00:00,175.0,199811
10/28/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,15.5,19.5,13.1,19.4,436,768,199810,16:00:00,179.4,199811
10/29/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,18.6,20.4,17.8,19.8,692,777,199811,16:00:00,179.2,199812
10/30/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,17.6,24.5,17.6,21.2,352,674,199811,16:00:00,180.6,199812
11/02/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,21.1,26.0,21.1,25.1,195,659,199811,16:00:00,184.5,199812
11/03/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,29.3,31.1,24.1,24.8,276,676,199811,16:00:00,184.2,199812
11/04/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,24.6,33.3,22.6,33.1,304,684,199811,16:00:00,192.5,199812
11/05/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,33.6,36.1,28.8,30.3,295,708,199811,16:00:00,189.7,199812
11/06/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,30.8,33.4,27.1,28.5,407,727,199811,16:00:00,187.9,199812
11/09/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,28.5,28.6,21.6,22.6,232,735,199811,16:00:00,182.0,199812
11/10/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,18.6,19.1,13.1,15.2,572,769,199811,16:00:00,174.6,199812
11/11/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,17.1,24.2,15.4,24.2,386,806,199811,16:00:00,183.6,199812
11/12/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,22.6,25.3,15.9,16.2,376,846,199811,16:00:00,175.6,199812
11/13/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,15.1,21.0,15.1,18.6,521,826,199811,16:00:00,178.0,199812
11/16/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,20.6,25.6,19.6,25.2,512,722,199811,16:00:00,184.6,199812
11/17/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,26.6,26.9,20.6,24.9,630,914,199811,16:00:00,184.3,199812
11/18/1998,&SSG_CCB,MSCI Singapore Index Continuous Contract Backadjusted,28.1,32.9,27.4,32.8,435,935,199811,16:00:00,192.2,199812
