Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
09/07/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,268.4,270.9,268.2,269.9,1607,931,199912,16:00:00,416.5,200003
09/08/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,267.4,271.4,267.4,270.6,2992,3168,199912,16:00:00,417.2,200003
09/09/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,272.4,275.9,271.6,274.9,8142,10739,199912,16:00:00,421.5,200003
09/10/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,277.4,279.6,275.9,278.2,3784,13463,199912,16:00:00,424.8,200003
09/13/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,274.9,278.6,274.9,275.25,3876,15709,199912,16:00:00,421.85,200003
09/14/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,272.65,275.6,272.0,275.3,2318,16655,199912,16:00:00,421.9,200003
09/15/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,275.8,275.8,270.9,270.9,2989,18862,199912,16:00:00,417.5,200003
09/16/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,272.4,272.4,267.4,268.6,2052,19940,199912,16:00:00,415.2,200003
09/17/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,269.9,273.8,268.9,272.6,922,19629,199912,16:00:00,419.2,200003
09/20/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,273.9,273.9,270.5,271.1,1888,21121,199912,16:00:00,417.7,200003
09/21/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,268.9,268.9,259.7,259.9,2282,21610,199912,16:00:00,406.5,200003
09/22/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,262.4,262.4,258.35,259.0,2211,21712,199912,16:00:00,405.6,200003
09/23/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,260.6,260.9,252.4,253.6,1578,22754,199912,16:00:00,400.2,200003
09/24/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,252.9,254.9,246.7,249.9,1410,21700,199912,16:00:00,396.5,200003
09/27/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,255.9,259.7,255.9,259.3,1278,22022,199912,16:00:00,405.9,200003
09/28/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,260.8,261.4,254.5,258.0,1966,23979,199912,16:00:00,404.6,200003
09/29/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,258.4,260.3,257.4,257.9,1061,22735,199912,16:00:00,404.5,200003
09/30/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,259.9,265.3,259.7,264.9,1955,23094,199912,16:00:00,411.5,200003
10/01/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,262.1,263.25,259.9,261.8,1603,22646,199912,16:00:00,408.4,200003
10/04/1999,&SXF_CCB,S&P/TSX 60 Index Continuous Contract Backadjusted,264.4,272.4,264.4,272.25,1682,22823,199912,16:00:00,418.85,200003
