Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
01/11/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,93.0625,93.46875,92.5,92.90625,4517,1941,201003,16:00:00,119.6875,201006
01/12/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,94.0625,95.03125,93.71875,95.0,8508,5780,201003,16:00:00,121.78125,201006
01/13/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,94.6875,95.09375,93.09375,93.375,7023,8329,201003,16:00:00,120.15625,201006
01/14/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,93.34375,95.34375,93.28125,94.96875,7501,10435,201003,16:00:00,121.75,201006
01/15/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,95.03125,96.21875,95.03125,95.9375,5329,11818,201003,16:00:00,122.71875,201006
01/19/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,95.9375,96.34375,94.96875,95.5,4288,13734,201003,16:00:00,122.28125,201006
01/20/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,95.875,96.8125,95.75,96.59375,5768,16530,201003,16:00:00,123.375,201006
01/21/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.53125,97.625,96.21875,97.375,5287,18606,201003,16:00:00,124.15625,201006
01/22/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,97.5,97.96875,96.78125,97.34375,6260,20515,201003,16:00:00,124.125,201006
01/25/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.5,97.0,96.09375,96.53125,3261,21147,201003,16:00:00,123.3125,201006
01/26/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,97.25,97.78125,96.28125,96.34375,4447,22920,201003,16:00:00,123.125,201006
01/27/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.78125,97.1875,96.34375,96.65625,12110,26749,201003,16:00:00,123.4375,201006
01/28/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.34375,96.875,95.5,96.40625,10438,30455,201003,16:00:00,123.1875,201006
01/29/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.65625,98.03125,95.84375,97.59375,13470,32456,201003,16:00:00,124.375,201006
02/01/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,97.6875,97.78125,96.34375,96.5625,7382,32986,201003,16:00:00,123.34375,201006
02/02/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.65625,97.0,96.25,96.90625,11226,40854,201003,16:00:00,123.6875,201006
02/03/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.625,96.71875,95.1875,95.375,11886,44528,201003,16:00:00,122.15625,201006
02/04/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,95.625,97.5,95.28125,97.09375,17530,47241,201003,16:00:00,123.875,201006
02/05/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.84375,98.34375,96.4375,98.21875,16596,48728,201003,16:00:00,125.0,201006
02/08/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,97.5,98.15625,97.09375,97.65625,5610,49742,201003,16:00:00,124.4375,201006
02/09/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,97.8125,98.0625,96.46875,96.71875,6631,50054,201003,16:00:00,123.5,201006
02/10/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.53125,97.125,95.125,95.375,8267,50813,201003,16:00:00,122.15625,201006
02/11/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,96.1875,96.1875,93.78125,94.53125,17988,52411,201003,16:00:00,121.3125,201006
02/12/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,94.84375,95.46875,94.75,94.96875,10922,53548,201003,16:00:00,121.75,201006
02/16/2010,&UB_CCB,Ultra U.S. T-Bond Continuous Contract Backadjusted,94.78125,95.5,94.40625,95.34375,9083,54254,201003,16:00:00,122.125,201006
