Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/26/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,271.9273,271.9373,270.9573,271.0073,461,368,200405,16:00:00,20.32,200406
03/29/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.5873,270.6773,270.4373,270.4873,117,349,200405,16:00:00,19.8,200406
03/30/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.5473,270.7273,270.2973,270.3073,191,448,200405,16:00:00,19.62,200406
03/31/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.3573,270.4973,270.3573,270.4373,600,1007,200405,16:00:00,19.75,200406
04/01/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.5573,270.6773,270.3073,270.3073,99,1044,200405,16:00:00,19.62,200406
04/02/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.1573,270.1573,269.5273,269.5773,307,1297,200405,16:00:00,18.89,200406
04/05/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.4173,269.4873,269.2173,269.2173,187,1399,200405,16:00:00,18.53,200406
04/06/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.2573,269.5773,269.2573,269.4773,343,1828,200405,16:00:00,18.79,200406
04/07/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.6573,269.9373,269.5773,269.7773,269,2057,200405,16:00:00,19.09,200406
04/08/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.6373,269.8373,269.6373,269.7373,139,2244,200405,16:00:00,19.05,200406
04/12/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.4673,269.4673,269.3573,269.3573,7,2245,200405,16:00:00,18.67,200406
04/13/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.6873,269.9973,269.5773,269.9873,83,2232,200405,16:00:00,19.3,200406
04/14/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.0673,270.1873,270.0673,270.1473,356,2232,200405,16:00:00,19.46,200406
04/15/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,270.0173,270.1273,269.9473,270.0373,338,2479,200405,16:00:00,19.35,200406
04/16/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.8673,269.8773,269.6873,269.6873,416,2795,200405,16:00:00,19.0,200406
04/19/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.7873,269.8273,269.5373,269.5573,122,2908,200405,16:00:00,18.87,200406
04/20/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.5573,269.8373,269.3373,269.8373,175,3070,200405,16:00:00,19.15,200406
04/21/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.7773,269.7873,269.3273,269.3673,51,3078,200405,16:00:00,18.68,200406
04/22/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.2373,269.2373,267.8273,268.0373,236,3226,200405,16:00:00,17.35,200406
04/23/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.9173,268.1873,267.9173,268.0273,1194,3372,200405,16:00:00,17.34,200406
04/26/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.9873,268.0773,267.8173,267.8173,594,3484,200405,16:00:00,17.13,200406
04/27/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.8073,267.8073,267.1873,267.4873,360,3644,200405,16:00:00,16.8,200406
04/28/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.7373,268.1973,267.6873,268.0573,1022,3986,200405,16:00:00,17.37,200406
04/29/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.9173,268.5973,267.9173,268.4573,1449,4444,200405,16:00:00,17.77,200406
04/30/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.2273,268.9673,268.2273,268.9073,384,4449,200405,16:00:00,18.22,200406
05/03/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.6873,268.6873,268.3773,268.3773,98,4397,200405,16:00:00,17.69,200406
05/04/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.2873,268.3673,267.5373,267.9973,148,4440,200405,16:00:00,17.31,200406
05/05/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.7273,267.7373,267.2873,267.3073,516,4678,200405,16:00:00,16.62,200406
05/06/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.5373,268.3373,267.5373,268.1673,488,4779,200405,16:00:00,17.48,200406
05/07/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.2273,268.9973,267.8073,268.9973,531,4924,200405,16:00:00,18.31,200406
05/10/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.4773,270.2673,269.2873,270.0373,871,5196,200405,16:00:00,19.35,200406
05/11/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.5873,269.5873,269.0173,269.0673,235,4988,200405,16:00:00,18.38,200406
05/12/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.9973,270.0873,268.8873,268.8873,378,4699,200405,16:00:00,18.2,200406
05/13/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.0673,269.0673,268.6873,269.0673,377,4839,200405,16:00:00,18.38,200406
05/14/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.1373,269.4173,268.8573,269.2373,78,4879,200405,16:00:00,18.55,200406
05/17/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.8573,270.1873,269.5873,270.0573,525,4768,200405,16:00:00,19.37,200406
05/18/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.8073,269.9373,269.8073,269.9173,131,4867,200406,16:00:00,20.07,200407
05/19/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.4473,269.4873,268.5873,269.0173,469,3838,200406,16:00:00,19.17,200407
05/20/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.9073,269.1873,268.8373,269.1873,96,3786,200406,16:00:00,19.34,200407
05/21/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,269.1673,269.1773,268.9473,269.0173,226,3829,200406,16:00:00,19.17,200407
05/24/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.4573,268.8473,268.4473,268.6173,1594,3961,200406,16:00:00,18.77,200407
05/25/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,268.7473,268.7473,267.2873,267.3473,772,4313,200406,16:00:00,17.5,200407
05/26/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.4473,267.5973,267.3773,267.4573,261,4487,200406,16:00:00,17.61,200407
05/27/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.3073,267.4473,267.1373,267.1973,441,4654,200406,16:00:00,17.35,200407
05/28/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.3973,267.4973,267.3973,267.4273,97,4734,200406,16:00:00,17.58,200407
06/01/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.4473,267.4673,267.3973,267.4473,100,4822,200406,16:00:00,17.6,200407
06/02/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.4873,267.4973,267.4473,267.4973,439,4798,200406,16:00:00,17.65,200407
06/03/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.4473,267.5473,267.2773,267.4473,292,4788,200406,16:00:00,17.6,200407
06/04/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,267.3073,267.3073,266.8673,267.1273,755,5170,200406,16:00:00,17.28,200407
06/07/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,266.9473,267.0073,266.4073,266.4273,354,5503,200406,16:00:00,16.58,200407
06/08/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,266.6973,266.7073,265.9973,266.0273,630,5976,200406,16:00:00,16.18,200407
06/09/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,266.1173,266.1373,265.7073,266.0473,766,6647,200406,16:00:00,16.2,200407
06/10/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.9873,265.9873,265.4573,265.5573,1303,7156,200406,16:00:00,15.71,200407
06/14/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.9373,266.2673,265.9373,266.1373,917,7168,200406,16:00:00,16.29,200407
06/15/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.7073,265.7073,265.2573,265.4373,1519,7752,200407,16:00:00,17.23,200408
06/16/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.3773,265.4373,265.2073,265.3073,384,5365,200407,16:00:00,17.1,200408
06/17/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.4573,265.5473,265.3173,265.3473,906,5477,200407,16:00:00,17.14,200408
06/18/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.3573,265.3573,265.0473,265.2073,403,5825,200407,16:00:00,17.0,200408
06/21/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.2073,265.4673,265.2073,265.4673,111,6113,200407,16:00:00,17.26,200408
06/22/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.4673,265.5673,264.9773,264.9773,337,6097,200407,16:00:00,16.77,200408
06/23/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,265.0273,265.0873,263.6773,263.9973,564,6573,200407,16:00:00,15.79,200408
06/24/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.1673,264.2673,264.1073,264.2273,309,6762,200407,16:00:00,16.02,200408
06/25/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.2273,264.4373,264.1773,264.4373,104,6832,200407,16:00:00,16.23,200408
06/28/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.4073,264.5773,264.4073,264.5773,192,6785,200407,16:00:00,16.37,200408
06/29/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.5173,264.5173,264.1873,264.1873,175,6918,200407,16:00:00,15.98,200408
06/30/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.1573,264.2073,263.5073,263.5873,357,7094,200407,16:00:00,15.38,200408
07/01/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,263.6073,264.0473,263.4073,263.8773,550,7449,200407,16:00:00,15.67,200408
07/02/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,263.7073,263.9073,263.6573,263.7673,94,7442,200407,16:00:00,15.56,200408
07/06/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.1173,264.5373,264.0573,264.4273,543,7752,200407,16:00:00,16.22,200408
07/07/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.5173,264.5173,263.7473,263.8773,358,7984,200407,16:00:00,15.67,200408
07/08/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,264.2173,264.2173,263.7973,264.1473,1086,8148,200407,16:00:00,15.94,200408
07/09/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,263.8573,264.0073,263.8073,263.9473,417,8525,200407,16:00:00,15.74,200408
07/12/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,263.8973,263.9573,263.1773,263.2973,1844,7831,200407,16:00:00,15.09,200408
07/13/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,263.1473,263.1473,262.4073,262.5173,841,7451,200407,16:00:00,14.31,200408
07/14/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,261.3373,261.3373,261.3373,261.3373,131,5735,200407,16:00:00,13.13,200408
07/15/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,261.2273,261.4273,261.0473,261.4273,244,5675,200408,16:00:00,18.83,200409
07/16/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,261.2673,261.6173,261.1973,261.5473,115,5869,200408,16:00:00,18.95,200409
07/19/2004,&VX_CCB,CBOE Volatility Index Continuous Contract Backadjusted,261.6973,261.6973,261.4673,261.5773,54,5943,200408,16:00:00,18.98,200409
