Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
02/16/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,603.6,608.6,601.6,605.6,1628,868,198303,16:00:00,514.0,198306
02/17/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,605.0,611.6,604.6,608.6,972,1132,198303,16:00:00,517.0,198306
02/18/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,606.6,610.9,604.6,605.8,892,1456,198303,16:00:00,514.2,198306
02/21/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,596.6,596.6,587.6,587.6,2252,2020,198303,16:00:00,496.0,198306
02/22/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,581.6,586.1,580.6,586.1,2476,2324,198303,16:00:00,494.5,198306
02/23/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,577.6,578.6,568.6,575.6,2488,2668,198303,16:00:00,484.0,198306
02/24/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,574.6,582.1,574.6,582.1,1768,3072,198303,16:00:00,490.5,198306
02/25/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,584.6,592.5,584.1,584.6,2888,3820,198303,16:00:00,493.0,198306
02/28/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,578.6,579.1,567.6,570.6,2604,3692,198303,16:00:00,479.0,198306
03/01/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,556.6,560.6,549.6,555.6,2368,3880,198303,16:00:00,464.0,198306
03/02/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,564.1,579.6,564.1,574.1,2200,3968,198303,16:00:00,482.5,198306
03/03/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,580.6,587.6,577.6,580.4,2944,4256,198303,16:00:00,488.8,198306
03/04/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,583.6,591.6,580.6,587.6,2676,4540,198303,16:00:00,496.0,198306
03/07/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,581.6,604.1,581.6,601.6,3456,4612,198303,16:00:00,510.0,198306
03/08/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,620.6,628.6,616.6,624.5,3756,4560,198303,16:00:00,532.9,198306
03/09/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,612.6,616.1,601.6,606.1,2708,3820,198303,16:00:00,514.5,198306
03/10/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,610.6,611.1,597.1,601.1,3336,3560,198303,16:00:00,509.5,198306
03/11/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,601.6,610.4,599.6,605.6,2816,3584,198303,16:00:00,514.0,198306
03/14/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,601.6,601.6,597.1,598.4,1520,3384,198303,16:00:00,506.8,198306
03/15/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,603.6,605.6,600.1,602.6,1152,3180,198303,16:00:00,511.0,198306
03/16/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,603.1,603.1,600.6,602.1,932,3136,198303,16:00:00,510.5,198306
03/17/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,593.6,596.6,592.6,594.1,2524,3364,198303,16:00:00,502.5,198306
03/18/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,592.6,595.6,591.6,592.6,2580,3528,198303,16:00:00,501.0,198306
03/21/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,591.6,591.6,586.6,588.1,1720,3624,198303,16:00:00,496.5,198306
03/22/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,595.6,599.6,595.6,599.1,2448,3600,198303,16:00:00,507.5,198306
03/23/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,596.6,603.6,596.6,602.6,2528,3844,198303,16:00:00,511.0,198306
03/24/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,604.6,604.6,597.4,597.4,2836,3708,198303,16:00:00,505.8,198306
03/25/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,597.6,599.1,595.1,598.6,2556,3684,198303,16:00:00,507.0,198306
03/28/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,595.6,596.1,594.6,595.6,1660,3396,198303,16:00:00,504.0,198306
03/29/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,595.6,598.6,595.6,598.6,1300,3516,198303,16:00:00,507.0,198306
03/30/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,598.5,598.6,598.4,598.5,2624,3640,198303,16:00:00,506.9,198306
03/31/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,601.5,604.0,600.6,602.5,1784,3336,198306,16:00:00,519.5,198309
04/05/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,603.0,612.0,603.0,611.0,2080,3428,198306,16:00:00,528.0,198309
04/06/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,610.0,620.0,609.0,620.0,2904,3588,198306,16:00:00,537.0,198309
04/07/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,616.0,624.0,616.0,617.0,2920,3676,198306,16:00:00,534.0,198309
04/08/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,618.0,621.0,613.0,620.2,2596,3720,198306,16:00:00,537.2,198309
04/11/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,622.0,637.0,622.0,636.0,2752,3800,198306,16:00:00,553.0,198309
04/12/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,648.0,666.0,648.0,663.5,4280,4588,198306,16:00:00,580.5,198309
04/13/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,672.0,672.0,657.5,658.0,4348,4812,198306,16:00:00,575.0,198309
04/14/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,663.0,680.0,656.0,675.0,5804,5828,198306,16:00:00,592.0,198309
04/15/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,677.0,678.4,663.0,669.0,4212,5580,198306,16:00:00,586.0,198309
04/18/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,671.0,692.5,671.0,689.5,3872,5244,198306,16:00:00,606.5,198309
04/19/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,701.0,709.0,695.0,702.0,4460,5680,198306,16:00:00,619.0,198309
04/20/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,683.0,692.5,680.5,682.5,4704,6128,198306,16:00:00,599.5,198309
04/21/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,696.0,718.0,696.0,718.0,5036,5996,198306,16:00:00,635.0,198309
04/22/1983,&YAP_CCB,ASX SPI 200 Continuous Contract Backadjusted,711.0,722.0,709.0,718.0,2868,5660,198306,16:00:00,635.0,198309
