Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
08/12/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.065,97.06,97.065,52,52,200309,16:00:00,95.255,200310
08/13/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.07,97.07,97.07,97.07,0,52,200309,16:00:00,95.26,200310
08/14/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.07,97.07,97.07,97.07,0,52,200309,16:00:00,95.26,200310
08/15/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.065,97.065,97.065,97.065,350,400,200309,16:00:00,95.255,200310
08/18/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,0,400,200309,16:00:00,95.25,200310
08/19/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,100,500,200309,16:00:00,95.25,200310
08/20/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,0,500,200309,16:00:00,95.25,200310
08/21/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,0,500,200309,16:00:00,95.25,200310
08/22/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,400,900,200309,16:00:00,95.25,200310
08/25/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,850,1750,200309,16:00:00,95.25,200310
08/26/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,0,1750,200309,16:00:00,95.25,200310
08/27/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.065,97.065,97.065,97.065,0,1750,200309,16:00:00,95.255,200310
08/28/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,50,1800,200309,16:00:00,95.25,200310
08/29/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.06,97.06,97.06,97.06,0,1800,200309,16:00:00,95.25,200310
09/01/2003,&YIB_CCB,ASX 30 Day Interbank Cash Rate Continuous Contract Backadjusted,97.065,97.065,97.06,97.06,407,2207,200309,16:00:00,95.25,200310
