Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
03/10/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.15,83.15,83.1,83.12,34,34,199103,16:00:00,85.62,199106
03/13/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.05,83.05,83.05,83.05,5,39,199103,16:00:00,85.55,199106
03/14/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,82.97,82.98,82.95,82.98,52,91,199103,16:00:00,85.48,199106
03/15/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,82.95,82.98,82.92,82.98,45,126,199103,16:00:00,85.48,199106
03/16/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.02,83.15,82.96,83.15,20,143,199103,16:00:00,85.65,199106
03/17/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.15,83.2,83.13,83.17,8,145,199103,16:00:00,85.67,199106
03/20/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.17,83.17,83.1,83.14,50,169,199103,16:00:00,85.64,199106
03/21/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.1,83.1,83.09,83.09,24,178,199103,16:00:00,85.59,199106
03/22/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.1,83.1,83.03,83.03,40,217,199103,16:00:00,85.53,199106
03/23/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.05,83.08,83.04,83.04,34,253,199103,16:00:00,85.54,199106
03/28/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.17,83.17,83.17,83.17,0,252,199103,16:00:00,85.67,199106
03/29/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.2,83.2,83.19,83.19,0,252,199103,16:00:00,85.69,199106
03/30/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.15,83.3,83.15,83.29,37,287,199103,16:00:00,85.79,199106
03/31/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.2,83.25,83.2,83.23,8,287,199103,16:00:00,85.73,199106
04/03/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.2,83.25,83.2,83.23,39,290,199103,16:00:00,85.73,199106
04/04/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.2,83.2,83.15,83.2,61,320,199103,16:00:00,85.7,199106
04/05/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.15,83.16,83.13,83.16,63,348,199103,16:00:00,85.66,199106
04/06/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.29,83.29,83.29,83.29,0,349,199103,16:00:00,85.79,199106
04/07/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.28,83.28,83.28,83.28,0,349,199103,16:00:00,85.78,199106
04/10/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.27,83.27,83.27,83.27,11,360,199103,16:00:00,85.77,199106
04/11/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.25,83.25,83.2,83.2,43,392,199103,16:00:00,85.7,199106
04/12/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.2,83.2,83.13,83.15,189,561,199103,16:00:00,85.65,199106
04/13/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.1,83.2,83.1,83.19,26,580,199103,16:00:00,85.69,199106
04/14/1989,&YIR_CCB,ASX 90 Day Bank Accepted Bills Continuous Contract Backadjusted,83.1,83.1,83.1,83.1,11,582,199103,16:00:00,85.6,199106
